x,vx,ax,y,vy,ay,z,vz,az
0.0000,259.0800,-2.4074,0.0000,0.0000,0.0000,1219.2000,0.0000,1.1880
8.6347,258.9998,-2.3834,0.0000,0.0000,0.0001,1219.2003,0.0396,3.3666
17.2667,258.9211,-2.3080,0.0000,0.0000,0.0003,1219.2043,0.2244,8.2615
25.8961,258.8459,-2.2227,0.0000,0.0000,0.0007,1219.2173,0.5904,13.8708
34.5231,258.7729,-2.2051,0.0000,0.0001,0.0011,1219.2458,1.1492,19.6182
43.1476,258.6989,-2.3012,0.0000,0.0001,0.0015,1219.2960,1.8982,25.0829
51.7696,258.6195,-2.5238,0.0000,0.0002,0.0019,1219.3742,2.8213,29.9800
60.3888,258.5306,-2.8642,0.0000,0.0002,0.0022,1219.4858,3.8969,34.1970
69.0049,258.4286,-3.2914,0.0000,0.0003,0.0024,1219.6355,5.1012,37.6442
77.6172,258.3112,-3.7679,0.0000,0.0004,0.0025,1219.8270,6.4065,40.3035
86.2254,258.1774,-4.2657,0.0000,0.0005,0.0025,1220.0634,7.7881,42.2659
94.8289,258.0268,-4.7569,0.0001,0.0005,0.0025,1220.3469,9.2243,43.6114
103.4270,257.8602,-5.2162,0.0001,0.0006,0.0023,1220.6788,10.6955,44.4108
112.0194,257.6791,-5.6301,0.0001,0.0007,0.0021,1221.0601,12.1850,44.7584
120.6055,257.4849,-5.9958,0.0001,0.0008,0.0018,1221.4912,13.6794,44.7533
129.1849,257.2794,-6.3127,0.0002,0.0008,0.0014,1221.9720,15.1685,44.4867
137.7573,257.0641,-6.5821,0.0002,0.0009,0.0011,1222.5023,16.6452,44.0321
146.3224,256.8405,-6.8088,0.0002,0.0009,0.0007,1223.0815,18.1040,43.4492
154.8800,256.6101,-7.0002,0.0002,0.0009,0.0004,1223.7090,19.5418,42.7920
163.4297,256.3739,-7.1637,0.0003,0.0009,0.0001,1224.3840,20.9568,42.1056
171.9715,256.1326,-7.3061,0.0003,0.0009,-0.0002,1225.1058,22.3488,41.4216
180.5052,255.8868,-7.4342,0.0003,0.0009,-0.0004,1225.8737,23.7182,40.7695
189.0306,255.6369,-7.5541,0.0004,0.0009,-0.0006,1226.6869,25.0668,40.1731
197.5476,255.3832,-7.6701,0.0004,0.0009,-0.0008,1227.5446,26.3965,39.6394
206.0561,255.1256,-7.7857,0.0004,0.0008,-0.0009,1228.4464,27.7094,39.1688
214.5559,254.8641,-7.9036,0.0005,0.0008,-0.0009,1229.3917,29.0077,38.7664
223.0470,254.5987,-8.0265,0.0005,0.0008,-0.0009,1230.3801,30.2938,38.4380
231.5291,254.3290,-8.1558,0.0005,0.0007,-0.0009,1231.4112,31.5702,38.1794
240.0022,254.0550,-8.2912,0.0005,0.0007,-0.0008,1232.4847,32.8391,37.9799
248.4661,253.7763,-8.4331,0.0006,0.0007,-0.0007,1233.6004,34.1022,37.8325
256.9206,253.4928,-8.5816,0.0006,0.0007,-0.0006,1234.7581,35.3613,37.7329
265.3655,253.2042,-8.7362,0.0006,0.0007,-0.0004,1235.9578,36.6178,37.6735
273.8008,252.9104,-8.8960,0.0006,0.0006,-0.0003,1237.1993,37.8728,37.6455
282.2262,252.6111,-9.0602,0.0006,0.0006,-0.0001,1238.4826,39.1275,37.6420
290.6415,252.3063,-9.2277,0.0007,0.0006,0.0001,1239.8078,40.3823,37.6565
299.0465,251.9959,-9.3975,0.0007,0.0006,0.0003,1241.1748,41.6379,37.6831
307.4411,251.6798,-9.5686,0.0007,0.0007,0.0004,1242.5837,42.8945,37.7166
315.8251,251.3580,-9.7401,0.0007,0.0007,0.0006,1244.0345,44.1523,37.7531
324.1983,251.0305,-9.9113,0.0007,0.0007,0.0007,1245.5272,45.4114,37.7893
332.5604,250.6973,-10.0815,0.0008,0.0007,0.0008,1247.0619,46.6716,37.8227
340.9114,250.3584,-10.2500,0.0008,0.0007,0.0010,1248.6386,47.9329,37.8512
349.2509,250.0139,-10.4164,0.0008,0.0008,0.0011,1250.2574,49.1950,37.8737
357.5789,249.6640,-10.5805,0.0008,0.0008,0.0012,1251.9183,50.4578,37.8897
365.8951,249.3086,-10.7420,0.0009,0.0009,0.0012,1253.6213,51.7210,37.8989
374.1994,248.9478,-10.9010,0.0009,0.0009,0.0013,1255.3664,52.9844,37.9012
382.4916,248.5818,-11.0575,0.0009,0.0009,0.0013,1257.1536,54.2478,37.8971
390.7715,248.2107,-11.2116,0.0010,0.0010,0.0014,1258.9829,55.5109,37.8871
399.0389,247.8344,-11.3636,0.0010,0.0010,0.0014,1260.8543,56.7736,37.8719
407.2937,247.4531,-11.5136,0.0010,0.0011,0.0014,1262.7678,58.0357,37.8520
415.5357,247.0668,-11.6621,0.0011,0.0011,0.0014,1264.7233,59.2970,37.8284
423.7648,246.6756,-11.8093,0.0011,0.0012,0.0014,1266.7209,60.5576,37.8016
431.9807,246.2795,-11.9556,0.0012,0.0012,0.0014,1268.7605,61.8172,37.7722
440.1834,245.8786,-12.1013,0.0012,0.0013,0.0014,1270.8421,63.0757,37.7410
448.3726,245.4728,-12.2470,0.0012,0.0013,0.0014,1272.9655,64.3332,37.7082
456.5482,245.0621,-12.3940,0.0013,0.0014,0.0014,1275.1309,65.5896,37.6740
464.7100,244.6465,-12.5438,0.0013,0.0014,0.0014,1277.3382,66.8448,37.6382
