x,vx,ax,y,vy,ay,z,vz,az
0.0000,259.0800,-2.2876,0.0000,0.0000,0.0000,914.4000,0.0000,2.7608
8.6347,259.0037,-2.2118,0.0000,0.0000,0.0001,914.4011,0.0920,4.5936
17.2670,258.9325,-2.1347,0.0000,0.0000,0.0002,914.4075,0.3062,7.1810
25.8969,258.8614,-2.1549,0.0000,0.0000,0.0003,914.4220,0.5708,8.0566
34.5244,258.7889,-2.2035,0.0000,0.0000,0.0003,914.4456,0.8434,7.9275
43.1494,258.7145,-2.2581,0.0000,0.0000,0.0003,914.4781,1.0993,7.2025
51.7720,258.6383,-2.3119,0.0000,0.0000,0.0003,914.5185,1.3235,6.1422
60.3920,258.5604,-2.3635,0.0000,0.0000,0.0002,914.5659,1.5087,4.9168
69.0093,258.4808,-2.4139,0.0000,0.0001,0.0001,914.6186,1.6513,3.6384
77.6240,258.3995,-2.4638,0.0000,0.0001,-0.0000,914.6755,1.7513,2.3887
86.2360,258.3165,-2.5137,0.0000,0.0001,-0.0002,914.7349,1.8106,1.2217
94.8451,258.2319,-2.5631,0.0000,0.0000,-0.0003,914.7958,1.8327,0.1778
103.4514,258.1457,-2.6115,0.0000,0.0000,-0.0003,914.8568,1.8224,-0.7270
112.0548,258.0578,-2.6579,0.0000,0.0000,-0.0004,914.9170,1.7843,-1.4758
120.6552,257.9685,-2.7008,0.0000,0.0000,-0.0004,914.9755,1.7240,-2.0574
129.2527,257.8777,-2.7397,0.0000,-0.0000,-0.0005,915.0317,1.6471,-2.4844
137.8471,257.7858,-2.7741,0.0000,-0.0000,-0.0005,915.0851,1.5584,-2.7745
146.4384,257.6928,-2.8033,0.0000,-0.0000,-0.0004,915.1355,1.4622,-2.9324
155.0266,257.5989,-2.8270,0.0000,-0.0001,-0.0004,915.1826,1.3629,-2.9684
163.6116,257.5043,-2.8460,0.0000,-0.0001,-0.0003,915.2264,1.2643,-2.9105
172.1935,257.4092,-2.8611,0.0000,-0.0001,-0.0003,915.2669,1.1689,-2.7875
180.7722,257.3136,-2.8728,0.0000,-0.0001,-0.0002,915.3043,1.0784,-2.6135
189.3478,257.2177,-2.8816,0.0000,-0.0001,-0.0001,915.3389,0.9946,-2.3995
197.9201,257.1215,-2.8883,-0.0000,-0.0001,-0.0001,915.3707,0.9185,-2.1651
206.4892,257.0251,-2.8938,-0.0000,-0.0001,0.0000,915.4002,0.8503,-1.9270
215.0551,256.9286,-2.8987,-0.0000,-0.0001,0.0001,915.4275,0.7900,-1.6960
223.6178,256.8319,-2.9032,-0.0000,-0.0001,0.0001,915.4529,0.7372,-1.4796
232.1772,256.7350,-2.9078,-0.0000,-0.0001,0.0002,915.4767,0.6914,-1.2844
240.7334,256.6380,-2.9127,-0.0000,-0.0001,0.0002,915.4991,0.6516,-1.1150
249.2864,256.5408,-2.9181,-0.0000,-0.0001,0.0002,915.5202,0.6170,-0.9733
257.8362,256.4435,-2.9240,-0.0000,-0.0001,0.0002,915.5403,0.5867,-0.8594
266.3826,256.3459,-2.9305,-0.0000,-0.0001,0.0002,915.5594,0.5597,-0.7732
274.9259,256.2481,-2.9375,-0.0000,-0.0000,0.0002,915.5776,0.5352,-0.7125
283.4658,256.1501,-2.9448,-0.0000,-0.0000,0.0002,915.5951,0.5122,-0.6735
292.0025,256.0518,-2.9524,-0.0000,-0.0000,0.0002,915.6118,0.4903,-0.6530
300.5360,255.9532,-2.9602,-0.0000,-0.0000,0.0002,915.6278,0.4687,-0.6486
309.0661,255.8544,-2.9682,-0.0000,-0.0000,0.0002,915.6430,0.4470,-0.6564
317.5929,255.7554,-2.9761,-0.0000,-0.0000,0.0001,915.6576,0.4249,-0.6729
326.1164,255.6560,-2.9839,-0.0000,-0.0000,0.0001,915.6713,0.4022,-0.6950
334.6367,255.5564,-2.9914,-0.0000,-0.0000,0.0001,915.6844,0.3786,-0.7203
343.1535,255.4566,-2.9988,-0.0000,-0.0000,0.0001,915.6966,0.3541,-0.7463
351.6671,255.3565,-3.0057,-0.0000,-0.0000,0.0000,915.7080,0.3288,-0.7711
360.1773,255.2562,-3.0123,-0.0000,-0.0000,0.0000,915.7185,0.3027,-0.7931
368.6842,255.1557,-3.0185,-0.0000,-0.0000,0.0000,915.7281,0.2760,-0.8114
377.1877,255.0550,-3.0242,-0.0000,-0.0000,-0.0000,915.7369,0.2487,-0.8252
385.6878,254.9541,-3.0295,-0.0000,-0.0000,-0.0000,915.7447,0.2210,-0.8342
394.1846,254.8530,-3.0343,-0.0000,-0.0000,-0.0000,915.7516,0.1930,-0.8383
402.6780,254.7518,-3.0386,-0.0000,-0.0000,-0.0000,915.7576,0.1651,-0.8376
411.1681,254.6505,-3.0425,-0.0000,-0.0000,-0.0000,915.7626,0.1372,-0.8324
419.6547,254.5490,-3.0460,-0.0000,-0.0000,-0.0000,915.7667,0.1096,-0.8231
428.1380,254.4474,-3.0491,-0.0000,-0.0000,-0.0000,915.7699,0.0823,-0.8104
436.6179,254.3457,-3.0519,-0.0000,-0.0000,-0.0000,915.7722,0.0555,-0.7948
445.0944,254.2439,-3.0543,-0.0000,-0.0000,-0.0000,915.7736,0.0293,-0.7769
453.5675,254.1421,-3.0564,-0.0000,-0.0000,-0.0000,915.7742,0.0038,-0.7572
462.0372,254.0402,-3.0582,-0.0000,-0.0000,-0.0000,915.7739,-0.0211,-0.7363
470.5035,253.9382,-3.0598,-0.0000,-0.0000,-0.0000,915.7728,-0.0453,-0.7147
478.9664,253.8362,-3.0612,-0.0000,-0.0000,-0.0000,915.7709,-0.0688,-0.6928
487.4259,253.7341,-3.0624,-0.0000,-0.0000,-0.0000,915.7682,-0.0915,-0.6708
495.8820,253.6320,-3.0634,-0.0000,-0.0000,-0.0000,915.7648,-0.1135,-0.6493
504.3347,253.5299,-3.0643,-0.0000,-0.0000,-0.0000,915.7606,-0.1348,-0.6282
512.7840,253.4277,-3.0650,-0.0000,-0.0000,-0.0000,915.7558,-0.1554,-0.6078
521.2299,253.3256,-3.0655,-0.0000,-0.0000,-0.0000,915.7503,-0.1753,-0.5881
529.6724,253.2234,-3.0659,-0.0000,-0.0000,-0.0000,915.7441,-0.1946,-0.5693
538.1114,253.1212,-3.0662,-0.0000,-0.0000,-0.0000,915.7373,-0.2133,-0.5512
546.5471,253.0189,-3.0664,-0.0000,-0.0000,0.0000,915.7299,-0.2313,-0.5339
554.9794,252.9167,-3.0665,-0.0000,-0.0000,0.0000,915.7219,-0.2489,-0.5172
563.4082,252.8145,-3.0665,-0.0000,-0.0000,0.0000,915.7133,-0.2658,-0.5012
571.8337,252.7123,-3.0663,-0.0000,-0.0000,0.0000,915.7042,-0.2823,-0.4857
580.2557,252.6101,-3.0661,-0.0000,-0.0000,0.0000,915.6945,-0.2982,-0.4707
