x,vx,ax,y,vy,ay,z,vz,az
0.0000,274.3200,-2.9424,0.0000,0.0000,0.0000,1524.0000,0.0000,1.3971
9.1424,274.2219,-3.0525,0.0000,0.0000,0.0002,1524.0005,0.0466,4.1550
18.2814,274.1165,-3.1387,0.0000,0.0000,0.0005,1524.0052,0.2770,11.3431
27.4169,274.0127,-3.0919,0.0000,0.0000,0.0011,1524.0223,0.8028,20.9513
36.5489,273.9104,-3.1650,0.0000,0.0001,0.0017,1524.0625,1.6737,31.3806
45.6775,273.8017,-3.5421,0.0000,0.0001,0.0024,1524.1377,2.8948,41.5524
54.8022,273.6742,-4.2964,0.0000,0.0002,0.0030,1524.2592,4.4439,50.7787
63.9221,273.5152,-5.3915,0.0000,0.0003,0.0034,1524.4371,6.2801,58.6044
73.0360,273.3148,-6.7428,0.0000,0.0005,0.0036,1524.6805,8.3509,64.9066
82.1425,273.0657,-8.2423,0.0001,0.0006,0.0036,1524.9960,10.6072,69.7009
91.2399,272.7653,-9.7692,0.0001,0.0007,0.0034,1525.3891,12.9976,73.0437
100.3263,272.4144,-11.2417,0.0001,0.0008,0.0030,1525.8635,15.4768,75.1739
109.4003,272.0159,-12.6105,0.0001,0.0009,0.0025,1526.4215,18.0092,76.3658
118.4602,271.5737,-13.8412,0.0002,0.0010,0.0019,1527.0644,20.5678,76.8263
127.5048,271.0931,-14.9206,0.0002,0.0010,0.0013,1527.7928,23.1309,76.7151
136.5327,270.5790,-15.8524,0.0002,0.0011,0.0006,1528.6064,25.6821,76.1781
145.5431,270.0363,-16.6477,0.0003,0.0011,0.0001,1529.5046,28.2095,75.3440
154.5349,269.4692,-17.3239,0.0003,0.0011,-0.0004,1530.4866,30.7051,74.3171
163.5074,268.8814,-17.9020,0.0003,0.0010,-0.0008,1531.5512,33.1640,73.1786
172.4601,268.2757,-18.4032,0.0004,0.0010,-0.0011,1532.6971,35.5836,71.9978
181.3923,267.6545,-18.8475,0.0004,0.0010,-0.0012,1533.9230,37.9638,70.8267
190.3036,267.0192,-19.2536,0.0004,0.0009,-0.0012,1535.2276,40.3054,69.7022
199.1934,266.3709,-19.6381,0.0005,0.0009,-0.0011,1536.6097,42.6106,68.6550
208.0615,265.7100,-20.0146,0.0005,0.0009,-0.0008,1538.0680,44.8824,67.7037
216.9073,265.0366,-20.3926,0.0005,0.0008,-0.0005,1539.6015,47.1242,66.8540
225.7305,264.3505,-20.7811,0.0005,0.0008,0.0000,1541.2093,49.3394,66.1108
234.5305,263.6512,-21.1863,0.0006,0.0008,0.0006,1542.8905,51.5316,65.4751
243.3071,262.9381,-21.6111,0.0006,0.0009,0.0012,1544.6445,53.7044,64.9376
252.0596,262.2105,-22.0571,0.0006,0.0009,0.0019,1546.4706,55.8608,64.4888
260.7876,261.4676,-22.5260,0.0007,0.0010,0.0027,1548.3684,58.0036,64.1207
269.4906,260.7087,-23.0166,0.0007,0.0011,0.0034,1550.3374,60.1355,63.8211
278.1680,259.9332,-23.5266,0.0007,0.0012,0.0041,1552.3773,62.2584,63.5768
286.8193,259.1403,-24.0543,0.0008,0.0014,0.0049,1554.4879,64.3739,63.3772
295.4438,258.3296,-24.5980,0.0008,0.0015,0.0055,1556.6688,66.4835,63.2119
304.0410,257.5004,-25.1545,0.0009,0.0017,0.0062,1558.9201,68.5880,63.0702
312.6103,256.6526,-25.7213,0.0009,0.0020,0.0067,1561.2413,70.6882,62.9434
321.1510,255.7857,-26.2959,0.0010,0.0022,0.0072,1563.6326,72.7843,62.8245
329.6625,254.8995,-26.8756,0.0011,0.0024,0.0076,1566.0936,74.8765,62.7073
338.1441,253.9940,-27.4581,0.0012,0.0027,0.0079,1568.6243,76.9648,62.5869
346.5952,253.0690,-28.0415,0.0013,0.0030,0.0081,1571.2245,79.0489,62.4594
355.0151,252.1245,-28.6241,0.0014,0.0032,0.0082,1573.8942,81.1287,62.3224
363.4033,251.1607,-29.2045,0.0015,0.0035,0.0083,1576.6330,83.2038,62.1738
371.7590,250.1776,-29.7817,0.0016,0.0038,0.0082,1579.4410,85.2736,62.0127
380.0816,249.1753,-30.3548,0.0017,0.0041,0.0080,1582.3179,87.3379,61.8386
388.3704,248.1539,-30.9235,0.0019,0.0043,0.0078,1585.2635,89.3962,61.6516
396.6249,247.1137,-31.4874,0.0020,0.0046,0.0075,1588.2776,91.4480,61.4519
404.8445,246.0548,-32.0466,0.0022,0.0048,0.0072,1591.3599,93.4930,61.2402
413.0284,244.9773,-32.6010,0.0024,0.0051,0.0068,1594.5104,95.5307,61.0173
421.1761,243.8814,-33.1511,0.0025,0.0053,0.0064,1597.7286,97.5608,60.7840
429.2869,242.7672,-33.6973,0.0027,0.0055,0.0059,1601.0143,99.5830,60.5414
437.3604,241.6349,-34.2398,0.0029,0.0057,0.0054,1604.3673,101.5969,60.2901
445.3957,240.4845,-34.7792,0.0031,0.0058,0.0049,1607.7874,103.6023,60.0308
453.3925,239.3163,-35.3158,0.0033,0.0060,0.0044,1611.2741,105.5990,59.7647
461.3500,238.1301,-35.8503,0.0035,0.0061,0.0039,1614.8272,107.5866,59.4920
469.2676,236.9262,-36.3841,0.0037,0.0063,0.0033,1618.4464,109.5651,59.2124
477.1448,235.7045,-36.9187,0.0039,0.0064,0.0029,1622.1314,111.5341,58.9258
484.9810,234.4650,-37.4549,0.0041,0.0064,0.0024,1625.8819,113.4935,58.6323
492.7756,233.2076,-37.9923,0.0043,0.0065,0.0019,1629.6975,115.4430,58.3319
