x,vx,ax,y,vy,ay,z,vz,az
0.0000,274.3200,-3.0529,0.0000,0.0000,-0.1591,609.6000,0.0000,3.4389
9.1423,274.2182,-3.0280,-0.0001,-0.0053,-0.1326,609.6015,0.1146,6.3680
18.2812,274.1181,-2.9322,-0.0003,-0.0088,0.1033,609.6098,0.4245,12.9426
27.4169,274.0228,-2.8172,-0.0005,0.0016,0.6661,609.6325,0.9775,20.4048
36.5495,273.9303,-2.8011,0.0000,0.0356,1.4951,609.6778,1.7849,27.8518
45.6789,273.8360,-2.9434,0.0022,0.1013,2.5399,609.7542,2.8343,34.7035
54.8051,273.7341,-3.2533,0.0072,0.2049,3.7384,609.8692,4.0984,40.6169
63.9277,273.6191,-3.7076,0.0163,0.3505,5.0259,610.0294,5.5421,45.4371
73.0462,273.4869,-4.2705,0.0311,0.5400,6.3432,610.2402,7.1276,49.1387
82.1599,273.3344,-4.9063,0.0528,0.7734,7.6432,610.5057,8.8180,51.7842
91.2682,273.1598,-5.5603,0.0831,1.0495,8.8922,610.8289,10.5798,53.4949
100.3704,272.9637,-6.1775,0.1233,1.3662,10.0678,611.2115,12.3843,54.4143
109.4656,272.7480,-6.7335,0.1746,1.7207,11.1597,611.6547,14.2075,54.6921
118.5534,272.5148,-7.2185,0.2384,2.1101,12.1655,612.1587,16.0304,54.4732
127.6331,272.2668,-7.6310,0.3156,2.5317,13.0889,612.7232,17.8390,53.8875
136.7043,272.0061,-7.9762,0.4075,2.9827,13.9382,613.3477,19.6229,53.0480
145.7667,271.7350,-8.2632,0.5148,3.4609,14.7241,614.0311,21.3755,52.0497
154.8199,271.4552,-8.5029,0.6385,3.9644,15.4584,614.7723,23.0929,50.9695
163.8637,271.1682,-8.7066,0.7793,4.4915,16.1531,615.5702,24.7735,49.8678
172.8977,270.8748,-8.8850,0.9382,5.0412,16.8190,616.4235,26.4174,48.7894
181.9219,270.5758,-9.0478,1.1157,5.6128,17.4663,617.3310,28.0261,47.7665
190.9360,270.2716,-9.2029,1.3126,6.2056,18.1028,618.2915,29.6019,46.8198
199.9400,269.9623,-9.3567,1.5296,6.8196,18.7351,619.3041,31.1474,45.9608
208.9335,269.6478,-9.5140,1.7675,7.4547,19.3677,620.3677,32.6659,45.1938
217.9164,269.3280,-9.6783,2.0268,8.1108,20.0035,621.4816,34.1604,44.5174
226.8886,269.0026,-9.8518,2.3084,8.7882,20.6438,622.6448,35.6337,43.9258
235.8499,268.6712,-10.0356,2.6129,9.4871,21.2886,623.8569,37.0888,43.4107
244.8000,268.3336,-10.2300,2.9411,10.2075,21.9369,625.1172,38.5278,42.9618
253.7387,267.9892,-10.4346,3.2937,10.9495,22.5869,626.4253,39.9529,42.5680
262.6658,267.6379,-10.6485,3.6713,11.7133,23.2363,627.7806,41.3657,42.2185
271.5811,267.2793,-10.8707,4.0748,12.4986,23.8824,629.1829,42.7674,41.9027
280.4844,266.9132,-11.0996,4.5048,13.3054,24.5226,630.6317,44.1592,41.6108
289.3753,266.5394,-11.3339,4.9621,14.1334,25.1542,632.1267,45.5415,41.3347
298.2536,266.1576,-11.5721,5.4473,14.9824,25.7748,633.6677,46.9148,41.0670
307.1190,265.7679,-11.8129,5.9611,15.8518,26.3824,635.2543,48.2793,40.8021
315.9713,265.3701,-12.0550,6.5043,16.7412,26.9754,636.8862,49.6350,40.5355
324.8103,264.9642,-12.2975,7.0774,17.6501,27.5524,638.5632,50.9817,40.2639
333.6355,264.5503,-12.5396,7.6812,18.5780,28.1125,640.2849,52.3192,39.9851
342.4469,264.1283,-12.7806,8.3162,19.5243,28.6553,642.0510,53.6473,39.6978
351.2440,263.6982,-13.0202,8.9830,20.4884,29.1806,643.8613,54.9657,39.4014
360.0267,263.2602,-13.2582,9.6822,21.4697,29.6887,645.7153,56.2741,39.0959
368.7946,262.8143,-13.4950,10.4145,22.4676,30.1792,647.6128,57.5721,38.7822
377.5475,262.3606,-13.7323,11.1803,23.4816,30.6472,649.5533,58.8596,38.4640
386.2852,261.8989,-13.9717,11.9801,24.5108,31.0880,651.5366,60.1364,38.1455
395.0074,261.4291,-14.2136,12.8145,25.5541,31.5003,653.5623,61.4026,37.8296
403.7137,260.9513,-14.4582,13.6838,26.6108,31.8839,655.6300,62.6584,37.5189
412.4040,260.4652,-14.7059,14.5887,27.6797,32.2390,657.7394,63.9039,37.2150
421.0780,259.9709,-14.9567,15.5293,28.7600,32.5662,659.8901,65.1394,36.9196
429.7353,259.4681,-15.2109,16.5061,29.8508,32.8661,662.0819,66.3652,36.6341
438.3758,258.9568,-15.4687,17.5194,30.9511,33.1392,664.3144,67.5816,36.3596
446.9990,258.4369,-15.7303,18.5696,32.0601,33.3861,666.5873,68.7891,36.0970
455.6048,257.9081,-15.9957,19.6569,33.1769,33.6071,668.9002,69.9881,35.8473
464.1928,257.3705,-16.2650,20.7815,34.3006,33.8027,671.2530,71.1790,35.6109
472.7627,256.8238,-16.5384,21.9436,35.4304,33.9733,673.6454,72.3622,35.3886
481.3143,256.2679,-16.8158,23.1436,36.5654,34.1193,676.0771,73.5382,35.1806
489.8472,255.7028,-17.0972,24.3814,37.7050,34.2410,678.5479,74.7075,34.9872
498.3610,255.1281,-17.3826,25.6573,38.8482,34.3386,681.0575,75.8707,34.8086
506.8556,254.5439,-17.6719,26.9713,39.9942,34.4125,683.6059,77.0281,34.6447
515.3305,253.9500,-17.9651,28.3236,41.1423,34.4629,686.1927,78.1803,34.4957
523.7855,253.3462,-18.2619,29.7141,42.2918,34.4901,688.8178,79.3278,34.3613
532.2202,252.7325,-18.5623,31.1430,43.4417,34.4944,691.4812,80.4711,34.2415
540.6342,252.1088,-18.8661,32.6102,44.5914,34.4759,694.1825,81.6106,34.1361
549.0273,251.4748,-19.1732,34.1158,45.7401,34.4350,696.9218,82.7468,34.0448
557.3991,250.8305,-19.4832,35.6596,46.8870,34.3718,699.6990,83.8802,33.9674
565.7492,250.1759,-19.7962,37.2415,48.0315,34.2867,702.5138,85.0113,33.9035
574.0774,249.5108,-20.1118,38.8616,49.1728,34.1799,705.3664,86.1405,33.8528
582.3831,248.8351,-20.4298,40.5197,50.3102,34.0516,708.2565,87.2682,33.8151
590.6662,248.1488,-20.7500,42.2156,51.4429,33.9021,711.1842,88.3948,33.7898
598.9263,247.4518,-20.9919,43.9492,52.5703,33.7532,714.1495,89.5208,33.8120
607.1629,246.7494,-21.0136,45.7202,53.6932,33.6454,717.1523,90.6490,33.9463
615.3763,246.0509,-20.7812,47.5287,54.8134,33.5924,720.1928,91.7839,34.2122
623.5665,245.3639,-20.4817,49.3745,55.9326,33.5488,723.2714,92.9298,34.5333
631.7340,244.6854,-20.2804,51.2575,57.0500,33.4717,726.3883,94.0861,34.8392
639.8789,244.0119,-20.1742,53.1777,58.1641,33.3558,729.5439,95.2524,35.1222
648.0014,243.3405,-20.1466,55.1350,59.2737,33.1986,732.7385,96.4276,35.3795
656.1016,242.6688,-20.1855,57.1292,60.3773,33.0064,735.9725,97.6110,35.6206
664.1793,241.9948,-20.2801,59.1601,61.4741,32.7836,739.2460,98.8023,35.8517
672.2345,241.3168,-20.4198,61.2274,62.5629,32.5285,742.5594,100.0011,36.0705
680.2671,240.6335,-20.5965,63.3309,63.6427,32.2426,745.9128,101.2070,36.2788
688.2767,239.9437,-20.8036,65.4702,64.7124,31.9275,749.3066,102.4197,36.4783
696.2632,239.2466,-21.0354,67.6449,65.7712,31.5844,752.7409,103.6389,36.6705
704.2264,238.5413,-21.2870,69.8548,66.8180,31.2147,756.2159,104.8644,36.8566
712.1659,237.8274,-21.5546,72.0993,67.8521,30.8197,759.7319,106.0960,37.0375
720.0814,237.1044,-21.8348,74.3781,68.8727,30.4005,763.2890,107.3336,37.2144
727.9727,236.3718,-22.1248,76.6907,69.8788,29.9585,766.8875,108.5770,37.3880
735.8394,235.6294,-22.4223,79.0365,70.8699,29.4945,770.5276,109.8261,37.5589
743.6812,234.8770,-22.7252,81.4152,71.8452,29.0097,774.2093,111.0809,37.7276
751.4978,234.1144,-23.0320,83.8260,72.8039,28.5049,777.9330,112.3413,37.8947
759.2888,233.3415,-23.3411,86.2686,73.7455,27.9811,781.6988,113.6072,38.0604
767.0538,232.5583,-23.6512,88.7422,74.6693,27.4391,785.5069,114.8786,38.2250
774.7925,231.7648,-23.9613,91.2463,75.5748,26.8796,789.3575,116.1556,38.3887
782.5047,230.9609,-24.2707,93.7803,76.4613,26.3032,793.2507,117.4379,38.5512
790.1898,230.1467,-24.5786,96.3435,77.3283,25.7106,797.1867,118.7256,38.7125
797.8477,229.3223,-24.8843,98.9353,78.1753,25.1024,801.1658,120.0187,38.8724
805.4778,228.4878,-25.1871,101.5550,79.0018,24.4791,805.1880,121.3171,39.0308
813.0801,227.6432,-25.4866,104.2018,79.8072,23.8412,809.2536,122.6208,39.1873
820.6539,226.7887,-25.7822,106.8752,80.5912,23.1893,813.3628,123.9296,39.3417
828.1992,225.9244,-26.0734,109.5743,81.3532,22.5238,817.5157,125.2436,39.4936
835.7155,225.0504,-26.3598,112.2985,82.0928,21.8452,821.7124,126.5625,39.6426
843.2024,224.1670,-26.6410,115.0469,82.8095,21.1541,825.9532,127.8864,39.7883
850.6598,223.2744,-26.9167,117.8189,83.5031,20.4509,830.2382,129.2151,39.9304
858.0873,222.3726,-27.1865,120.6136,84.1729,19.7361,834.5676,130.5484,40.0684
865.4846,221.4619,-27.4502,123.4301,84.8188,19.0102,838.9415,131.8863,40.2019
872.8513,220.5426,-27.7074,126.2679,85.4403,18.2737,843.3601,133.2285,40.3306
880.1873,219.6148,-27.9579,129.1259,86.0371,17.5272,847.8235,134.5750,40.4540
887.4922,218.6787,-28.2016,132.0034,86.6088,16.7711,852.3318,135.9255,40.5718
894.7658,217.7347,-28.4382,134.8995,87.1551,16.0060,856.8852,137.2798,40.6835
