x,vx,ax,y,vy,ay,z,vz,az
0.0000,274.3200,-1.0066,0.0000,0.0000,0.0000,7620.0000,0.0000,-3.3071
9.1434,274.2864,-0.9427,0.0000,0.0000,0.0000,7619.9980,-0.1102,-2.3829
18.2858,274.2572,-0.8503,0.0000,0.0000,0.0001,7619.9933,-0.1589,-0.8693
27.4273,274.2298,-0.8107,0.0000,0.0000,0.0001,7619.9878,-0.1682,0.0266
36.5678,274.2031,-0.7956,0.0000,0.0000,0.0001,7619.9823,-0.1571,0.4056
45.7075,274.1767,-0.7899,0.0000,0.0000,0.0002,7619.9774,-0.1411,0.3594
54.8463,274.1504,-0.7862,0.0000,0.0000,0.0001,7619.9729,-0.1331,-0.0274
63.9842,274.1243,-0.7820,0.0000,0.0000,0.0001,7619.9683,-0.1430,-0.6787
73.1212,274.0983,-0.7778,0.0000,0.0000,0.0000,7619.9630,-0.1784,-1.5274
82.2574,274.0725,-0.7751,0.0000,0.0000,-0.0001,7619.9561,-0.2448,-2.5119
91.3927,274.0466,-0.7766,0.0000,0.0000,-0.0002,7619.9463,-0.3458,-3.5807
100.5272,274.0207,-0.7843,0.0000,0.0000,-0.0003,7619.9326,-0.4835,-4.6900
109.6607,273.9944,-0.7988,0.0000,0.0000,-0.0004,7619.9137,-0.6585,-5.8003
118.7934,273.9674,-0.8200,0.0000,-0.0000,-0.0005,7619.8883,-0.8702,-6.8792
127.9252,273.9397,-0.8476,0.0000,-0.0000,-0.0007,7619.8553,-1.1171,-7.9022
137.0561,273.9109,-0.8798,0.0000,-0.0001,-0.0008,7619.8135,-1.3970,-8.8469
146.1860,273.8810,-0.9135,0.0000,-0.0001,-0.0009,7619.7619,-1.7069,-9.6910
155.3148,273.8500,-0.9463,-0.0000,-0.0001,-0.0009,7619.6995,-2.0431,-10.4223
164.4426,273.8179,-0.9766,-0.0000,-0.0001,-0.0010,7619.6254,-2.4017,-11.0389
173.5693,273.7849,-1.0028,-0.0000,-0.0002,-0.0010,7619.5390,-2.7790,-11.5408
182.6949,273.7511,-1.0222,-0.0000,-0.0002,-0.0010,7619.4399,-3.1711,-11.9271
191.8194,273.7168,-1.0317,-0.0000,-0.0003,-0.0010,7619.3276,-3.5741,-12.1909
200.9427,273.6823,-1.0303,-0.0000,-0.0003,-0.0010,7619.2017,-3.9838,-12.3350
210.0649,273.6481,-1.0185,-0.0000,-0.0003,-0.0009,7619.0620,-4.3965,-12.3769
219.1859,273.6144,-0.9970,-0.0001,-0.0003,-0.0008,7618.9085,-4.8090,-12.3356
228.3058,273.5816,-0.9664,-0.0001,-0.0004,-0.0007,7618.7413,-5.2189,-12.2279
237.4247,273.5500,-0.9270,-0.0001,-0.0004,-0.0006,7618.5605,-5.6242,-12.0593
246.5425,273.5198,-0.8795,-0.0001,-0.0004,-0.0005,7618.3664,-6.0228,-11.8363
255.6594,273.4914,-0.8252,-0.0001,-0.0004,-0.0004,7618.1591,-6.4133,-11.5763
264.7753,273.4648,-0.7661,-0.0001,-0.0004,-0.0003,7617.9390,-6.7946,-11.2953
273.8904,273.4403,-0.7035,-0.0001,-0.0004,-0.0001,7617.7062,-7.1663,-11.0072
283.0047,273.4179,-0.6385,-0.0002,-0.0005,-0.0000,7617.4613,-7.5284,-10.7207
292.1183,273.3977,-0.5719,-0.0002,-0.0004,0.0001,7617.2045,-7.8810,-10.4438
301.2312,273.3798,-0.5047,-0.0002,-0.0004,0.0002,7616.9360,-8.2246,-10.1848
310.3436,273.3641,-0.4377,-0.0002,-0.0004,0.0003,7616.6562,-8.5600,-9.9497
319.4555,273.3506,-0.3715,-0.0002,-0.0004,0.0004,7616.3654,-8.8879,-9.7429
328.5670,273.3393,-0.3065,-0.0002,-0.0004,0.0004,7616.0638,-9.2095,-9.5674
337.6782,273.3302,-0.2429,-0.0002,-0.0004,0.0005,7615.7515,-9.5258,-9.4243
346.7890,273.3231,-0.1809,-0.0003,-0.0004,0.0005,7615.4288,-9.8378,-9.3129
355.8997,273.3181,-0.1204,-0.0003,-0.0004,0.0005,7615.0957,-10.1466,-9.2326
365.0103,273.3151,-0.0616,-0.0003,-0.0003,0.0005,7614.7524,-10.4533,-9.1823
374.1208,273.3140,-0.0044,-0.0003,-0.0003,0.0005,7614.3988,-10.7588,-9.1597
383.2312,273.3148,0.0515,-0.0003,-0.0003,0.0005,7614.0351,-11.0639,-9.1607
392.3418,273.3174,0.1062,-0.0003,-0.0003,0.0005,7613.6612,-11.3695,-9.1818
401.4524,273.3219,0.1598,-0.0003,-0.0003,0.0004,7613.2771,-11.6761,-9.2202
410.5632,273.3281,0.2125,-0.0003,-0.0003,0.0004,7612.8828,-11.9842,-9.2729
419.6743,273.3360,0.2646,-0.0003,-0.0003,0.0003,7612.4782,-12.2943,-9.3360
428.7857,273.3457,0.3163,-0.0003,-0.0002,0.0003,7612.0632,-12.6066,-9.4059
437.8974,273.3571,0.3676,-0.0004,-0.0002,0.0002,7611.6377,-12.9213,-9.4798
447.0095,273.3702,0.4189,-0.0004,-0.0002,0.0002,7611.2017,-13.2386,-9.5553
456.1221,273.3850,0.4702,-0.0004,-0.0002,0.0001,7610.7551,-13.5583,-9.6298
465.2352,273.4016,0.5218,-0.0004,-0.0002,0.0001,7610.2978,-13.8806,-9.7013
474.3489,273.4198,0.5737,-0.0004,-0.0002,0.0000,7609.8297,-14.2051,-9.7681
483.4632,273.4398,0.6257,-0.0004,-0.0002,-0.0000,7609.3508,-14.5318,-9.8290
492.5782,273.4615,0.6774,-0.0004,-0.0002,-0.0001,7608.8609,-14.8604,-9.8829
501.6940,273.4850,0.7282,-0.0004,-0.0002,-0.0001,7608.3601,-15.1906,-9.9295
510.8106,273.5101,0.7780,-0.0004,-0.0002,-0.0001,7607.8482,-15.5223,-9.9685
519.9280,273.5368,0.8268,-0.0004,-0.0002,-0.0001,7607.3252,-15.8552,-9.9996
529.0464,273.5652,0.8748,-0.0004,-0.0002,-0.0001,7606.7912,-16.1890,-10.0231
538.1657,273.5952,0.9218,-0.0004,-0.0002,-0.0002,7606.2460,-16.5234,-10.0396
547.2861,273.6267,0.9680,-0.0004,-0.0002,-0.0002,7605.6896,-16.8583,-10.0500
556.4075,273.6597,1.0133,-0.0005,-0.0003,-0.0002,7605.1221,-17.1934,-10.0547
565.5301,273.6942,1.0578,-0.0005,-0.0003,-0.0002,7604.5434,-17.5286,-10.0543
574.6538,273.7302,1.1014,-0.0005,-0.0003,-0.0001,7603.9535,-17.8637,-10.0499
583.7787,273.7677,1.1440,-0.0005,-0.0003,-0.0001,7603.3525,-18.1986,-10.0425
592.9050,273.8065,1.1856,-0.0005,-0.0003,-0.0001,7602.7403,-18.5332,-10.0328
