x,vx,ax,y,vy,ay,z,vz,az
0.0000,243.8400,-2.1531,0.0000,0.0000,0.0000,609.6000,0.0000,0.4638
8.1268,243.7682,-2.1718,0.0000,0.0000,0.0001,609.6000,0.0155,2.5056
16.2512,243.6952,-2.1754,0.0000,0.0000,0.0003,609.6026,0.1670,7.1612
24.3732,243.6232,-2.1553,0.0000,0.0000,0.0006,609.6130,0.4929,12.6004
32.4928,243.5515,-2.1906,0.0000,0.0000,0.0010,609.6375,1.0071,18.2435
40.6099,243.4772,-2.3325,0.0000,0.0001,0.0014,609.6822,1.7091,23.6680
48.7245,243.3960,-2.5993,0.0000,0.0001,0.0018,609.7533,2.5849,28.5763
56.8362,243.3039,-2.9879,0.0000,0.0002,0.0022,609.8563,3.6142,32.8476
64.9446,243.1968,-3.4718,0.0000,0.0003,0.0024,609.9958,4.7748,36.3894
73.0491,243.0724,-4.0144,0.0000,0.0004,0.0026,610.1757,6.0402,39.1642
81.1492,242.9292,-4.5872,0.0000,0.0005,0.0026,610.3994,7.3857,41.2544
89.2442,242.7666,-5.1631,0.0001,0.0005,0.0026,610.6689,8.7904,42.7405
97.3334,242.5850,-5.7147,0.0001,0.0006,0.0025,610.9859,10.2351,43.6838
105.4163,242.3856,-6.2255,0.0001,0.0007,0.0023,611.3515,11.7027,44.1693
113.4923,242.1700,-6.6909,0.0001,0.0008,0.0020,611.7662,13.1797,44.2934
121.5608,241.9396,-7.1097,0.0002,0.0008,0.0017,612.2301,14.6556,44.1448
129.6215,241.6960,-7.4814,0.0002,0.0009,0.0014,612.7431,16.1227,43.7949
137.6738,241.4408,-7.8090,0.0002,0.0009,0.0010,613.3048,17.5753,43.3014
145.7174,241.1754,-8.0993,0.0002,0.0010,0.0007,613.9146,19.0095,42.7153
153.7520,240.9009,-8.3594,0.0003,0.0010,0.0003,614.5718,20.4229,42.0802
161.7774,240.6181,-8.5961,0.0003,0.0010,0.0000,615.2759,21.8148,41.4337
169.7931,240.3278,-8.8157,0.0003,0.0010,-0.0002,616.0259,23.1852,40.8012
177.7991,240.0304,-9.0242,0.0004,0.0010,-0.0005,616.8213,24.5349,40.2000
185.7951,239.7262,-9.2267,0.0004,0.0010,-0.0006,617.6614,25.8652,39.6458
193.7808,239.4153,-9.4274,0.0004,0.0009,-0.0008,618.5455,27.1779,39.1477
201.7560,239.0977,-9.6293,0.0005,0.0009,-0.0008,619.4731,28.4750,38.7077
209.7206,238.7733,-9.8351,0.0005,0.0009,-0.0009,620.4436,29.7584,38.3281
217.6742,238.4420,-10.0469,0.0005,0.0008,-0.0009,621.4568,31.0302,38.0083
225.6166,238.1035,-10.2653,0.0006,0.0008,-0.0008,622.5122,32.2923,37.7427
233.5477,237.7577,-10.4909,0.0006,0.0008,-0.0007,623.6096,33.5464,37.5264
241.4671,237.4041,-10.7243,0.0006,0.0008,-0.0006,624.7486,34.7941,37.3550
249.3745,237.0427,-10.9652,0.0006,0.0007,-0.0005,625.9291,36.0367,37.2218
257.2698,236.6731,-11.2128,0.0007,0.0007,-0.0004,627.1510,37.2755,37.1195
265.1526,236.2952,-11.4667,0.0007,0.0007,-0.0002,628.4141,38.5114,37.0424
273.0227,235.9087,-11.7263,0.0007,0.0007,-0.0000,629.7184,39.7450,36.9852
280.8798,235.5134,-11.9904,0.0007,0.0007,0.0002,631.0638,40.9771,36.9420
288.7235,235.1093,-12.2582,0.0008,0.0007,0.0003,632.4502,42.2078,36.9080
296.5536,234.6962,-12.5289,0.0008,0.0007,0.0005,633.8776,43.4376,36.8794
304.3698,234.2741,-12.8016,0.0008,0.0008,0.0007,635.3460,44.6665,36.8528
312.1718,233.8428,-13.0756,0.0008,0.0008,0.0008,636.8554,45.8944,36.8253
319.9593,233.4024,-13.3502,0.0009,0.0008,0.0010,638.4056,47.1215,36.7948
327.7319,232.9528,-13.6247,0.0009,0.0008,0.0011,639.9968,48.3474,36.7597
