x,vx,ax,y,vy,ay,z,vz,az
0.0000,243.8400,-2.0222,0.0000,0.0000,0.1393,1219.2000,0.0000,-0.2739
8.1269,243.7726,-2.0514,0.0001,0.0046,0.1465,1219.1996,-0.0091,1.5674
16.2515,243.7032,-2.0696,0.0003,0.0098,0.0150,1219.2008,0.1045,5.8708
24.3738,243.6346,-2.0503,0.0006,0.0056,-0.3775,1219.2084,0.3823,11.0763
32.4938,243.5665,-2.0738,0.0005,-0.0154,-0.9835,1219.2283,0.8429,16.5923
40.6115,243.4964,-2.1979,-0.0007,-0.0599,-1.7683,1219.2666,1.4884,21.9845
48.7268,243.4200,-2.4496,-0.0038,-0.1333,-2.6919,1219.3295,2.3085,26.9504
56.8394,243.3331,-2.8276,-0.0099,-0.2394,-3.7110,1219.4223,3.2851,31.2990
64.9489,243.2315,-3.3104,-0.0202,-0.3807,-4.7837,1219.5499,4.3952,34.9357
73.0546,243.1124,-3.8664,-0.0357,-0.5583,-5.8724,1219.7165,5.6141,37.8398
81.1561,242.9738,-4.4609,-0.0578,-0.7722,-6.9465,1219.9252,6.9178,40.0373
89.2527,242.8150,-5.0627,-0.0876,-1.0214,-7.9845,1220.1784,8.2833,41.5905
97.3436,242.6362,-5.6465,-0.1263,-1.3045,-8.9703,1220.4779,9.6905,42.5796
105.4282,242.4385,-6.1939,-0.1749,-1.6194,-9.8947,1220.8247,11.1219,43.0890
113.5060,242.2233,-6.6948,-0.2346,-1.9641,-10.7554,1221.2194,12.5631,43.2067
121.5763,241.9922,-7.1440,-0.3062,-2.3364,-11.5522,1221.6622,14.0024,43.0140
129.6386,241.7471,-7.5407,-0.3906,-2.7343,-12.2882,1222.1528,15.4307,42.5826
137.6926,241.4895,-7.8892,-0.4887,-3.1557,-12.9685,1222.6907,16.8412,41.9758
145.7378,241.2211,-8.1952,-0.6012,-3.5988,-13.6003,1223.2753,18.2291,41.2500
153.7739,240.9432,-8.4651,-0.7289,-4.0623,-14.1957,1223.9057,19.5912,40.4572
161.8006,240.6568,-8.7063,-0.8723,-4.5452,-14.7611,1224.5811,20.9262,39.6346
169.8176,240.3627,-8.9262,-1.0321,-5.0464,-15.2977,1225.3005,22.2335,38.8045
177.8247,240.0617,-9.1311,-1.2089,-5.5651,-15.8135,1226.0630,23.5132,37.9888
185.8216,239.7540,-9.3267,-1.4033,-6.1006,-16.3171,1226.8677,24.7661,37.2080
193.8082,239.4399,-9.5175,-1.6158,-6.6529,-16.8114,1227.7138,25.9937,36.4721
201.7842,239.1195,-9.7072,-1.8470,-7.2214,-17.2971,1228.6004,27.1976,35.7842
209.7494,238.7928,-9.8991,-2.0974,-7.8060,-17.7777,1229.5267,28.3794,35.1477
217.7037,238.4596,-10.0956,-2.3676,-8.4066,-18.2561,1230.4921,29.5408,34.5645
225.6467,238.1197,-10.2979,-2.6580,-9.0231,-18.7323,1231.4959,30.6837,34.0313
233.5782,237.7730,-10.5072,-2.9693,-9.6554,-19.2069,1232.5375,31.8095,33.5447
241.4981,237.4192,-10.7245,-3.3019,-10.3035,-19.6815,1233.6164,32.9200,33.1024
249.4061,237.0581,-10.9498,-3.6563,-10.9675,-20.1550,1234.7320,34.0164,32.6991
257.3019,236.6893,-11.1823,-4.0332,-11.6472,-20.6238,1235.8840,35.0999,32.3276
265.1853,236.3126,-11.4215,-4.4330,-12.3424,-21.0886,1237.0719,36.1715,31.9820
273.0560,235.9278,-11.6673,-4.8562,-13.0531,-21.5475,1238.2953,37.2320,31.6596
280.9137,235.5348,-11.9190,-5.3034,-13.7789,-21.9977,1239.5539,38.2822,31.3559
288.7582,235.1332,-12.1755,-5.7750,-14.5196,-22.4416,1240.8473,39.3224,31.0644
296.5892,234.7231,-12.4355,-6.2715,-15.2750,-22.8799,1242.1753,40.3531,30.7794
304.4063,234.3042,-12.6985,-6.7935,-16.0449,-23.3072,1243.5374,41.3744,30.5000
312.2094,233.8765,-12.9639,-7.3413,-16.8289,-23.7213,1244.9335,42.3865,30.2247
319.9980,233.4399,-13.2307,-7.9155,-17.6264,-24.1232,1246.3631,43.3894,29.9500
327.7719,232.9945,-13.4983,-8.5166,-18.4371,-24.5131,1247.8260,44.3831,29.6739
335.5309,232.5400,-13.7661,-9.1448,-19.2606,-24.8909,1249.3218,45.3676,29.3951
343.2745,232.0767,-14.0337,-9.8007,-20.0965,-25.2559,1250.8504,46.3428,29.1131
351.0026,231.6045,-14.3005,-10.4847,-20.9443,-25.6079,1252.4113,47.3085,28.8271
358.7147,231.1233,-14.5662,-11.1972,-21.8037,-25.9470,1254.0042,48.2646,28.5365
366.4107,230.6334,-14.8306,-11.9384,-22.6741,-26.2735,1255.6288,49.2109,28.2419
374.0902,230.1346,-15.0938,-12.7089,-23.5552,-26.5875,1257.2848,50.1474,27.9438
381.7529,229.6271,-15.3557,-13.5089,-24.4466,-26.8899,1258.9718,51.0739,27.6422
389.3985,229.1109,-15.6160,-14.3388,-25.3479,-27.1803,1260.6896,51.9902,27.3376
397.0269,228.5861,-15.8750,-15.1988,-26.2586,-27.4583,1262.4377,52.8964,27.0311
404.6375,228.0526,-16.1325,-16.0894,-27.1784,-27.7257,1264.2159,53.7923,26.7220
412.2303,227.5106,-16.3886,-17.0108,-28.1070,-27.9835,1266.0238,54.6778,26.4101
419.8048,226.9600,-16.6434,-17.9633,-29.0440,-28.2308,1267.8610,55.5530,26.0969
427.3608,226.4010,-16.8971,-18.9472,-29.9891,-28.4688,1269.7272,56.4176,25.7829
434.8981,225.8335,-17.1499,-19.9627,-30.9419,-28.6967,1271.6220,57.2718,25.4693
442.4163,225.2577,-17.4020,-21.0101,-31.9022,-28.9143,1273.5452,58.1156,25.1568
449.9152,224.6734,-17.6534,-22.0896,-32.8695,-29.1232,1275.4963,58.9489,24.8450
457.3944,224.0808,-17.9044,-23.2014,-33.8437,-29.3234,1277.4750,59.7719,24.5348
464.8538,223.4798,-18.1548,-24.3459,-34.8244,-29.5169,1279.4810,60.5846,24.2246
472.2930,222.8705,-18.4050,-25.5232,-35.8115,-29.7030,1281.5139,61.3869,23.9156
479.7118,222.2528,-18.6549,-26.7334,-36.8046,-29.8807,1283.5733,62.1790,23.6088
487.1098,221.6268,-18.9047,-27.9769,-37.8036,-30.0503,1285.6590,62.9608,23.3042
494.4868,220.9925,-19.1544,-29.2537,-38.8080,-30.2112,1287.7706,63.7326,23.0024
501.8425,220.3498,-19.4040,-30.5641,-39.8176,-30.3648,1289.9078,64.4943,22.7027
509.1767,219.6989,-19.6535,-31.9083,-40.8323,-30.5111,1292.0701,65.2461,22.4051
516.4890,219.0396,-19.9030,-33.2863,-41.8517,-30.6507,1294.2574,65.9880,22.1092
523.7792,218.3720,-20.1525,-34.6984,-42.8757,-30.7832,1296.4692,66.7200,21.8156
531.0471,217.6961,-20.4020,-36.1447,-43.9039,-30.9085,1298.7053,67.4424,21.5244
538.2922,217.0119,-20.6515,-37.6254,-44.9362,-31.0265,1300.9653,68.1550,21.2357
545.5144,216.3193,-20.9009,-39.1405,-45.9724,-31.1372,1303.2488,68.8581,20.9496
552.7134,215.6185,-21.1504,-40.6903,-47.0121,-31.2408,1305.5557,69.5516,20.6660
559.8889,214.9093,-21.3999,-42.2747,-48.0551,-31.3367,1307.8855,70.2358,20.3856
567.0406,214.1918,-21.6494,-43.8940,-49.1012,-31.4262,1310.2380,70.9107,20.1072
574.1683,213.4660,-21.8987,-45.5482,-50.1502,-31.5104,1312.6128,71.5763,19.8300
581.2716,212.7319,-22.1480,-47.2374,-51.2019,-31.5878,1315.0096,72.2327,19.5552
588.3503,211.9895,-22.3972,-48.9616,-52.2560,-31.6589,1317.4282,72.8800,19.2826
595.4041,211.2388,-22.6464,-50.7211,-53.3125,-31.7229,1319.8682,73.5182,19.0130
602.4328,210.4797,-22.8955,-52.5158,-54.3709,-31.7794,1322.3293,74.1475,18.7466
609.4360,209.7124,-23.1445,-54.3459,-55.4311,-31.8298,1324.8113,74.7680,18.4826
616.4135,208.9368,-23.3935,-56.2112,-56.4929,-31.8737,1327.3137,75.3797,18.2212
623.3650,208.1528,-23.6422,-58.1121,-57.5560,-31.9126,1329.8365,75.9827,17.9609
630.2903,207.3606,-23.8907,-60.0483,-58.6204,-31.9460,1332.3792,76.5771,17.7025
637.1890,206.5601,-24.1392,-62.0201,-59.6857,-31.9732,1334.9415,77.1629,17.4467
644.0609,205.7513,-24.3874,-64.0274,-60.7519,-31.9946,1337.5232,77.7402,17.1932
650.9056,204.9343,-24.6356,-66.0702,-61.8187,-32.0090,1340.1241,78.3091,16.9429
657.7231,204.1090,-24.8836,-68.1486,-62.8858,-32.0177,1342.7438,78.8697,16.6951
664.5128,203.2754,-25.1315,-70.2626,-63.9532,-32.0211,1345.3820,79.4221,16.4493
671.2747,202.4335,-25.3791,-72.4122,-65.0206,-32.0192,1348.0385,79.9663,16.2054
678.0083,201.5834,-25.6265,-74.5973,-66.0878,-32.0120,1350.7130,80.5024,15.9635
684.7135,200.7251,-25.8737,-76.8180,-67.1547,-31.9992,1353.4052,81.0306,15.7242
691.3899,199.8585,-26.1207,-79.0743,-68.2211,-31.9810,1356.1149,81.5507,15.4872
698.0373,198.9837,-26.3675,-81.3661,-69.2868,-31.9574,1358.8418,82.0630,15.2525
704.6554,198.1007,-26.6141,-83.6934,-70.3516,-31.9286,1361.5857,82.5676,15.0200
711.2439,197.2094,-26.8604,-86.0562,-71.4154,-31.8946,1364.3463,83.0644,14.7898
717.8026,196.3100,-27.1064,-88.4544,-72.4779,-31.8555,1367.1232,83.5535,14.5617
