x,vx,ax,y,vy,ay,z,vz,az
0.0000,274.3200,-2.7088,0.0000,0.0000,-0.1522,1524.0000,0.0000,2.3085
9.1425,274.2297,-2.6683,-0.0001,-0.0051,-0.1358,1524.0009,0.0769,4.7221
18.2820,274.1421,-2.5613,-0.0003,-0.0091,0.0616,1524.0069,0.3148,9.9985
27.4187,274.0590,-2.4468,-0.0005,-0.0010,0.5434,1524.0240,0.7435,15.8364
36.5526,273.9790,-2.3978,-0.0002,0.0272,1.2420,1524.0587,1.3706,21.6599
45.6840,273.8991,-2.4531,0.0016,0.0818,2.1119,1524.1175,2.1875,27.0717
54.8125,273.8155,-2.6187,0.0056,0.1680,3.1053,1524.2064,3.1753,31.8203
63.9382,273.7245,-2.8802,0.0132,0.2889,4.1733,1524.3308,4.3089,35.7745
73.0607,273.6234,-3.2140,0.0253,0.4462,5.2706,1524.4950,5.5603,38.8957
82.1797,273.5103,-3.5854,0.0433,0.6402,6.3600,1524.7025,6.9019,41.2103
91.2946,273.3844,-3.9738,0.0684,0.8702,7.4137,1524.9558,8.3077,42.7891
100.4051,273.2453,-4.3715,0.1017,1.1345,8.4117,1525.2568,9.7545,43.7253
109.5108,273.0930,-4.7478,0.1444,1.4310,9.3427,1525.6064,11.2227,44.1233
118.6112,272.9288,-5.0770,0.1974,1.7573,10.2033,1526.0050,12.6961,44.0909
127.7060,272.7545,-5.3552,0.2618,2.1112,10.9940,1526.4527,14.1621,43.7276
136.7948,272.5718,-5.5847,0.3385,2.4903,11.7199,1526.9490,15.6113,43.1227
145.8773,272.3822,-5.7704,0.4281,2.8925,12.3885,1527.4932,17.0369,42.3548
154.9535,272.1871,-5.9188,0.5315,3.3162,13.0093,1528.0845,18.4349,41.4901
164.0231,271.9876,-6.0377,0.6494,3.7598,13.5914,1528.7219,19.8029,40.5809
173.0860,271.7846,-6.1346,0.7824,4.2223,14.1444,1529.4043,21.1403,39.6695
182.1420,271.5786,-6.2165,0.9311,4.7028,14.6771,1530.1309,22.4476,38.7882
191.1912,271.3702,-6.2894,1.0961,5.2007,15.1970,1530.9005,23.7262,37.9583
200.2334,271.1593,-6.3585,1.2780,5.7159,15.7105,1531.7123,24.9781,37.1944
209.2685,270.9463,-6.4278,1.4774,6.2481,16.2227,1532.5655,26.2058,36.5056
218.2964,270.7308,-6.5002,1.6947,6.7974,16.7368,1533.4591,27.4118,35.8927
227.3171,270.5129,-6.5779,1.9307,7.3639,17.2551,1534.3927,28.5987,35.3546
236.3306,270.2923,-6.6625,2.1859,7.9477,17.7788,1535.3655,29.7688,34.8878
245.3366,270.0687,-6.7543,2.4608,8.5491,18.3077,1536.3771,30.9245,34.4837
254.3351,269.8420,-6.8536,2.7560,9.1683,18.8407,1537.4270,32.0677,34.1343
263.3260,269.6118,-6.9603,3.0722,9.8052,19.3765,1538.5148,33.2001,33.8318
272.3092,269.3780,-7.0737,3.4099,10.4600,19.9133,1539.6403,34.3232,33.5663
281.2845,269.1403,-7.1929,3.7697,11.1327,20.4487,1540.8030,35.4379,33.3291
290.2518,268.8985,-7.3172,4.1523,11.8233,20.9800,1542.0027,36.5451,33.1128
299.2110,268.6524,-7.4456,4.5581,12.5314,21.5057,1543.2392,37.6454,32.9101
308.1620,268.4021,-7.5770,4.9879,13.2570,22.0234,1544.5123,38.7391,32.7150
317.1045,268.1473,-7.7107,5.4421,13.9996,22.5310,1545.8218,39.8264,32.5224
326.0384,267.8880,-7.8457,5.9214,14.7590,23.0275,1547.1673,40.9073,32.3287
334.9636,267.6243,-7.9815,6.4262,15.5348,23.5115,1548.5488,41.9816,32.1308
343.8800,267.3559,-8.1174,6.9572,16.3265,23.9818,1549.9660,43.0493,31.9267
352.7873,267.0831,-8.2531,7.5148,17.1336,24.4384,1551.4187,44.1101,31.7152
361.6855,266.8057,-8.3890,8.0996,17.9557,24.8809,1552.9066,45.1637,31.4956
370.5743,266.5238,-8.5261,8.7120,18.7923,25.3086,1554.4295,46.2098,31.2673
379.4537,266.2373,-8.6652,9.3526,19.6429,25.7223,1555.9872,47.2482,31.0308
388.3234,265.9462,-8.8062,10.0217,20.5071,26.1225,1557.5793,48.2785,30.7866
397.1833,265.6503,-8.9489,10.7199,21.3844,26.5089,1559.2057,49.3006,30.5355
406.0334,265.3496,-9.0931,11.4475,22.2744,26.8823,1560.8659,50.3142,30.2786
414.8733,265.0440,-9.2391,12.2050,23.1766,27.2440,1562.5599,51.3192,30.0168
423.7029,264.7336,-9.3869,12.9927,24.0907,27.5944,1564.2871,52.3153,29.7513
432.5221,264.4182,-9.5365,13.8111,25.0162,27.9335,1566.0475,53.3026,29.4831
441.3307,264.0979,-9.6880,14.6606,25.9529,28.2625,1567.8405,54.2809,29.2130
450.1286,263.7724,-9.8415,15.5415,26.9004,28.5819,1569.6661,55.2501,28.9418
458.9155,263.4418,-9.9971,16.4541,27.8584,28.8921,1571.5238,56.2103,28.6703
467.6913,263.1059,-10.1550,17.3988,28.8265,29.1936,1573.4133,57.1615,28.3990
476.4558,262.7648,-10.3152,18.3759,29.8046,29.4867,1575.3344,58.1036,28.1285
485.2089,262.4182,-10.4778,19.3859,30.7923,29.7719,1577.2868,59.0367,27.8591
493.9503,262.0662,-10.6427,20.4289,31.7894,30.0492,1579.2701,59.9609,27.5912
502.6799,261.7087,-10.8100,21.5053,32.7956,30.3191,1581.2841,60.8761,27.3249
511.3975,261.3456,-10.9798,22.6153,33.8107,30.5817,1583.3284,61.7825,27.0604
520.1029,260.9767,-11.1518,23.7594,34.8344,30.8369,1585.4028,62.6802,26.7979
528.7959,260.6021,-11.3262,24.9377,35.8665,31.0849,1587.5070,63.5691,26.5373
537.4763,260.2216,-11.5029,26.1506,36.9067,31.3262,1589.6407,64.4493,26.2787
546.1439,259.8353,-11.6818,27.3983,37.9549,31.5604,1591.8035,65.3210,26.0220
554.7986,259.4429,-11.8628,28.6810,39.0107,31.7874,1593.9953,66.1841,25.7675
563.4401,259.0444,-12.0458,29.9991,40.0740,32.0075,1596.2157,67.0388,25.5149
572.0681,258.6398,-12.2308,31.3527,41.1446,32.2210,1598.4645,67.8851,25.2641
580.6826,258.2290,-12.4177,32.7421,42.2221,32.4275,1600.7413,68.7231,25.0152
589.2833,257.8120,-12.6069,34.1676,43.3064,32.6272,1603.0459,69.5528,24.7681
597.8700,257.3885,-12.6191,35.6293,44.3972,32.8592,1605.3781,70.3743,24.5818
606.4426,256.9707,-12.2618,37.1275,45.4970,33.1691,1607.7375,71.1916,24.5225
615.0016,256.5711,-11.7749,38.6626,46.6085,33.5146,1610.1242,72.0091,24.5195
623.5476,256.1857,-11.4027,40.2349,47.7313,33.8435,1612.5381,72.8262,24.4937
632.0808,255.8109,-11.1292,41.8447,48.8647,34.1479,1614.9793,73.6420,24.4399
640.6017,255.4437,-10.9387,43.4926,50.0078,34.4271,1617.4475,74.4555,24.3586
649.1104,255.0817,-10.8181,45.1787,51.1599,34.6908,1619.9429,75.2659,24.2609
657.6072,254.7225,-10.7560,46.9033,52.3206,34.9413,1622.4652,76.0729,24.1505
666.0919,254.3646,-10.7427,48.6668,53.4893,35.1752,1625.0144,76.8760,24.0254
674.5648,254.0064,-10.7701,50.4694,54.6656,35.3934,1627.5902,77.6746,23.8878
683.0257,253.6466,-10.8317,52.3113,55.8489,35.5984,1630.1926,78.4685,23.7379
691.4745,253.2842,-10.9219,54.1927,57.0388,35.7893,1632.8214,79.2572,23.5792
699.9113,252.9185,-11.0368,56.1139,58.2348,35.9615,1635.4764,80.0404,23.4189
708.3357,252.5485,-11.1729,58.0751,59.4362,36.1124,1638.1574,80.8184,23.2624
716.7478,252.1736,-11.3271,60.0764,60.6423,36.2415,1640.8642,81.5913,23.1126
725.1472,251.7933,-11.4971,62.1180,61.8523,36.3493,1643.5968,82.3593,22.9713
733.5339,251.4071,-11.6804,64.1999,63.0656,36.4363,1646.3548,83.1227,22.8399
741.9076,251.0146,-11.8753,66.3224,64.2814,36.5031,1649.1382,83.8819,22.7197
750.2682,250.6154,-12.0801,68.4854,65.4991,36.5506,1651.9469,84.6373,22.6109
758.6153,250.2093,-12.2937,70.6890,66.7181,36.5792,1654.7807,85.3893,22.5145
766.9487,249.7959,-12.5147,72.9332,67.9377,36.5893,1657.6395,86.1383,22.4311
775.2682,249.3750,-12.7422,75.2182,69.1574,36.5815,1660.5232,86.8847,22.3611
783.5736,248.9464,-12.9668,77.5437,70.3765,36.5593,1663.4318,87.6290,22.3084
791.8645,248.5105,-13.2812,79.9099,71.5947,36.4905,1666.3651,88.3719,22.2344
800.1407,248.0610,-13.9095,82.3166,72.8092,36.2945,1669.3232,89.1113,22.0440
808.4017,247.5832,-14.8848,84.7638,74.0143,35.9533,1672.3058,89.8415,21.7184
816.6460,247.0687,-15.9152,87.2508,75.2061,35.5639,1675.3125,90.5592,21.3742
824.8726,246.5222,-16.8116,89.7774,76.3852,35.1917,1678.3429,91.2665,21.0887
833.0805,245.9479,-17.5996,92.3430,77.5522,34.8333,1681.3968,91.9651,20.8552
841.2688,245.3489,-18.2995,94.9474,78.7075,34.4879,1684.4739,92.6568,20.6702
849.4368,244.7279,-18.9257,97.5901,79.8514,34.1503,1687.5739,93.3432,20.5267
857.5838,244.0872,-19.4902,100.2707,80.9842,33.8166,1690.6967,94.0253,20.4193
865.7091,243.4286,-20.0071,102.9889,82.1059,33.4856,1693.8422,94.7044,20.3444
873.8122,242.7534,-20.4730,105.7443,83.2165,33.1600,1697.0103,95.3816,20.3044
881.8925,242.0637,-20.8568,108.5365,84.3165,32.8537,1700.2010,96.0581,20.3139
889.9496,241.3629,-21.1871,111.3653,85.4068,32.5574,1703.4142,96.7358,20.3614
897.9832,240.6512,-21.5478,114.2302,86.4870,32.2361,1706.6500,97.4155,20.4068
905.9928,239.9264,-21.8732,117.1309,87.5558,31.9162,1709.9085,98.0963,20.4796
913.9782,239.1930,-22.0780,120.0672,88.6148,31.6381,1713.1898,98.7808,20.6231
921.9390,238.4545,-22.2550,123.0385,89.6651,31.3619,1716.4940,99.4712,20.7928
929.8751,237.7094,-22.4576,126.0447,90.7056,31.0625,1719.8213,100.1670,20.9606
937.7863,236.9574,-22.6143,129.0854,91.7359,30.7725,1723.1719,100.8685,21.1617
945.6722,236.2017,-22.6298,132.1603,92.7571,30.5355,1726.5460,101.5778,21.4432
953.5331,235.4487,-22.4428,135.2692,93.7716,30.3821,1729.9439,102.2981,21.8381
