x,vx,ax,y,vy,ay,z,vz,az
0.0000,274.3200,-2.4436,0.0000,0.0000,0.0000,1524.0000,0.0000,3.8077
9.1426,274.2385,-2.3416,0.0000,0.0000,0.0001,1524.0016,0.1269,5.5792
18.2826,274.1639,-2.2241,0.0000,0.0000,0.0001,1524.0097,0.3719,7.5330
27.4202,274.0903,-2.2020,0.0000,0.0000,0.0001,1524.0265,0.6291,7.0356
36.5553,274.0171,-2.1823,0.0000,0.0000,0.0001,1524.0512,0.8410,5.2324
45.6880,273.9448,-2.1514,0.0000,0.0000,-0.0000,1524.0817,0.9780,2.7904
54.8183,273.8737,-2.1146,0.0000,0.0000,-0.0002,1524.1154,1.0270,0.1051
63.9463,273.8038,-2.0783,0.0000,0.0000,-0.0004,1524.1492,0.9850,-2.5679
73.0719,273.7351,-2.0503,0.0000,-0.0000,-0.0006,1524.1801,0.8558,-5.0732
82.1953,273.6671,-2.0328,0.0000,-0.0000,-0.0007,1524.2054,0.6467,-7.3054
91.3164,273.5996,-2.0176,-0.0000,-0.0001,-0.0008,1524.2225,0.3688,-9.1943
100.4353,273.5326,-2.0098,-0.0000,-0.0001,-0.0009,1524.2293,0.0338,-10.7313
109.5519,273.4656,-2.0221,-0.0000,-0.0001,-0.0010,1524.2242,-0.3466,-11.9008
118.6663,273.3978,-2.0371,-0.0000,-0.0002,-0.0010,1524.2058,-0.7596,-12.7062
127.7784,273.3298,-2.0334,-0.0000,-0.0002,-0.0009,1524.1733,-1.1937,-13.1976
136.8883,273.2623,-2.0080,-0.0000,-0.0002,-0.0008,1524.1261,-1.6394,-13.4068
145.9959,273.1959,-1.9593,-0.0000,-0.0002,-0.0007,1524.0640,-2.0875,-13.3605
155.1014,273.1316,-1.8898,-0.0000,-0.0003,-0.0006,1523.9870,-2.5301,-13.1220
164.2047,273.0700,-1.8046,-0.0000,-0.0003,-0.0004,1523.8954,-2.9623,-12.7692
173.3061,273.0113,-1.7062,-0.0001,-0.0003,-0.0003,1523.7896,-3.3814,-12.3396
182.4055,272.9562,-1.5966,-0.0001,-0.0003,-0.0001,1523.6701,-3.7849,-11.8554
191.5032,272.9049,-1.4797,-0.0001,-0.0003,0.0000,1523.5375,-4.1718,-11.3589
200.5992,272.8576,-1.3591,-0.0001,-0.0003,0.0001,1523.3922,-4.5422,-10.8850
209.6938,272.8143,-1.2372,-0.0001,-0.0003,0.0003,1523.2348,-4.8974,-10.4543
218.7869,272.7751,-1.1155,-0.0001,-0.0003,0.0003,1523.0659,-5.2391,-10.0798
227.8788,272.7399,-0.9954,-0.0001,-0.0003,0.0004,1522.8857,-5.5694,-9.7698
236.9696,272.7087,-0.8777,-0.0001,-0.0003,0.0005,1522.6947,-5.8905,-9.5278
246.0594,272.6814,-0.7628,-0.0001,-0.0002,0.0005,1522.4931,-6.2046,-9.3524
255.1484,272.6579,-0.6508,-0.0001,-0.0002,0.0005,1522.2811,-6.5140,-9.2379
264.2367,272.6380,-0.5416,-0.0001,-0.0002,0.0005,1522.0588,-6.8205,-9.1782
273.3243,272.6218,-0.4348,-0.0002,-0.0002,0.0004,1521.8264,-7.1258,-9.1650
282.4115,272.6090,-0.3301,-0.0002,-0.0002,0.0004,1521.5838,-7.4315,-9.1880
291.4983,272.5998,-0.2269,-0.0002,-0.0002,0.0004,1521.3310,-7.7384,-9.2389
300.5848,272.5939,-0.1250,-0.0002,-0.0002,0.0003,1521.0679,-8.0474,-9.3101
309.6713,272.5914,-0.0239,-0.0002,-0.0001,0.0003,1520.7944,-8.3590,-9.3931
318.7576,272.5923,0.0770,-0.0002,-0.0001,0.0002,1520.5106,-8.6736,-9.4808
327.8441,272.5966,0.1777,-0.0002,-0.0001,0.0002,1520.2162,-8.9911,-9.5684
336.9308,272.6042,0.2786,-0.0002,-0.0001,0.0001,1519.9111,-9.3115,-9.6517
346.0178,272.6151,0.3798,-0.0002,-0.0001,0.0001,1519.5954,-9.6346,-9.7276
355.1052,272.6295,0.4812,-0.0002,-0.0001,0.0000,1519.2688,-9.9600,-9.7941
364.1931,272.6472,0.5818,-0.0002,-0.0001,0.0000,1518.9313,-10.2875,-9.8500
373.2817,272.6683,0.6801,-0.0002,-0.0001,-0.0000,1518.5829,-10.6167,-9.8949
382.3710,272.6926,0.7759,-0.0002,-0.0001,-0.0000,1518.2235,-10.9472,-9.9293
391.4612,272.7200,0.8693,-0.0002,-0.0001,-0.0001,1517.8531,-11.2786,-9.9539
400.5524,272.7505,0.9602,-0.0002,-0.0001,-0.0001,1517.4716,-11.6107,-9.9699
409.6446,272.7840,1.0487,-0.0002,-0.0001,-0.0001,1517.0791,-11.9433,-9.9787
418.7380,272.8204,1.1349,-0.0002,-0.0001,-0.0001,1516.6754,-12.2760,-9.9819
427.8327,272.8597,1.2185,-0.0002,-0.0001,-0.0001,1516.2607,-12.6087,-9.9809
436.9287,272.9017,1.2998,-0.0002,-0.0001,-0.0001,1515.8348,-12.9414,-9.9770
446.0261,272.9463,1.3785,-0.0002,-0.0001,-0.0001,1515.3979,-13.2739,-9.9714
455.1251,272.9936,1.4536,-0.0002,-0.0001,-0.0000,1514.9499,-13.6062,-9.9652
464.2257,273.0432,1.5286,-0.0003,-0.0001,-0.0000,1514.4908,-13.9382,-9.9595
473.3281,273.0955,1.6018,-0.0003,-0.0001,-0.0000,1514.0207,-14.2701,-9.9547
482.4321,273.1500,1.6531,-0.0003,-0.0001,-0.0000,1513.5395,-14.6019,-9.9498
491.5381,273.2057,1.6744,-0.0003,-0.0001,-0.0000,1513.0472,-14.9334,-9.9443
500.6458,273.2616,1.6751,-0.0003,-0.0001,-0.0000,1512.5439,-15.2648,-9.9392
509.7555,273.3173,1.6589,-0.0003,-0.0001,0.0000,1512.0296,-15.5961,-9.9345
518.8670,273.3722,1.6262,-0.0003,-0.0001,0.0000,1511.5042,-15.9271,-9.9303
527.9803,273.4258,1.5778,-0.0003,-0.0001,0.0000,1510.9678,-16.2581,-9.9263
537.0954,273.4774,1.5146,-0.0003,-0.0001,0.0000,1510.4203,-16.5889,-9.9223
546.2121,273.5267,1.4373,-0.0003,-0.0001,0.0000,1509.8619,-16.9196,-9.9181
555.3304,273.5732,1.3471,-0.0003,-0.0001,0.0000,1509.2924,-17.2501,-9.9135
564.4503,273.6165,1.2449,-0.0003,-0.0001,0.0000,1508.7119,-17.5805,-9.9082
573.5715,273.6562,1.1320,-0.0003,-0.0001,0.0000,1508.1203,-17.9106,-9.9020
582.6940,273.6920,1.0094,-0.0003,-0.0001,0.0000,1507.5178,-18.2406,-9.8949
591.8176,273.7235,0.8782,-0.0003,-0.0001,0.0000,1506.9043,-18.5703,-9.8866
600.9422,273.7505,0.7399,-0.0003,-0.0001,0.0000,1506.2798,-18.8997,-9.8772
610.0676,273.7728,0.5954,-0.0003,-0.0001,0.0000,1505.6443,-19.2288,-9.8666
619.1936,273.7902,0.4472,-0.0003,-0.0001,0.0000,1504.9979,-19.5575,-9.8550
628.3202,273.8027,0.2992,-0.0003,-0.0001,0.0000,1504.3405,-19.8858,-9.8427
637.4471,273.8102,0.1548,-0.0003,-0.0001,0.0000,1503.6722,-20.2137,-9.8300
646.5742,273.8130,0.0153,-0.0003,-0.0001,0.0000,1502.9929,-20.5411,-9.8170
655.7012,273.8112,-0.1195,-0.0004,-0.0001,0.0000,1502.3028,-20.8681,-9.8038
664.8282,273.8050,-0.2497,-0.0004,-0.0001,0.0000,1501.6017,-21.1947,-9.7904
673.9549,273.7946,-0.3755,-0.0004,-0.0001,0.0000,1500.8898,-21.5208,-9.7768
683.0811,273.7800,-0.4971,-0.0004,-0.0001,0.0000,1500.1670,-21.8465,-9.7632
692.2068,273.7614,-0.6145,-0.0004,-0.0001,0.0000,1499.4334,-22.1717,-9.7495
701.3318,273.7390,-0.7280,-0.0004,-0.0001,0.0000,1498.6889,-22.4964,-9.7358
710.4560,273.7129,-0.8377,-0.0004,-0.0001,0.0000,1497.9336,-22.8207,-9.7223
719.5793,273.6832,-0.9437,-0.0004,-0.0001,0.0000,1497.1675,-23.1446,-9.7088
728.7015,273.6500,-1.0461,-0.0004,-0.0001,0.0000,1496.3906,-23.4680,-9.6955
737.8226,273.6134,-1.1450,-0.0004,-0.0001,0.0000,1495.6030,-23.7910,-9.6823
746.9424,273.5736,-1.2406,-0.0004,-0.0001,0.0000,1494.8046,-24.1135,-9.6694
756.0608,273.5307,-1.3330,-0.0004,-0.0001,0.0000,1493.9954,-24.4356,-9.6566
765.1778,273.4848,-1.4223,-0.0004,-0.0001,0.0000,1493.1755,-24.7573,-9.6441
774.2931,273.4359,-1.5086,-0.0004,-0.0001,0.0000,1492.3449,-25.0785,-9.6318
783.4068,273.3842,-1.5919,-0.0004,-0.0001,0.0000,1491.5036,-25.3994,-9.6197
792.5187,273.3298,-1.6725,-0.0004,-0.0001,0.0000,1490.6517,-25.7198,-9.6079
801.6287,273.2727,-1.7505,-0.0004,-0.0001,0.0000,1489.7890,-26.0399,-9.5962
810.7368,273.2131,-1.8248,-0.0004,-0.0001,0.0000,1488.9157,-26.3596,-9.5848
819.8429,273.1510,-1.8920,-0.0004,-0.0001,0.0000,1488.0317,-26.6789,-9.5741
828.9469,273.0869,-1.9499,-0.0004,-0.0001,0.0000,1487.1371,-26.9979,-9.5645
838.0487,273.0211,-1.9982,-0.0004,-0.0001,-0.0000,1486.2318,-27.3165,-9.5560
847.1483,272.9537,-2.0371,-0.0004,-0.0001,-0.0000,1485.3160,-27.6349,-9.5485
856.2456,272.8852,-2.0668,-0.0004,-0.0001,-0.0000,1484.3895,-27.9531,-9.5421
865.3406,272.8159,-2.0872,-0.0005,-0.0001,-0.0000,1483.4524,-28.2711,-9.5368
874.4333,272.7461,-2.0988,-0.0005,-0.0001,-0.0000,1482.5048,-28.5889,-9.5326
883.5237,272.6760,-2.1017,-0.0005,-0.0001,-0.0000,1481.5465,-28.9066,-9.5294
892.6117,272.6060,-2.0964,-0.0005,-0.0001,-0.0000,1480.5777,-29.2242,-9.5274
901.6974,272.5363,-2.0832,-0.0005,-0.0001,-0.0000,1479.5982,-29.5417,-9.5264
910.7808,272.4671,-2.0626,-0.0005,-0.0001,-0.0000,1478.6082,-29.8593,-9.5264
919.8619,272.3988,-2.0350,-0.0005,-0.0001,-0.0000,1477.6076,-30.1768,-9.5274
928.9407,272.3314,-2.0011,-0.0005,-0.0001,-0.0000,1476.5964,-30.4944,-9.5294
938.0173,272.2653,-1.9614,-0.0005,-0.0001,-0.0000,1475.5747,-30.8121,-9.5322
947.0918,272.2007,-1.9163,-0.0005,-0.0001,-0.0000,1474.5423,-31.1299,-9.5359
956.1641,272.1376,-1.8667,-0.0005,-0.0001,-0.0000,1473.4993,-31.4478,-9.5404
965.2343,272.0762,-1.8130,-0.0005,-0.0001,-0.0000,1472.4458,-31.7659,-9.5457
974.3025,272.0167,-1.7559,-0.0005,-0.0001,-0.0000,1471.3816,-32.0842,-9.5515
983.3688,271.9592,-1.6961,-0.0005,-0.0001,-0.0000,1470.3068,-32.4027,-9.5580
992.4331,271.9037,-1.6341,-0.0005,-0.0001,-0.0000,1469.2214,-32.7214,-9.5649
1001.4957,271.8502,-1.5706,-0.0005,-0.0001,-0.0000,1468.1254,-33.0404,-9.5722
1010.5565,271.7989,-1.5063,-0.0005,-0.0001,-0.0000,1467.0187,-33.3596,-9.5799
1019.6157,271.7498,-1.4417,-0.0005,-0.0001,-0.0000,1465.9014,-33.6790,-9.5878
1028.6732,271.7028,-1.3773,-0.0005,-0.0001,-0.0000,1464.7734,-33.9988,-9.5958
1037.7292,271.6580,-1.3139,-0.0005,-0.0001,-0.0000,1463.6348,-34.3188,-9.6039
1046.7838,271.6152,-1.2518,-0.0005,-0.0001,0.0000,1462.4855,-34.6390,-9.6119
1055.8369,271.5745,-1.1917,-0.0005,-0.0001,-0.0000,1461.3256,-34.9595,-9.6198
1064.8887,271.5358,-1.1339,-0.0006,-0.0001,0.0000,1460.1549,-35.2803,-9.6275
1073.9393,271.4989,-1.0790,-0.0006,-0.0001,0.0000,1458.9735,-35.6014,-9.6350
1082.9887,271.4639,-1.0274,-0.0006,-0.0001,0.0000,1457.7815,-35.9227,-9.6420
1092.0369,271.4304,-0.9793,-0.0006,-0.0001,0.0000,1456.5787,-36.2442,-9.6487
1101.0841,271.3986,-0.9352,-0.0006,-0.0001,0.0000,1455.3652,-36.5659,-9.6548
1110.1302,271.3681,-0.8953,-0.0006,-0.0001,0.0000,1454.1410,-36.8878,-9.6604
1119.1753,271.3389,-0.8599,-0.0006,-0.0001,0.0000,1452.9060,-37.2099,-9.6653
1128.2195,271.3108,-0.8292,-0.0006,-0.0001,0.0000,1451.6603,-37.5322,-9.6695
1137.2627,271.2836,-0.8033,-0.0006,-0.0001,0.0000,1450.4038,-37.8546,-9.6731
1146.3050,271.2572,-0.7824,-0.0006,-0.0001,0.0000,1449.1366,-38.1771,-9.6759
1155.3465,271.2314,-0.7665,-0.0006,-0.0001,0.0000,1447.8587,-38.4996,-9.6778
1164.3871,271.2061,-0.7556,-0.0006,-0.0001,0.0000,1446.5700,-38.8223,-9.6790
1173.4269,271.1811,-0.7499,-0.0006,-0.0001,0.0000,1445.2706,-39.1449,-9.6793
1182.4659,271.1561,-0.7491,-0.0006,-0.0001,0.0000,1443.9603,-39.4675,-9.6788
1191.5040,271.1311,-0.7533,-0.0006,-0.0001,0.0000,1442.6394,-39.7901,-9.6774
