x,vx,ax,y,vy,ay,z,vz,az
0.0000,274.3200,-2.4830,0.0000,0.0000,-0.1512,1524.0000,0.0000,3.5111
9.1426,274.2372,-2.3752,-0.0001,-0.0050,-0.1347,1524.0014,0.1170,5.4151
18.2826,274.1617,-2.2322,-0.0003,-0.0090,0.0314,1524.0092,0.3610,8.0379
27.4201,274.0884,-2.1777,-0.0006,-0.0029,0.3710,1524.0260,0.6529,8.7967
36.5551,274.0165,-2.1373,-0.0004,0.0158,0.7438,1524.0527,0.9475,8.4833
45.6878,273.9459,-2.0890,0.0006,0.0466,1.0815,1524.0889,1.2185,7.5554
54.8182,273.8772,-2.0277,0.0029,0.0878,1.3556,1524.1335,1.4511,6.2903
63.9463,273.8108,-1.9540,0.0066,0.1370,1.5601,1524.1852,1.6378,4.8723
73.0723,273.7469,-1.8727,0.0120,0.1919,1.7014,1524.2422,1.7760,3.4244
82.1962,273.6859,-1.7906,0.0194,0.2504,1.7904,1524.3030,1.8661,2.0327
91.3181,273.6276,-1.7116,0.0288,0.3112,1.8359,1524.3661,1.9115,0.7584
100.4380,273.5718,-1.6451,0.0402,0.3728,1.8498,1524.4300,1.9167,-0.3639
109.5562,273.5179,-1.6005,0.0536,0.4345,1.8486,1524.4935,1.8872,-1.3027
118.6726,273.4651,-1.5689,0.0691,0.4961,1.8425,1524.5555,1.8298,-2.0479
127.7872,273.4133,-1.5325,0.0867,0.5574,1.8397,1524.6152,1.7507,-2.6069
136.9001,273.3629,-1.4850,0.1063,0.6187,1.8522,1524.6720,1.6560,-2.9836
146.0114,273.3143,-1.4287,0.1279,0.6808,1.8856,1524.7255,1.5518,-3.1922
155.1211,273.2677,-1.3648,0.1517,0.7444,1.9413,1524.7755,1.4432,-3.2641
164.2293,273.2233,-1.2938,0.1776,0.8103,2.0233,1524.8217,1.3342,-3.2137
173.3360,273.1814,-1.2145,0.2057,0.8793,2.1412,1524.8644,1.2290,-3.0316
182.4414,273.1423,-1.1268,0.2363,0.9530,2.2953,1524.9038,1.1321,-2.7401
191.5456,273.1063,-1.0331,0.2693,1.0323,2.4749,1524.9400,1.0463,-2.3915
200.6485,273.0735,-0.9354,0.3052,1.1180,2.6691,1524.9736,0.9726,-2.0281
209.7505,273.0440,-0.8351,0.3440,1.2103,2.8704,1525.0050,0.9111,-1.6770
218.8515,273.0178,-0.7334,0.3859,1.3093,3.0714,1525.0345,0.8608,-1.3576
227.9517,272.9951,-0.6310,0.4313,1.4150,3.2666,1525.0625,0.8206,-1.0833
237.0512,272.9757,-0.5286,0.4803,1.5271,3.4521,1525.0893,0.7886,-0.8604
246.1501,272.9598,-0.4261,0.5332,1.6452,3.6268,1525.1152,0.7632,-0.6864
255.2486,272.9473,-0.3235,0.5901,1.7689,3.7906,1525.1402,0.7429,-0.5574
264.3467,272.9383,-0.2209,0.6512,1.8979,3.9427,1525.1647,0.7261,-0.4704
273.4445,272.9326,-0.1181,0.7167,2.0318,4.0854,1525.1887,0.7115,-0.4167
282.5422,272.9304,-0.0149,0.7867,2.1702,4.2198,1525.2122,0.6983,-0.3902
291.6399,272.9316,0.0885,0.8614,2.3131,4.3462,1525.2352,0.6855,-0.3872
300.7377,272.9363,0.1923,0.9409,2.4600,4.4669,1525.2579,0.6725,-0.4010
309.8357,272.9444,0.2965,1.0254,2.6109,4.5841,1525.2801,0.6588,-0.4254
318.9340,272.9560,0.4009,1.1150,2.7656,4.6981,1525.3018,0.6441,-0.4575
328.0328,272.9712,0.5055,1.2098,2.9241,4.8096,1525.3230,0.6283,-0.4946
337.1321,272.9897,0.6102,1.3100,3.0862,4.9214,1525.3436,0.6111,-0.5313
346.2322,273.0118,0.7150,1.4156,3.2522,5.0348,1525.3637,0.5928,-0.5644
355.3330,273.0374,0.8196,1.5269,3.4219,5.1498,1525.3832,0.5735,-0.5938
364.4347,273.0665,0.9234,1.6438,3.5955,5.2672,1525.4019,0.5533,-0.6175
373.5374,273.0990,1.0248,1.7666,3.7730,5.3878,1525.4200,0.5323,-0.6346
382.6413,273.1348,1.1228,1.8954,3.9547,5.5112,1525.4374,0.5109,-0.6456
391.7465,273.1738,1.2171,2.0303,4.1405,5.6378,1525.4541,0.4893,-0.6500
400.8529,273.2159,1.3082,2.1715,4.3305,5.7675,1525.4700,0.4676,-0.6481
409.9609,273.2610,1.3959,2.3190,4.5250,5.8996,1525.4853,0.4461,-0.6416
419.0704,273.3090,1.4804,2.4732,4.7238,6.0340,1525.4998,0.4248,-0.6302
428.1815,273.3597,1.5618,2.6340,4.9272,6.1704,1525.5136,0.4041,-0.6149
437.2944,273.4131,1.6412,2.8017,5.1352,6.3079,1525.5267,0.3838,-0.5973
446.4091,273.4691,1.7117,2.9764,5.3478,6.4462,1525.5392,0.3643,-0.5774
455.5257,273.5272,1.7557,3.1583,5.5649,6.5848,1525.5510,0.3454,-0.5561
