x,vx,ax,y,vy,ay,z,vz,az
0.0000,243.8400,-1.5109,0.0000,0.0000,-0.1287,2438.4000,0.0000,-0.3354
8.1271,243.7896,-1.4235,-0.0001,-0.0043,-0.1419,2438.3995,-0.0112,1.0398
16.2527,243.7451,-1.3110,-0.0003,-0.0095,-0.0555,2438.4003,0.0693,2.9616
24.3768,243.7022,-1.2813,-0.0006,-0.0080,0.1868,2438.4045,0.1863,3.4908
32.4995,243.6597,-1.2765,-0.0007,0.0030,0.4668,2438.4127,0.3020,3.0796
40.6208,243.6171,-1.2762,-0.0003,0.0231,0.7114,2438.4243,0.3916,2.0525
48.7407,243.5746,-1.2764,0.0009,0.0504,0.8868,2438.4383,0.4389,0.6454
56.8591,243.5320,-1.2789,0.0031,0.0823,0.9865,2438.4530,0.4346,-0.9667
64.9761,243.4893,-1.2868,0.0064,0.1162,1.0138,2438.4666,0.3744,-2.6583
73.0917,243.4463,-1.3022,0.0108,0.1498,0.9751,2438.4773,0.2574,-4.3337
81.2059,243.4025,-1.3258,0.0164,0.1812,0.8810,2438.4832,0.0855,-5.9237
89.3186,243.3579,-1.3566,0.0229,0.2086,0.7448,2438.4825,-0.1375,-7.3817
97.4297,243.3121,-1.3917,0.0302,0.2308,0.5820,2438.4735,-0.4066,-8.6684
105.5393,243.2651,-1.4282,0.0382,0.2474,0.4028,2438.4549,-0.7154,-9.7666
113.6474,243.2169,-1.4626,0.0466,0.2577,0.2176,2438.4254,-1.0577,-10.6715
121.7538,243.1676,-1.4910,0.0553,0.2619,0.0409,2438.3841,-1.4269,-11.3765
129.8585,243.1175,-1.5103,0.0640,0.2604,-0.1201,2438.3301,-1.8161,-11.8887
137.9616,243.0669,-1.5145,0.0726,0.2539,-0.2864,2438.2629,-2.2194,-12.3187
146.0630,243.0165,-1.5299,0.0809,0.2413,-0.4423,2438.1820,-2.6374,-12.6386
154.1627,242.9649,-1.5408,0.0887,0.2244,-0.4681,2438.0870,-3.0620,-12.4644
162.2607,242.9138,-1.4867,0.0959,0.2101,-0.3036,2437.9780,-3.4684,-11.6657
170.3570,242.8658,-1.3729,0.1028,0.2041,0.0087,2437.8561,-3.8397,-10.4629
178.4518,242.8223,-1.2266,0.1096,0.2107,0.4334,2437.7226,-4.1659,-9.0191
186.5452,242.7840,-1.0633,0.1170,0.2330,0.9321,2437.5790,-4.4410,-7.4743
194.6374,242.7514,-0.8961,0.1254,0.2728,1.4708,2437.4271,-4.6642,-5.9375
202.7287,242.7243,-0.7347,0.1354,0.3311,2.0234,2437.2686,-4.8368,-4.4802
210.8191,242.7024,-0.5854,0.1476,0.4077,2.5615,2437.1051,-4.9629,-3.1641
218.9089,242.6853,-0.4510,0.1627,0.5019,3.0690,2436.9382,-5.0478,-2.0212
226.9982,242.6723,-0.3319,0.1813,0.6123,3.5368,2436.7690,-5.0976,-1.0620
235.0871,242.6631,-0.2271,0.2037,0.7377,3.9496,2436.5987,-5.1186,-0.2971
243.1758,242.6572,-0.1345,0.2306,0.8756,4.3002,2436.4280,-5.1174,0.2749
251.2643,242.6542,-0.0516,0.2622,1.0243,4.5945,2436.2577,-5.1003,0.6744
259.3527,242.6538,0.0242,0.2990,1.1819,4.8364,2436.0881,-5.0725,0.9252
267.4412,242.6558,0.0951,0.3411,1.3468,5.0249,2435.9196,-5.0386,1.0425
275.5298,242.6601,0.1626,0.3888,1.5169,5.1619,2435.7522,-5.0029,1.0405
283.6186,242.6666,0.2282,0.4423,1.6909,5.2562,2435.5860,-4.9692,0.9436
291.7076,242.6753,0.2933,0.5016,1.8674,5.3183,2435.4209,-4.9400,0.7797
299.7970,242.6862,0.3589,0.5668,2.0454,5.3555,2435.2566,-4.9172,0.5711
307.8867,242.6992,0.4255,0.6380,2.2244,5.3705,2435.0930,-4.9020,0.3272
315.9769,242.7145,0.4933,0.7151,2.4035,5.3680,2434.9298,-4.8954,0.0594
324.0677,242.7321,0.5627,0.7982,2.5823,5.3560,2434.7666,-4.8980,-0.2165
332.1591,242.7520,0.6341,0.8873,2.7605,5.3396,2434.6031,-4.9098,-0.4903
340.2512,242.7744,0.7076,0.9822,2.9382,5.3237,2434.4391,-4.9307,-0.7538
348.3441,242.7992,0.7832,1.0831,3.1155,5.3122,2434.2743,-4.9601,-1.0013
356.4378,242.8266,0.8610,1.1899,3.2924,5.3060,2434.1084,-4.9974,-1.2282
364.5325,242.8566,0.9410,1.3026,3.4692,5.3072,2433.9411,-5.0420,-1.4323
372.6283,242.8893,1.0230,1.4212,3.6462,5.3184,2433.7722,-5.0929,-1.6116
380.7252,242.9248,1.1070,1.5457,3.8237,5.3396,2433.6015,-5.1494,-1.7657
388.8233,242.9631,1.1927,1.6761,4.0022,5.3715,2433.4288,-5.2106,-1.8970
396.9228,243.0043,1.2799,1.8125,4.1818,5.4130,2433.2540,-5.2759,-2.0066
405.0236,243.0485,1.3683,1.9549,4.3630,5.4643,2433.0770,-5.3444,-2.0957
413.1260,243.0956,1.4578,2.1034,4.5461,5.5246,2432.8977,-5.4156,-2.1670
421.2301,243.1456,1.5480,2.2580,4.7313,5.5902,2432.7160,-5.4889,-2.2228
429.3358,243.1987,1.6383,2.4189,4.9188,5.6610,2432.5318,-5.5638,-2.2665
437.4433,243.2549,1.7275,2.5860,5.1087,5.7361,2432.3451,-5.6400,-2.2997
445.5528,243.3139,1.8147,2.7595,5.3012,5.8129,2432.1558,-5.7171,-2.3242
453.6643,243.3758,1.8989,2.9394,5.4963,5.8933,2431.9639,-5.7949,-2.3450
