x,vx,ax,y,vy,ay,z,vz,az
0.0000,243.8400,-1.9295,0.0000,0.0000,0.0000,1524.0000,0.0000,-0.6249
8.1269,243.7757,-1.9354,0.0000,0.0000,0.0001,1523.9994,-0.0208,1.1160
16.2517,243.7110,-1.9051,0.0000,0.0000,0.0003,1523.9999,0.0744,5.2427
24.3744,243.6487,-1.8322,0.0000,0.0000,0.0006,1524.0061,0.3287,10.3185
32.4950,243.5888,-1.7967,0.0000,0.0000,0.0010,1524.0238,0.7623,15.7788
40.6136,243.5289,-1.8588,0.0000,0.0001,0.0014,1524.0590,1.3806,21.1940
48.7302,243.4649,-2.0473,0.0000,0.0001,0.0018,1524.1178,2.1752,26.2377
56.8445,243.3924,-2.3683,0.0000,0.0002,0.0021,1524.2058,3.1298,30.7493
64.9562,243.3070,-2.8018,0.0000,0.0003,0.0025,1524.3280,4.2252,34.6105
73.0648,243.2056,-3.3113,0.0000,0.0004,0.0027,1524.4887,5.4371,37.7447
81.1697,243.0863,-3.8664,0.0000,0.0005,0.0028,1524.6915,6.7415,40.2000
89.2703,242.9479,-4.4390,0.0001,0.0006,0.0028,1524.9391,8.1171,42.0471
97.3660,242.7903,-4.9965,0.0001,0.0006,0.0027,1525.2333,9.5446,43.3324
105.4562,242.6148,-5.5156,0.0001,0.0007,0.0026,1525.5758,11.0060,44.1234
113.5402,242.4226,-5.9877,0.0001,0.0008,0.0023,1525.9672,12.4862,44.5091
121.6175,242.2156,-6.4087,0.0002,0.0009,0.0020,1526.4082,13.9732,44.5725
129.6877,241.9954,-6.7756,0.0002,0.0010,0.0017,1526.8988,15.4577,44.3876
137.7504,241.7639,-7.0892,0.0002,0.0010,0.0013,1527.4387,16.9324,44.0211
145.8052,241.5228,-7.3559,0.0003,0.0010,0.0010,1528.0274,18.3924,43.5298
153.8518,241.2735,-7.5828,0.0003,0.0011,0.0006,1528.6646,19.8344,42.9591
161.8900,241.0173,-7.7768,0.0003,0.0011,0.0002,1529.3495,21.2564,42.3493
169.9196,240.7550,-7.9452,0.0004,0.0011,-0.0001,1530.0815,22.6577,41.7301
177.9403,240.4876,-8.0943,0.0004,0.0011,-0.0004,1530.8598,24.0384,41.1226
185.9520,240.2154,-8.2304,0.0004,0.0011,-0.0006,1531.6838,25.3992,40.5461
193.9546,239.9389,-8.3587,0.0005,0.0010,-0.0008,1532.5529,26.7415,40.0147
201.9479,239.6582,-8.4832,0.0005,0.0010,-0.0010,1533.4664,28.0668,39.5339
