x,vx,ax,y,vy,ay,z,vz,az
0.0000,259.0800,-2.2564,0.0000,0.0000,0.1084,914.4000,0.0000,2.7622
8.6347,259.0048,-2.1502,0.0000,0.0036,0.1020,914.4011,0.0921,4.5943
17.2671,258.9367,-2.0127,0.0002,0.0068,-0.0065,914.4075,0.3063,7.1835
25.8972,258.8706,-1.9735,0.0004,0.0032,-0.2426,914.4220,0.5710,8.0640
34.5251,258.8051,-1.9644,0.0003,-0.0094,-0.5083,914.4456,0.8439,7.9345
43.1509,258.7397,-1.9625,-0.0003,-0.0307,-0.7536,914.4781,1.0999,7.2085
51.7744,258.6743,-1.9609,-0.0018,-0.0596,-0.9574,914.5186,1.3245,6.1450
60.3958,258.6089,-1.9577,-0.0043,-0.0945,-1.1138,914.5660,1.5096,4.9146
69.0150,258.5437,-1.9530,-0.0081,-0.1339,-1.2256,914.6188,1.6521,3.6339
77.6321,258.4787,-1.9477,-0.0133,-0.1762,-1.3009,914.6756,1.7519,2.3822
86.2469,258.4139,-1.9417,-0.0199,-0.2206,-1.3475,914.7351,1.8109,1.2181
94.8597,258.3493,-1.9348,-0.0280,-0.2661,-1.3712,914.7959,1.8331,0.1774
103.4702,258.2849,-1.9262,-0.0377,-0.3120,-1.3805,914.8569,1.8227,-0.7175
112.0786,258.2209,-1.9145,-0.0488,-0.3581,-1.3850,914.9172,1.7852,-1.4481
120.6849,258.1573,-1.8988,-0.0615,-0.4043,-1.3896,914.9757,1.7262,-2.0156
129.2891,258.0943,-1.8780,-0.0758,-0.4507,-1.3999,915.0320,1.6509,-2.4270
137.8912,258.0321,-1.8512,-0.0916,-0.4977,-1.4227,915.0857,1.5644,-2.6881
146.4913,257.9709,-1.8182,-0.1090,-0.5456,-1.4596,915.1363,1.4717,-2.8162
155.0893,257.9109,-1.7789,-0.1280,-0.5950,-1.5112,915.1837,1.3766,-2.8330
163.6854,257.8523,-1.7336,-0.1487,-0.6463,-1.5796,915.2281,1.2828,-2.7558
172.2795,257.7953,-1.6828,-0.1711,-0.7003,-1.6637,915.2693,1.1929,-2.6051
180.8717,257.7401,-1.6272,-0.1954,-0.7573,-1.7610,915.3076,1.1091,-2.4034
189.4622,257.6868,-1.5675,-0.2216,-0.8177,-1.8699,915.3433,1.0327,-2.1686
198.0509,257.6356,-1.5044,-0.2499,-0.8819,-1.9880,915.3766,0.9645,-1.9161
206.6379,257.5865,-1.4385,-0.2805,-0.9502,-2.1111,915.4077,0.9050,-1.6658
215.2233,257.5397,-1.3706,-0.3133,-1.0227,-2.2390,915.4370,0.8535,-1.4194
223.8072,257.4951,-1.3003,-0.3487,-1.0995,-2.3735,915.4647,0.8103,-1.1711
232.3897,257.4530,-1.2276,-0.3867,-1.1809,-2.5102,915.4911,0.7754,-0.9360
240.9708,257.4133,-1.1533,-0.4275,-1.2668,-2.6444,915.5165,0.7479,-0.7288
249.5506,257.3761,-1.0776,-0.4712,-1.3572,-2.7738,915.5411,0.7268,-0.5548
258.1292,257.3415,-1.0008,-0.5180,-1.4518,-2.8955,915.5650,0.7109,-0.4190
266.7067,257.3094,-0.9228,-0.5680,-1.5502,-3.0077,915.5885,0.6989,-0.3228
275.2832,257.2799,-0.8436,-0.6214,-1.6523,-3.1109,915.6116,0.6894,-0.2620
283.8588,257.2531,-0.7630,-0.6782,-1.7576,-3.2058,915.6345,0.6814,-0.2307
292.4335,257.2291,-0.6807,-0.7386,-1.8660,-3.2939,915.6571,0.6740,-0.2222
301.0074,257.2078,-0.5967,-0.8026,-1.9772,-3.3756,915.6794,0.6666,-0.2329
309.5807,257.1893,-0.5107,-0.8704,-2.0910,-3.4520,915.7015,0.6585,-0.2576
318.1534,257.1737,-0.4227,-0.9421,-2.2073,-3.5254,915.7233,0.6494,-0.2895
326.7256,257.1611,-0.3327,-1.0176,-2.3261,-3.5967,915.7448,0.6392,-0.3251
335.2975,257.1515,-0.2405,-1.0971,-2.4471,-3.6660,915.7659,0.6278,-0.3629
343.8691,257.1451,-0.1463,-1.1808,-2.5705,-3.7347,915.7866,0.6150,-0.3996
352.4405,257.1418,-0.0500,-1.2685,-2.6961,-3.8040,915.8069,0.6011,-0.4319
361.0119,257.1417,0.0483,-1.3605,-2.8241,-3.8742,915.8267,0.5862,-0.4590
369.5834,257.1450,0.1483,-1.4568,-2.9544,-3.9449,915.8460,0.5705,-0.4814
378.1550,257.1516,0.2501,-1.5575,-3.0870,-4.0165,915.8647,0.5541,-0.4986
386.7268,257.1617,0.3534,-1.6627,-3.2221,-4.0899,915.8829,0.5373,-0.5087
395.2991,257.1752,0.4581,-1.7724,-3.3597,-4.1652,915.9005,0.5202,-0.5117
403.8719,257.1922,0.5640,-1.8867,-3.4998,-4.2416,915.9176,0.5032,-0.5095
412.4453,257.2128,0.6708,-2.0057,-3.6425,-4.3187,915.9341,0.4863,-0.5041
421.0194,257.2369,0.7782,-2.1295,-3.7877,-4.3965,915.9500,0.4696,-0.4945
429.5945,257.2647,0.8862,-2.2582,-3.9356,-4.4746,915.9654,0.4533,-0.4800
438.1705,257.2960,0.9944,-2.3919,-4.0860,-4.5528,915.9802,0.4376,-0.4627
446.7476,257.3310,1.1026,-2.5307,-4.2391,-4.6316,915.9946,0.4224,-0.4448
455.3259,257.3695,1.2104,-2.6746,-4.3948,-4.7101,916.0084,0.4079,-0.4262
463.9056,257.4117,1.3165,-2.8237,-4.5531,-4.7873,916.0218,0.3940,-0.4064
472.4867,257.4573,1.4193,-2.9781,-4.7140,-4.8635,916.0347,0.3808,-0.3864
481.0694,257.5063,1.5184,-3.1380,-4.8773,-4.9385,916.0471,0.3683,-0.3669
489.6538,257.5585,1.6139,-3.3033,-5.0432,-5.0122,916.0592,0.3564,-0.3481
498.2400,257.6139,1.7060,-3.4742,-5.2115,-5.0844,916.0709,0.3451,-0.3304
506.8281,257.6722,1.7946,-3.6508,-5.3822,-5.1550,916.0822,0.3343,-0.3138
515.4182,257.7335,1.8800,-3.8331,-5.5552,-5.2238,916.0932,0.3241,-0.2985
524.0104,257.7976,1.9622,-4.0212,-5.7304,-5.2911,916.1038,0.3144,-0.2844
532.6048,257.8643,2.0414,-4.2151,-5.9079,-5.3570,916.1142,0.3052,-0.2714
541.2014,257.9337,2.1176,-4.4150,-6.0875,-5.4211,916.1242,0.2963,-0.2595
549.8004,258.0055,2.1910,-4.6210,-6.2693,-5.4831,916.1339,0.2879,-0.2490
558.4018,258.0797,2.2615,-4.8330,-6.4531,-5.5438,916.1434,0.2797,-0.2393
567.0057,258.1563,2.3294,-5.0512,-6.6389,-5.6035,916.1526,0.2719,-0.2303
575.6122,258.2350,2.3948,-5.2756,-6.8267,-5.6615,916.1615,0.2644,-0.2220
584.2214,258.3159,2.4576,-5.5063,-7.0163,-5.7180,916.1702,0.2571,-0.2142
592.8333,258.3989,2.5180,-5.7434,-7.2079,-5.7732,916.1787,0.2501,-0.2069
601.4480,258.4838,2.5761,-5.9869,-7.4012,-5.8273,916.1869,0.2433,-0.1999
610.0656,258.5706,2.6319,-6.2368,-7.5963,-5.8802,916.1949,0.2368,-0.1931
618.6861,258.6593,2.6855,-6.4933,-7.7932,-5.9319,916.2027,0.2305,-0.1866
627.3095,258.7496,2.7371,-6.7564,-7.9918,-5.9824,916.2103,0.2243,-0.1801
635.9361,258.8417,2.7866,-7.0261,-8.1920,-6.0318,916.2176,0.2184,-0.1738
644.5657,258.9354,2.8341,-7.3026,-8.3939,-6.0800,916.2248,0.2128,-0.1674
653.1984,259.0307,2.8797,-7.5857,-8.5974,-6.1271,916.2318,0.2073,-0.1612
661.8344,259.1274,2.9235,-7.8757,-8.8024,-6.1731,916.2386,0.2020,-0.1550
670.4736,259.2256,2.9655,-8.1726,-9.0089,-6.2179,916.2453,0.1970,-0.1487
679.1161,259.3251,3.0058,-8.4763,-9.2169,-6.2615,916.2518,0.1921,-0.1423
687.7620,259.4260,3.0570,-8.7871,-9.4264,-6.3045,916.2581,0.1875,-0.1363
