x,vx,ax,y,vy,ay,z,vz,az
0.0000,259.0800,-2.1484,0.0000,0.0000,-0.1464,1219.2000,0.0000,2.6190
8.6348,259.0084,-2.0478,-0.0001,-0.0049,-0.1401,1219.2010,0.0873,4.2984
17.2673,258.9435,-1.9328,-0.0003,-0.0093,-0.0041,1219.2070,0.2866,6.2843
25.8977,258.8795,-1.9220,-0.0006,-0.0052,0.2835,1219.2203,0.5063,6.1091
34.5259,258.8153,-1.9310,-0.0005,0.0096,0.5756,1219.2404,0.6938,4.7111
43.1520,258.7508,-1.9427,0.0001,0.0332,0.8017,1219.2659,0.8203,2.6634
51.7760,258.6858,-1.9588,0.0017,0.0630,0.9356,1219.2943,0.8714,0.3274
60.3977,258.6202,-1.9838,0.0044,0.0956,0.9740,1219.3231,0.8422,-2.0618
69.0173,258.5536,-2.0199,0.0081,0.1279,0.9275,1219.3495,0.7339,-4.3499
77.6346,258.4856,-2.0665,0.0129,0.1574,0.8130,1219.3712,0.5522,-6.4390
86.2497,258.4158,-2.1200,0.0186,0.1821,0.6524,1219.3856,0.3047,-8.2595
94.8623,258.3442,-2.1756,0.0250,0.2009,0.4628,1219.3909,0.0015,-9.7807
103.4726,258.2708,-2.2281,0.0319,0.2130,0.2606,1219.3852,-0.3474,-10.9981
112.0804,258.1957,-2.2708,0.0391,0.2183,0.0694,1219.3673,-0.7317,-11.8991
120.6856,258.1194,-2.2996,0.0464,0.2176,-0.1018,1219.3362,-1.1406,-12.5036
129.2883,258.0424,-2.3132,0.0535,0.2115,-0.2490,1219.2911,-1.5652,-12.8486
137.8885,257.9652,-2.3105,0.0604,0.2010,-0.3761,1219.2318,-1.9972,-13.0190
146.4860,257.8883,-2.2993,0.0669,0.1864,-0.4898,1219.1579,-2.4332,-13.1098
155.0810,257.8119,-2.2903,0.0728,0.1684,-0.5393,1219.0695,-2.8712,-12.9363
163.6735,257.7357,-2.2347,0.0781,0.1505,-0.3958,1218.9666,-3.2956,-12.0868
172.2634,257.6629,-2.1009,0.0829,0.1420,-0.0256,1218.8502,-3.6770,-10.5718
180.8510,257.5956,-1.9248,0.0877,0.1488,0.4835,1218.7221,-4.0004,-8.7561
189.4365,257.5346,-1.7327,0.0931,0.1742,1.0678,1218.5842,-4.2607,-6.8711
198.0201,257.4801,-1.5422,0.0996,0.2200,1.6798,1218.4388,-4.4584,-5.0630
206.6019,257.4318,-1.3643,0.1080,0.2862,2.2816,1218.2877,-4.5983,-3.4306
215.1823,257.3891,-1.2044,0.1189,0.3721,2.8499,1218.1328,-4.6872,-2.0234
223.7613,257.3515,-1.0643,0.1330,0.4762,3.3604,1217.9757,-4.7332,-0.8741
232.3391,257.3182,-0.9430,0.1508,0.5961,3.8003,1217.8176,-4.7454,0.0089
240.9159,257.2886,-0.8377,0.1729,0.7295,4.1715,1217.6596,-4.7326,0.6492
249.4917,257.2623,-0.7451,0.1996,0.8742,4.4709,1217.5023,-4.7021,1.0676
258.0667,257.2389,-0.6626,0.2312,1.0276,4.6964,1217.3462,-4.6614,1.2837
266.6410,257.2182,-0.5872,0.2681,1.1873,4.8577,1217.1916,-4.6166,1.3329
275.2146,257.1998,-0.5159,0.3104,1.3514,4.9692,1217.0384,-4.5725,1.2577
283.7877,257.1838,-0.4469,0.3583,1.5186,5.0377,1216.8867,-4.5327,1.0871
292.3602,257.1700,-0.3789,0.4117,1.6873,5.0689,1216.7362,-4.5001,0.8432
300.9324,257.1585,-0.3108,0.4708,1.8565,5.0736,1216.5866,-4.4765,0.5525
309.5042,257.1493,-0.2415,0.5355,2.0255,5.0617,1216.4376,-4.4632,0.2389
318.0757,257.1424,-0.1702,0.6058,2.1940,5.0411,1216.2889,-4.4606,-0.0805
326.6470,257.1379,-0.0965,0.6817,2.3616,5.0178,1216.1401,-4.4686,-0.3925
335.2182,257.1360,-0.0200,0.7632,2.5285,4.9968,1215.9909,-4.4868,-0.6860
343.7894,257.1366,0.0597,0.8503,2.6947,4.9830,1215.8409,-4.5143,-0.9538
352.3607,257.1400,0.1426,0.9429,2.8607,4.9802,1215.6899,-4.5503,-1.1913
360.9321,257.1461,0.2288,1.0410,3.0267,4.9893,1215.5375,-4.5937,-1.3967
369.5038,257.1552,0.3183,1.1447,3.1933,5.0114,1215.3836,-4.6435,-1.5700
