x,vx,ax,y,vy,ay,z,vz,az
121.6320,242.3359,-5.8119,-0.2095,-1.6111,-8.0597,1526.4007,13.8988,44.0444
129.7066,242.1361,-6.1483,-0.2678,-1.8889,-8.5889,1526.8885,15.3643,43.7839
137.7743,241.9260,-6.4326,-0.3356,-2.1837,-9.0825,1527.4249,16.8177,43.3434
145.8349,241.7073,-6.6701,-0.4135,-2.4944,-9.5434,1528.0094,18.2539,42.7741
153.8881,241.4813,-6.8674,-0.5021,-2.8199,-9.9767,1528.6415,19.6693,42.1238
161.9336,241.2494,-7.0315,-0.6017,-3.1595,-10.3895,1529.3205,21.0622,41.4354
169.9713,241.0126,-7.1694,-0.7128,-3.5125,-10.7850,1530.0454,22.4317,40.7365
178.0011,240.7715,-7.2882,-0.8360,-3.8785,-11.1655,1530.8156,23.7779,40.0467
186.0227,240.5267,-7.3939,-0.9715,-4.2569,-11.5360,1531.6304,25.1015,39.3851
194.0361,240.2785,-7.4917,-1.1199,-4.6476,-11.9008,1532.4889,26.4036,38.7670
202.0412,240.0272,-7.5859,-1.2815,-5.0503,-12.2610,1533.3904,27.6859,38.1987
210.0379,239.7728,-7.6796,-1.4567,-5.4650,-12.6179,1534.3344,28.9502,37.6819
218.0261,239.5153,-7.7760,-1.6460,-5.8915,-12.9744,1535.3202,30.1981,37.2200
226.0056,239.2544,-7.8774,-1.8496,-6.3299,-13.3316,1536.3474,31.4315,36.8141
233.9763,238.9901,-7.9848,-2.0681,-6.7803,-13.6888,1537.4155,32.6523,36.4599
241.9382,238.7221,-8.0989,-2.3018,-7.2425,-14.0458,1538.5241,33.8622,36.1528
249.8911,238.4502,-8.2206,-2.5511,-7.7167,-14.4030,1539.6729,35.0625,35.8896
257.8348,238.1741,-8.3499,-2.8164,-8.2027,-14.7600,1540.8615,36.2548,35.6648
265.7693,237.8935,-8.4864,-3.0980,-8.7007,-15.1161,1542.0898,37.4402,35.4719
273.6943,237.6083,-8.6296,-3.3965,-9.2104,-15.4704,1543.3575,38.6196,35.3058
281.6098,237.3182,-8.7794,-3.7122,-9.7320,-15.8223,1544.6644,39.7939,35.1620
289.5155,237.0230,-8.9348,-4.0455,-10.2653,-16.1703,1546.0103,40.9637,35.0352
297.4113,236.7226,-9.0952,-4.3967,-10.8100,-16.5136,1547.3952,42.1296,34.9205
305.2969,236.4167,-9.2597,-4.7663,-11.3662,-16.8514,1548.8189,43.2918,34.8146
313.1723,236.1052,-9.4277,-5.1545,-11.9335,-17.1824,1550.2813,44.4505,34.7144
321.0372,235.7882,-9.5989,-5.5619,-12.5117,-17.5075,1551.7823,45.6061,34.6164
328.8915,235.4653,-9.7734,-5.9888,-13.1006,-17.8259,1553.3217,46.7583,34.5181
336.7348,235.1366,-9.9518,-6.4354,-13.7001,-18.1370,1554.8995,47.9073,34.4175
344.5672,234.8019,-10.1341,-6.9022,-14.3098,-18.4419,1556.5155,49.0528,34.3124
352.3882,234.4610,-10.3197,-7.3895,-14.9295,-18.7379,1558.1696,50.1948,34.2028
360.1978,234.1139,-10.5082,-7.8976,-15.5590,-19.0228,1559.8617,51.3330,34.0893
367.9958,233.7604,-10.6991,-8.4269,-16.1977,-19.2997,1561.5918,52.4674,33.9702
375.7818,233.4006,-10.8920,-8.9776,-16.8456,-19.5691,1563.3595,53.5977,33.8452
383.5557,233.0343,-11.0867,-9.5500,-17.5023,-19.8323,1565.1649,54.7237,33.7141
391.3173,232.6615,-11.2830,-10.1445,-18.1677,-20.0886,1567.0077,55.8453,33.5775
399.0664,232.2821,-11.4807,-10.7613,-18.8416,-20.3365,1568.8879,56.9622,33.4364
406.8027,231.8961,-11.6798,-11.4007,-19.5235,-20.5765,1570.8051,58.0744,33.2911
414.5261,231.5034,-11.8803,-12.0630,-20.2133,-20.8089,1572.7594,59.1816,33.1423
422.2362,231.1041,-12.0821,-12.7483,-20.9108,-21.0345,1574.7505,60.2839,32.9900
429.9329,230.6980,-12.2853,-13.4571,-21.6156,-21.2534,1576.7783,61.3810,32.8349
437.6160,230.2851,-12.4898,-14.1895,-22.3277,-21.4666,1578.8425,62.4728,32.6770
445.2852,229.8653,-12.6957,-14.9457,-23.0467,-21.6737,1580.9431,63.5594,32.5172
452.9403,229.4387,-12.9031,-15.7260,-23.7726,-21.8752,1583.0798,64.6407,32.3555
460.5810,229.0051,-13.1120,-16.5306,-24.5051,-22.0708,1585.2524,65.7165,32.1927
468.2072,228.5646,-13.3225,-17.3597,-25.2440,-22.2589,1587.4608,66.7868,32.0297
475.8186,228.1169,-13.5345,-18.2136,-25.9890,-22.4414,1589.7048,67.8518,31.8661
483.4149,227.6623,-13.7481,-19.0924,-26.7401,-22.6190,1591.9842,68.9112,31.7018
490.9960,227.2004,-13.9633,-19.9963,-27.4969,-22.7917,1594.2988,69.9652,31.5370
498.5616,226.7314,-14.1801,-20.9256,-28.2595,-22.9593,1596.6485,71.0137,31.3721
506.1114,226.2551,-14.3985,-21.8804,-29.0276,-23.1211,1599.0330,72.0567,31.2074
513.6451,225.7715,-14.6184,-22.8608,-29.8009,-23.2774,1601.4522,73.0942,31.0430
521.1627,225.2805,-14.8400,-23.8671,-30.5794,-23.4284,1603.9059,74.1262,30.8788
528.6638,224.7821,-15.0619,-24.8995,-31.3628,-23.5747,1606.3939,75.1528,30.7153
536.1481,224.2764,-15.1374,-25.9581,-32.1510,-23.7447,1608.9160,76.1739,30.6173
543.6156,223.7730,-14.9671,-27.0430,-32.9458,-23.9607,1611.4722,77.1939,30.6325
551.0664,223.2786,-14.6569,-28.1545,-33.7484,-24.2059,1614.0623,78.2161,30.7199
558.5009,222.7958,-14.3573,-29.2930,-34.5595,-24.4524,1616.6866,79.2419,30.8149
565.9195,222.3214,-14.1510,-30.4586,-35.3786,-24.6824,1619.3451,80.2704,30.8789
573.3224,221.8524,-14.0235,-31.6516,-36.2050,-24.8975,1622.0380,81.3005,30.9159
580.7097,221.3865,-13.9619,-32.8723,-37.0384,-25.0990,1624.7652,82.3315,30.9292
588.0815,220.9217,-13.9561,-34.1209,-37.8783,-25.2854,1627.5267,83.3625,30.9227
595.4378,220.4561,-13.9971,-35.3976,-38.7241,-25.4525,1630.3227,84.3930,30.9018
602.7786,219.9885,-14.0776,-36.7026,-39.5751,-25.5971,1633.1529,85.4226,30.8712
610.1037,219.5176,-14.1913,-38.0360,-40.4306,-25.7182,1636.0175,86.4511,30.8337
617.4131,219.0424,-14.3329,-39.3980,-41.2897,-25.8156,1638.9163,87.4782,30.7916
624.7065,218.5621,-14.4977,-40.7887,-42.1516,-25.8896,1641.8494,88.5038,30.7465
631.9838,218.0759,-14.6821,-42.2081,-43.0156,-25.9409,1644.8166,89.5279,30.6998
639.2448,217.5833,-14.8827,-43.6564,-43.8810,-25.9697,1647.8179,90.5505,30.6528
646.4893,217.0837,-15.0966,-45.1335,-44.7470,-25.9764,1650.8532,91.5715,30.6068
653.7170,216.5768,-15.3220,-46.6395,-45.6128,-25.9615,1653.9226,92.5909,30.5626
660.9276,216.0623,-15.5567,-48.1744,-46.4777,-25.9252,1657.0260,93.6090,30.5213
668.1210,215.5397,-15.7991,-49.7380,-47.3411,-25.8682,1660.1632,94.6257,30.4837
675.2969,215.0090,-16.0479,-51.3304,-48.2023,-25.7908,1663.3343,95.6412,30.4504
