x,vx,ax,y,vy,ay,z,vz,az
0.0000,274.3200,-2.4434,0.0000,0.0000,-0.1278,1524.0000,0.0000,3.8093
9.1426,274.2386,-2.3417,-0.0001,-0.0043,-0.1138,1524.0016,0.1270,5.5804
18.2826,274.1639,-2.2244,-0.0003,-0.0076,0.0201,1524.0097,0.3720,7.5354
27.4202,274.0903,-2.2020,-0.0005,-0.0029,0.2777,1524.0265,0.6293,7.0416
36.5553,274.0171,-2.1823,-0.0004,0.0109,0.5282,1524.0512,0.8415,5.2404
45.6880,273.9448,-2.1513,0.0003,0.0323,0.7120,1524.0818,0.9787,2.7967
54.8183,273.8737,-2.1142,0.0018,0.0584,0.8078,1524.1155,1.0279,0.1082
63.9463,273.8038,-2.0776,0.0043,0.0861,0.8166,1524.1493,0.9859,-2.5694
73.0719,273.7352,-2.0490,0.0076,0.1128,0.7503,1524.1802,0.8566,-5.0770
82.1953,273.6672,-2.0297,0.0117,0.1362,0.6281,1524.2055,0.6474,-7.3105
91.3164,273.5998,-2.0213,0.0166,0.1547,0.4692,1524.2226,0.3693,-9.2034
100.4353,273.5325,-2.0375,0.0220,0.1675,0.2897,1524.2295,0.0339,-10.7395
109.5519,273.4640,-2.0668,0.0277,0.1740,0.1111,1524.2244,-0.3467,-11.9045
118.6662,273.3947,-2.0839,0.0335,0.1749,-0.0525,1524.2060,-0.7597,-12.7067
127.7782,273.3251,-2.0824,0.0393,0.1705,-0.1954,1524.1735,-1.1938,-13.1941
136.8879,273.2559,-2.0594,0.0448,0.1618,-0.3067,1524.1263,-1.6393,-13.4007
145.9953,273.1878,-2.0142,0.0500,0.1501,-0.3816,1524.0642,-2.0872,-13.3644
155.1004,273.1216,-1.9491,0.0548,0.1364,-0.4232,1523.9872,-2.5303,-13.1471
164.2034,273.0578,-1.8671,0.0591,0.1219,-0.4338,1523.8956,-2.9637,-12.8007
173.3043,272.9971,-1.7706,0.0629,0.1075,-0.4151,1523.7897,-3.3837,-12.3581
182.4033,272.9398,-1.6727,0.0663,0.0942,-0.4031,1523.6702,-3.7876,-11.9750
191.5003,272.8856,-1.5907,0.0692,0.0806,-0.3906,1523.5373,-4.1820,-11.6283
200.5957,272.8338,-1.4753,0.0717,0.0681,-0.2234,1523.3915,-4.5628,-10.7812
209.6893,272.7872,-1.2890,0.0739,0.0657,0.1630,1523.2336,-4.9008,-9.2675
218.7815,272.7478,-1.0651,0.0762,0.0790,0.6788,1523.0654,-5.1806,-7.4558
227.8726,272.7162,-0.8297,0.0793,0.1110,1.2523,1522.8890,-5.3978,-5.6027
236.9627,272.6925,-0.6005,0.0839,0.1625,1.8357,1522.7063,-5.5541,-3.8592
246.0522,272.6762,-0.3871,0.0904,0.2333,2.3951,1522.5193,-5.6551,-2.3157
255.1412,272.6667,-0.1945,0.0996,0.3222,2.9025,1522.3298,-5.7085,-1.0296
264.2300,272.6632,-0.0231,0.1121,0.4268,3.3447,1522.1392,-5.7237,-0.0167
273.3188,272.6652,0.1291,0.1282,0.5452,3.7168,1521.9485,-5.7096,0.7333
282.4078,272.6719,0.2645,0.1485,0.6746,4.0112,1521.7587,-5.6748,1.2293
291.4970,272.6828,0.3862,0.1733,0.8126,4.2328,1521.5703,-5.6277,1.5019
300.5867,272.6976,0.4977,0.2028,0.9568,4.3929,1521.3836,-5.5747,1.5956
309.6769,272.7160,0.6016,0.2371,1.1054,4.4973,1521.1987,-5.5213,1.5422
318.7678,272.7377,0.6997,0.2765,1.2566,4.5537,1521.0155,-5.4719,1.3718
327.8594,272.7626,0.7938,0.3209,1.4090,4.5738,1520.8338,-5.4298,1.1208
336.9520,272.7906,0.8854,0.3704,1.5616,4.5676,1520.6534,-5.3972,0.8184
346.0455,272.8216,0.9755,0.4250,1.7135,4.5441,1520.4739,-5.3753,0.4890
355.1401,272.8557,1.0650,0.4847,1.8645,4.5116,1520.2949,-5.3646,0.1537
364.2359,272.8926,1.1542,0.5493,2.0143,4.4774,1520.1161,-5.3650,-0.1710
373.3330,272.9326,1.2422,0.6189,2.1630,4.4473,1519.9372,-5.3760,-0.4730
382.4314,272.9755,1.3283,0.6935,2.3108,4.4253,1519.7576,-5.3966,-0.7443
391.5314,273.0212,1.4125,0.7730,2.4580,4.4148,1519.5773,-5.4256,-0.9796
400.6329,273.0696,1.4953,0.8574,2.6051,4.4177,1519.3958,-5.4619,-1.1767
409.7360,273.1208,1.5768,0.9466,2.7525,4.4344,1519.2131,-5.5041,-1.3365
418.8410,273.1748,1.6571,1.0409,2.9007,4.4651,1519.0289,-5.5510,-1.4608
427.9477,273.2313,1.7362,1.1400,3.0502,4.5087,1518.8430,-5.6014,-1.5529
437.0564,273.2905,1.8138,1.2442,3.2013,4.5636,1518.6554,-5.6545,-1.6174
446.1671,273.3522,1.8900,1.3535,3.3544,4.6281,1518.4660,-5.7093,-1.6589
455.2799,273.4165,1.9623,1.4679,3.5098,4.7000,1518.2748,-5.7651,-1.6822
464.3949,273.4831,2.0135,1.5875,3.6678,4.7771,1518.0817,-5.8214,-1.6916
473.5121,273.5507,2.0324,1.7124,3.8283,4.8573,1517.8867,-5.8779,-1.6910
482.6316,273.6186,2.0314,1.8428,3.9916,4.9385,1517.6898,-5.9342,-1.6848
491.7534,273.6862,2.0161,1.9786,4.1576,5.0192,1517.4911,-5.9902,-1.6763
500.8774,273.7530,1.9845,2.1200,4.3262,5.0980,1517.2905,-6.0459,-1.6681
510.0036,273.8185,1.9378,2.2670,4.4974,5.1737,1517.0880,-6.1014,-1.6619
519.1319,273.8822,1.8768,2.4198,4.6711,5.2455,1516.8837,-6.1567,-1.6594
528.2623,273.9436,1.8023,2.5784,4.8471,5.3130,1516.6776,-6.2120,-1.6614
537.3948,274.0023,1.7152,2.7430,5.0253,5.3760,1516.4696,-6.2675,-1.6681
546.5291,274.0579,1.6166,2.9135,5.2055,5.4343,1516.2597,-6.3232,-1.6798
555.6653,274.1101,1.5076,3.0900,5.3876,5.4883,1516.0480,-6.3794,-1.6960
564.8031,274.1584,1.3893,3.2727,5.5714,5.5381,1515.8344,-6.4363,-1.7163
573.9425,274.2027,1.2629,3.4615,5.7568,5.5842,1515.6189,-6.4939,-1.7403
583.0832,274.2426,1.1296,3.6565,5.9437,5.6270,1515.4015,-6.5523,-1.7670
592.2253,274.2780,0.9907,3.8577,6.1319,5.6670,1515.1821,-6.6117,-1.7959
601.3684,274.3087,0.8473,4.0653,6.3215,5.7047,1514.9607,-6.6720,-1.8264
610.5124,274.3345,0.7016,4.2792,6.5123,5.7406,1514.7373,-6.7334,-1.8578
619.6573,274.3554,0.5574,4.4995,6.7042,5.7750,1514.5118,-6.7959,-1.8897
628.8028,274.3717,0.4174,4.7261,6.8973,5.8085,1514.2842,-6.8594,-1.9216
637.9487,274.3833,0.2819,4.9593,7.0914,5.8413,1514.0545,-6.9240,-1.9531
647.0949,274.3904,0.1507,5.1989,7.2867,5.8736,1513.8226,-6.9896,-1.9841
656.2413,274.3933,0.0238,5.4451,7.4830,5.9057,1513.5885,-7.0563,-2.0142
665.3878,274.3920,-0.0990,5.6978,7.6804,5.9375,1513.3522,-7.1239,-2.0433
674.5341,274.3867,-0.2179,5.9571,7.8788,5.9692,1513.1136,-7.1925,-2.0714
683.6802,274.3775,-0.3329,6.2231,8.0783,6.0007,1512.8727,-7.2620,-2.0984
692.8259,274.3645,-0.4442,6.4957,8.2789,6.0321,1512.6294,-7.3324,-2.1244
701.9711,274.3479,-0.5519,6.7750,8.4805,6.0634,1512.3838,-7.4036,-2.1495
711.1157,274.3277,-0.6561,7.0611,8.6831,6.0943,1512.1358,-7.4757,-2.1737
720.2596,274.3042,-0.7570,7.3539,8.8868,6.1249,1511.8854,-7.5485,-2.1972
729.4026,274.2773,-0.8547,7.6535,9.0914,6.1552,1511.6326,-7.6222,-2.2200
738.5447,274.2472,-0.9492,7.9600,9.2971,6.1849,1511.3773,-7.6965,-2.2422
747.6857,274.2140,-1.0399,8.2733,9.5038,6.2141,1511.1195,-7.7716,-2.2641
756.8256,274.1779,-1.1245,8.5936,9.7114,6.2427,1510.8592,-7.8475,-2.2857
765.9642,274.1390,-1.2008,8.9208,9.9199,6.2709,1510.5963,-7.9240,-2.3071
775.1015,274.0978,-1.2678,9.2549,10.1294,6.2986,1510.3309,-8.0013,-2.3285
784.2374,274.0545,-1.3254,9.5961,10.3398,6.3259,1510.0629,-8.0793,-2.3499
793.3718,274.0094,-1.3736,9.9443,10.5512,6.3527,1509.7923,-8.1579,-2.3714
802.5047,273.9629,-1.4124,10.2995,10.7634,6.3790,1509.5190,-8.2373,-2.3929
811.6360,273.9153,-1.4418,10.6618,10.9764,6.4050,1509.2431,-8.3175,-2.4144
820.7657,273.8668,-1.4620,11.0313,11.1904,6.4306,1508.9645,-8.3983,-2.4360
829.8937,273.8178,-1.4733,11.4079,11.4051,6.4558,1508.6832,-8.4799,-2.4577
839.0202,273.7686,-1.4758,11.7916,11.6207,6.4807,1508.3992,-8.5621,-2.4793
848.1450,273.7194,-1.4699,12.1826,11.8372,6.5054,1508.1124,-8.6451,-2.5011
857.2681,273.6706,-1.4560,12.5808,12.0544,6.5299,1507.8228,-8.7289,-2.5228
866.3897,273.6224,-1.4346,12.9862,12.2725,6.5541,1507.5305,-8.8133,-2.5446
875.5096,273.5750,-1.4060,13.3989,12.4914,6.5781,1507.2353,-8.8985,-2.5663
884.6280,273.5286,-1.3709,13.8190,12.7110,6.6019,1506.9372,-8.9844,-2.5880
893.7449,273.4836,-1.3298,14.2464,12.9315,6.6256,1506.6363,-9.0711,-2.6097
902.8603,273.4400,-1.2832,14.6811,13.1528,6.6491,1506.3325,-9.1584,-2.6313
911.9743,273.3980,-1.2317,15.1232,13.3748,6.6724,1506.0257,-9.2465,-2.6528
921.0868,273.3579,-1.1760,15.5728,13.5976,6.6956,1505.7160,-9.3353,-2.6742
930.1981,273.3196,-1.1166,16.0297,13.8212,6.7187,1505.4034,-9.4247,-2.6955
939.3082,273.2834,-1.0543,16.4942,14.0455,6.7415,1505.0877,-9.5149,-2.7166
948.4170,273.2493,-0.9896,16.9661,14.2706,6.7642,1504.7690,-9.6059,-2.7376
957.5248,273.2174,-0.9232,17.4456,14.4964,6.7867,1504.4473,-9.6975,-2.7585
966.6316,273.1878,-0.8557,17.9325,14.7230,6.8089,1504.1225,-9.7898,-2.7791
