x,vx,ax,y,vy,ay,z,vz,az
0.0000,274.3200,-2.7787,0.0000,0.0000,-0.1524,1524.0000,0.0000,2.0056
9.1425,274.2274,-2.7680,-0.0001,-0.0051,-0.1361,1524.0008,0.0669,4.5398
18.2818,274.1355,-2.6751,-0.0003,-0.0091,0.0689,1524.0064,0.3027,10.4670
27.4182,274.0490,-2.5211,-0.0005,-0.0005,0.5860,1524.0235,0.7647,17.5691
36.5518,273.9674,-2.4600,-0.0001,0.0300,1.3659,1524.0601,1.4739,24.9273
45.6827,273.8850,-2.6047,0.0018,0.0906,2.3682,1524.1244,2.4265,31.9135
54.8107,273.7937,-2.9685,0.0063,0.1879,3.5380,1524.2243,3.6015,38.1258
63.9355,273.6871,-3.5029,0.0148,0.3264,4.8142,1524.3667,4.9682,43.3485
73.0563,273.5602,-4.1585,0.0286,0.5088,6.1378,1524.5573,6.4914,47.5060
82.1725,273.4099,-4.8795,0.0492,0.7356,7.4598,1524.8008,8.1353,50.6207
91.2834,273.2349,-5.6140,0.0781,1.0061,8.7431,1525.1006,9.8661,52.7820
100.3879,273.0356,-6.3200,0.1167,1.3185,9.9614,1525.4591,11.6541,54.1113
109.4855,272.8136,-6.9687,0.1665,1.6702,11.1000,1525.8779,13.4735,54.7437
118.5753,272.5710,-7.5434,0.2285,2.0585,12.1530,1526.3575,15.3036,54.8167
127.6567,272.3107,-8.0376,0.3041,2.4804,13.1207,1526.8981,17.1280,54.4574
136.7292,272.0352,-8.4538,0.3942,2.9332,14.0085,1527.4992,18.9341,53.7793
145.7922,271.7471,-8.7990,0.4999,3.4143,14.8254,1528.1600,20.7133,52.8823
154.8455,271.4486,-9.0833,0.6221,3.9216,15.5819,1528.8797,22.4596,51.8492
163.8887,271.1415,-9.3192,0.7616,4.4531,16.2901,1529.6569,24.1699,50.7473
172.9215,270.8273,-9.5186,0.9193,5.0076,16.9616,1530.4906,25.8428,49.6318
181.9438,270.5070,-9.6925,1.0957,5.5839,17.6055,1531.3794,27.4787,48.5415
190.9553,270.1812,-9.8505,1.2917,6.1813,18.2305,1532.3221,29.0789,47.5027
199.9558,269.8503,-10.0012,1.5080,6.7993,18.8452,1533.3176,30.6455,46.5368
208.9452,269.5144,-10.1511,1.7453,7.4376,19.4553,1534.3648,32.1813,45.6551
217.9234,269.1735,-10.3050,2.0041,8.0963,20.0646,1535.4627,33.6892,44.8600
226.8901,268.8274,-10.4668,2.2852,8.7753,20.6769,1536.6105,35.1720,44.1532
235.8452,268.4757,-10.6391,2.5893,9.4747,21.2934,1537.8073,36.6327,43.5306
244.7884,268.1181,-10.8224,2.9171,10.1948,21.9133,1539.0524,38.0740,42.9823
253.7196,267.7543,-11.0175,3.2692,10.9356,22.5368,1540.3453,39.4982,42.5010
262.6386,267.3836,-11.2247,3.6464,11.6973,23.1630,1541.6855,40.9074,42.0788
271.5451,267.0059,-11.4425,4.0493,12.4798,23.7887,1543.0724,42.3035,41.7033
280.4389,266.6208,-11.6696,4.4786,13.2832,24.4114,1544.5056,43.6877,41.3636
289.3198,266.2280,-11.9048,4.9351,14.1073,25.0292,1545.9847,45.0610,41.0522
298.1874,265.8272,-12.1469,5.4193,14.9518,25.6397,1547.5095,46.4245,40.7611
307.0415,265.4182,-12.3941,5.9321,15.8166,26.2404,1549.0796,47.7785,40.4825
315.8818,265.0009,-12.6449,6.4740,16.7012,26.8292,1550.6947,49.1233,40.2104
324.7081,264.5752,-12.8980,7.0457,17.6052,27.4046,1552.3544,50.4591,39.9399
333.5201,264.1410,-13.1520,7.6479,18.5281,27.9649,1554.0585,51.7860,39.6673
342.3174,263.6984,-13.4060,8.2811,19.4695,28.5091,1555.8067,53.1036,39.3896
351.0999,263.2473,-13.6592,8.9460,20.4287,29.0367,1557.5986,54.4119,39.1053
359.8671,262.7878,-13.9111,9.6432,21.4053,29.5474,1559.4340,55.7106,38.8134
368.6190,262.3199,-14.1611,10.3732,22.3986,30.0409,1561.3126,56.9995,38.5130
377.3550,261.8437,-14.4089,11.1366,23.4080,30.5175,1563.2339,58.2782,38.2040
386.0751,261.3593,-14.6547,11.9339,24.4331,30.9775,1565.1977,59.5464,37.8874
394.7789,260.8667,-14.8987,12.7657,25.4732,31.4214,1567.2035,60.8040,37.5644
403.4661,260.3660,-15.1420,13.6323,26.5278,31.8498,1569.2511,62.0507,37.2349
412.1366,259.8572,-15.3859,14.5343,27.5965,32.2634,1571.3401,63.2863,36.8993
420.7899,259.3403,-15.6313,15.4722,28.6787,32.6624,1573.4701,64.5107,36.5587
429.4258,258.8152,-15.8782,16.4464,29.7740,33.0475,1575.6407,65.7236,36.2142
438.0441,258.2818,-16.1268,17.4573,30.8819,33.4196,1577.8516,66.9249,35.8666
446.6445,257.7400,-16.3772,18.5053,32.0020,33.7790,1580.1022,68.1147,35.5170
455.2267,257.1899,-16.6296,19.5909,33.1338,34.1265,1582.3924,69.2927,35.1661
463.7904,256.6314,-16.8840,20.7144,34.2771,34.4626,1584.7216,70.4591,34.8146
472.3354,256.0643,-17.1407,21.8762,35.4313,34.7876,1587.0895,71.6137,34.4630
480.8613,255.4887,-17.3997,23.0766,36.5962,35.1020,1589.4958,72.7566,34.1121
