x,vx,ax,y,vy,ay,z,vz,az
0.0000,274.3200,-2.2142,0.0000,0.0000,-0.1444,2438.4000,0.0000,2.1689
9.1427,274.2462,-2.1064,-0.0001,-0.0048,-0.1360,2438.4008,0.0723,3.9226
18.2832,274.1796,-1.9469,-0.0003,-0.0091,0.0104,2438.4061,0.2615,6.4920
27.4214,274.1164,-1.8550,-0.0006,-0.0041,0.3318,2438.4188,0.5051,7.5403
36.5576,274.0559,-1.7737,-0.0004,0.0131,0.6985,2438.4399,0.7642,7.6375
45.6918,273.9982,-1.6941,0.0004,0.0424,1.0427,2438.4696,1.0143,7.1338
54.8242,273.9430,-1.6179,0.0025,0.0826,1.3342,2438.5073,1.2398,6.2585
63.9547,273.8903,-1.5649,0.0060,0.1314,1.5630,2438.5519,1.4315,5.1697
73.0835,273.8386,-1.5377,0.0113,0.1868,1.7295,2438.6023,1.5844,3.9807
82.2107,273.7878,-1.5136,0.0185,0.2467,1.8419,2438.6571,1.6969,2.7767
91.3361,273.7377,-1.4884,0.0278,0.3096,1.9124,2438.7150,1.7696,1.6203
100.4598,273.6885,-1.4625,0.0392,0.3742,1.9488,2438.7746,1.8049,0.5514
109.5820,273.6402,-1.4350,0.0528,0.4395,1.9625,2438.8349,1.8063,-0.3953
118.7025,273.5929,-1.4046,0.0685,0.5050,1.9651,2438.8948,1.7785,-1.1948
127.8215,273.5466,-1.3706,0.0864,0.5705,1.9625,2438.9532,1.7267,-1.8441
136.9390,273.5015,-1.3317,0.1065,0.6359,1.9645,2439.0096,1.6556,-2.3426
146.0550,273.4578,-1.2871,0.1288,0.7015,1.9825,2439.0635,1.5705,-2.6924
155.1695,273.4157,-1.2363,0.1533,0.7680,2.0202,2439.1142,1.4761,-2.9014
164.2827,273.3754,-1.1789,0.1800,0.8361,2.0814,2439.1618,1.3771,-2.9714
173.3946,273.3371,-1.1134,0.2091,0.9068,2.1773,2439.2060,1.2780,-2.8989
182.5052,273.3012,-1.0401,0.2405,0.9813,2.3078,2439.2470,1.1838,-2.7123
191.6147,273.2678,-0.9609,0.2746,1.0606,2.4634,2439.2850,1.0972,-2.4581
200.7231,273.2371,-0.8771,0.3113,1.1455,2.6361,2439.3203,1.0199,-2.1700
209.8305,273.2093,-0.7902,0.3510,1.2364,2.8194,2439.3531,0.9525,-1.8744
218.9371,273.1844,-0.7010,0.3938,1.3335,3.0076,2439.3839,0.8950,-1.5899
228.0428,273.1626,-0.6104,0.4400,1.4369,3.1965,2439.4129,0.8465,-1.3284
237.1479,273.1437,-0.5189,0.4897,1.5466,3.3824,2439.4404,0.8064,-1.0975
246.2525,273.1280,-0.4266,0.5431,1.6624,3.5623,2439.4667,0.7734,-0.9022
255.3565,273.1153,-0.3337,0.6006,1.7841,3.7368,2439.4920,0.7463,-0.7385
264.4602,273.1057,-0.2402,0.6621,1.9115,3.9055,2439.5165,0.7241,-0.6049
273.5636,273.0993,-0.1462,0.7280,2.0444,4.0662,2439.5404,0.7059,-0.5027
282.6668,273.0960,-0.0518,0.7985,2.1826,4.2194,2439.5636,0.6906,-0.4286
291.7700,273.0958,0.0432,0.8736,2.3257,4.3657,2439.5864,0.6774,-0.3784
300.8733,273.0988,0.1386,0.9536,2.4736,4.5051,2439.6088,0.6654,-0.3496
309.9766,273.1051,0.2344,1.0386,2.6261,4.6377,2439.6308,0.6540,-0.3396
319.0803,273.1145,0.3305,1.1287,2.7828,4.7650,2439.6524,0.6428,-0.3435
328.1843,273.1271,0.4270,1.2241,2.9437,4.8895,2439.6737,0.6311,-0.3558
337.2888,273.1429,0.5238,1.3250,3.1088,5.0114,2439.6945,0.6190,-0.3742
346.3939,273.1620,0.6206,1.4314,3.2778,5.1305,2439.7149,0.6062,-0.3980
355.4996,273.1843,0.7174,1.5436,3.4508,5.2476,2439.7349,0.5925,-0.4247
364.6062,273.2098,0.8141,1.6615,3.6277,5.3655,2439.7544,0.5779,-0.4500
373.7137,273.2386,0.9105,1.7855,3.8085,5.4854,2439.7734,0.5625,-0.4717
382.8221,273.2705,1.0056,1.9155,3.9934,5.6054,2439.7919,0.5464,-0.4903
391.9317,273.3056,1.0980,2.0517,4.1822,5.7269,2439.8098,0.5298,-0.5049
401.0426,273.3437,1.1870,2.1943,4.3751,5.8511,2439.8272,0.5128,-0.5146
410.1547,273.3848,1.2727,2.3434,4.5723,5.9776,2439.8440,0.4955,-0.5196
419.2682,273.4286,1.3552,2.4992,4.7736,6.1058,2439.8602,0.4781,-0.5201
428.3833,273.4751,1.4346,2.6617,4.9793,6.2360,2439.8759,0.4608,-0.5161
437.4999,273.5242,1.5109,2.8312,5.1894,6.3681,2439.8910,0.4437,-0.5082
446.6183,273.5758,1.5843,3.0077,5.4039,6.5019,2439.9055,0.4270,-0.4972
455.7384,273.6298,1.6548,3.1915,5.6228,6.6370,2439.9194,0.4106,-0.4833
464.8603,273.6862,1.7225,3.3826,5.8463,6.7730,2439.9328,0.3947,-0.4673
473.9841,273.7447,1.7887,3.5813,6.0744,6.9093,2439.9457,0.3794,-0.4500
483.1099,273.8054,1.8478,3.7877,6.3070,7.0459,2439.9581,0.3647,-0.4317
492.2378,273.8679,1.8838,4.0018,6.5441,7.1824,2439.9701,0.3507,-0.4128
501.3678,273.9310,1.8848,4.2240,6.7858,7.3174,2439.9815,0.3372,-0.3941
510.4999,273.9935,1.8534,4.4543,7.0319,7.4511,2439.9926,0.3244,-0.3760
519.6340,274.0545,1.7947,4.6928,7.2825,7.5833,2440.0032,0.3122,-0.3584
528.7702,274.1132,1.7096,4.9398,7.5375,7.7137,2440.0134,0.3005,-0.3421
537.9082,274.1685,1.5999,5.1954,7.7968,7.8421,2440.0232,0.2893,-0.3273
547.0480,274.2198,1.4669,5.4596,8.0603,7.9684,2440.0327,0.2787,-0.3134
556.1895,274.2663,1.3147,5.7328,8.3280,8.0925,2440.0418,0.2685,-0.3007
565.3324,274.3075,1.1525,6.0149,8.5998,8.2149,2440.0506,0.2586,-0.2897
574.4766,274.3431,0.9914,6.3061,8.8757,8.3358,2440.0590,0.2491,-0.2799
583.6219,274.3736,0.8358,6.6066,9.1555,8.4556,2440.0672,0.2400,-0.2709
592.7681,274.3989,0.6848,6.9165,9.4394,8.5738,2440.0750,0.2311,-0.2628
601.9151,274.4192,0.5381,7.2360,9.7271,8.6909,2440.0826,0.2224,-0.2553
611.0627,274.4347,0.3955,7.5651,10.0188,8.8075,2440.0899,0.2141,-0.2485
620.2107,274.4456,0.2569,7.9039,10.3143,8.9231,2440.0969,0.2059,-0.2420
629.3590,274.4519,0.1222,8.2527,10.6136,9.0379,2440.1036,0.1979,-0.2358
638.5074,274.4537,-0.0088,8.6116,10.9168,9.1521,2440.1101,0.1902,-0.2297
647.6558,274.4513,-0.1363,8.9806,11.2238,9.2657,2440.1163,0.1826,-0.2238
656.8041,274.4446,-0.2603,9.3598,11.5345,9.3789,2440.1222,0.1752,-0.2180
665.9521,274.4339,-0.3811,9.7496,11.8490,9.4916,2440.1280,0.1681,-0.2122
675.0997,274.4192,-0.4987,10.1498,12.1673,9.6038,2440.1334,0.1611,-0.2061
684.2467,274.4007,-0.6132,10.5608,12.4893,9.7153,2440.1387,0.1543,-0.2003
693.3930,274.3784,-0.7247,10.9825,12.8150,9.8265,2440.1437,0.1477,-0.1944
702.5385,274.3524,-0.8335,11.4151,13.1444,9.9374,2440.1486,0.1414,-0.1884
711.6831,274.3228,-0.9395,11.8588,13.4775,10.0474,2440.1532,0.1352,-0.1824
720.8267,274.2897,-1.0430,12.3137,13.8142,10.1567,2440.1576,0.1292,-0.1764
729.9691,274.2533,-1.1439,12.7798,14.1546,10.2657,2440.1618,0.1234,-0.1704
739.1102,274.2135,-1.2424,13.2573,14.4986,10.3740,2440.1658,0.1179,-0.1644
748.2499,274.1704,-1.3386,13.7464,14.8462,10.4816,2440.1696,0.1125,-0.1586
757.3882,274.1242,-1.4326,14.2471,15.1974,10.5884,2440.1733,0.1073,-0.1528
766.5248,274.0749,-1.5244,14.7596,15.5521,10.6945,2440.1768,0.1023,-0.1470
775.6598,274.0226,-1.6139,15.2840,15.9103,10.7999,2440.1801,0.0975,-0.1416
784.7930,273.9673,-1.7022,15.8203,16.2721,10.9045,2440.1833,0.0928,-0.1362
793.9243,273.9091,-1.7885,16.3688,16.6373,11.0085,2440.1863,0.0884,-0.1308
803.0536,273.8481,-1.8668,16.9295,17.0060,11.1118,2440.1892,0.0841,-0.1256
812.1808,273.7847,-1.9291,17.5026,17.3781,11.2155,2440.1919,0.0800,-0.1205
821.3059,273.7195,-1.9729,18.0881,17.7537,11.3197,2440.1945,0.0761,-0.1152
830.4287,273.6532,-1.9990,18.6862,18.1327,11.4240,2440.1970,0.0723,-0.1099
839.5494,273.5862,-2.0081,19.2970,18.5153,11.5288,2440.1993,0.0688,-0.1046
848.6678,273.5193,-2.0009,19.9206,18.9013,11.6343,2440.2016,0.0654,-0.0991
