x,vx,ax,y,vy,ay,z,vz,az
0.0000,274.3200,-2.6556,0.0000,0.0000,-0.1557,914.4000,0.0000,4.4700
9.1425,274.2315,-2.5329,-0.0001,-0.0052,-0.1335,914.4019,0.1490,6.4646
18.2822,274.1511,-2.3577,-0.0003,-0.0089,0.0457,914.4114,0.4310,9.0855
27.4193,274.0743,-2.2610,-0.0005,-0.0021,0.3962,914.4311,0.7547,9.5988
36.5538,274.0004,-2.1767,-0.0003,0.0175,0.7713,914.4616,1.0709,8.9715
45.6860,273.9292,-2.1136,0.0008,0.0493,1.1026,914.5021,1.3528,7.7373
54.8158,273.8595,-2.0853,0.0031,0.0910,1.3640,914.5513,1.5867,6.2063
63.9433,273.7902,-2.0734,0.0069,0.1402,1.5541,914.6073,1.7665,4.5739
73.0685,273.7213,-2.0607,0.0125,0.1946,1.6798,914.6684,1.8916,2.9688
82.1914,273.6528,-2.0473,0.0199,0.2522,1.7508,914.7328,1.9645,1.4784
91.3120,273.5848,-2.0327,0.0293,0.3113,1.7804,914.7989,1.9902,0.1559
100.4304,273.5173,-2.0156,0.0407,0.3709,1.7843,914.8650,1.9749,-0.9648
109.5465,273.4504,-1.9940,0.0540,0.4303,1.7770,914.9301,1.9259,-1.8627
118.6604,273.3843,-1.9662,0.0694,0.4894,1.7706,914.9931,1.8507,-2.5395
127.7721,273.3193,-1.9307,0.0867,0.5483,1.7764,915.0533,1.7566,-3.0031
136.8817,273.2556,-1.8865,0.1059,0.6078,1.8021,915.1101,1.6505,-3.2714
145.9892,273.1936,-1.8333,0.1272,0.6685,1.8527,915.1633,1.5385,-3.3690
155.0946,273.1334,-1.7713,0.1505,0.7313,1.9274,915.2127,1.4259,-3.3356
164.1981,273.0755,-1.7020,0.1760,0.7970,2.0332,915.2584,1.3161,-3.1761
173.2997,273.0199,-1.6247,0.2037,0.8668,2.1776,915.3005,1.2141,-2.8890
182.3995,272.9672,-1.5393,0.2338,0.9421,2.3514,915.3394,1.1235,-2.5264
191.4975,272.9173,-1.4488,0.2666,1.0236,2.5439,915.3756,1.0457,-2.1366
200.5940,272.8706,-1.3550,0.3021,1.1117,2.7460,915.4093,0.9811,-1.7534
209.6889,272.8270,-1.2594,0.3408,1.2067,2.9491,915.4411,0.9288,-1.4032
218.7825,272.7866,-1.1629,0.3827,1.3083,3.1464,915.4713,0.8875,-1.1021
227.8748,272.7495,-1.0660,0.4281,1.4164,3.3350,915.5004,0.8553,-0.8547
