x,vx,ax,y,vy,ay,z,vz,az
0.0000,259.0800,-1.9298,0.0000,0.0000,0.0000,2438.4000,0.0000,0.7358
8.6349,259.0157,-1.8322,0.0000,0.0000,0.0001,2438.4000,0.0245,2.3139
17.2678,258.9579,-1.6824,0.0000,0.0000,0.0001,2438.4028,0.1543,4.7504
25.8988,258.9035,-1.5904,0.0000,0.0000,0.0002,2438.4109,0.3412,5.9930
34.5280,258.8518,-1.5100,0.0000,0.0000,0.0003,2438.4258,0.5538,6.4338
43.1556,258.8028,-1.4270,0.0000,0.0000,0.0003,2438.4479,0.7701,6.3318
51.7816,258.7567,-1.3428,0.0000,0.0000,0.0003,2438.4770,0.9759,5.8642
60.4061,258.7133,-1.2720,0.0000,0.0001,0.0003,2438.5127,1.1611,5.1599
69.0292,258.6719,-1.2286,0.0000,0.0001,0.0002,2438.5542,1.3199,4.3134
77.6509,258.6314,-1.1989,0.0000,0.0001,0.0001,2438.6004,1.4487,3.3949
86.2713,258.5920,-1.1669,0.0000,0.0001,0.0000,2438.6504,1.5462,2.4645
94.8904,258.5536,-1.1332,0.0000,0.0001,-0.0001,2438.7031,1.6129,1.5604
103.5082,258.5164,-1.0979,0.0000,0.0001,-0.0002,2438.7576,1.6503,0.7178
112.1248,258.4804,-1.0609,0.0000,0.0001,-0.0003,2438.8129,1.6608,-0.0401
120.7402,258.4457,-1.0219,0.0000,0.0001,-0.0003,2438.8680,1.6476,-0.7039
129.3545,258.4123,-0.9799,0.0000,0.0000,-0.0004,2438.9225,1.6139,-1.2622
137.9678,258.3804,-0.9339,0.0000,0.0000,-0.0004,2438.9755,1.5634,-1.7039
146.5799,258.3500,-0.8835,0.0000,0.0000,-0.0005,2439.0266,1.5003,-2.0321
155.1911,258.3215,-0.8284,0.0000,-0.0000,-0.0005,2439.0754,1.4280,-2.2607
163.8014,258.2948,-0.7684,0.0000,-0.0000,-0.0005,2439.1217,1.3496,-2.3981
172.4108,258.2703,-0.7030,0.0000,-0.0000,-0.0004,2439.1653,1.2681,-2.4463
181.0194,258.2480,-0.6323,0.0000,-0.0001,-0.0004,2439.2062,1.1865,-2.4145
189.6273,258.2281,-0.5569,0.0000,-0.0001,-0.0003,2439.2444,1.1071,-2.3218
198.2347,258.2108,-0.4773,0.0000,-0.0001,-0.0003,2439.2801,1.0317,-2.1874
206.8414,258.1963,-0.3939,0.0000,-0.0001,-0.0002,2439.3132,0.9613,-2.0218
215.4478,258.1846,-0.3072,0.0000,-0.0001,-0.0001,2439.3442,0.8969,-1.8316
224.0538,258.1758,-0.2175,0.0000,-0.0001,-0.0001,2439.3731,0.8392,-1.6289
232.6595,258.1701,-0.1256,0.0000,-0.0001,0.0000,2439.4002,0.7883,-1.4250
241.2651,258.1674,-0.0319,0.0000,-0.0001,0.0001,2439.4257,0.7442,-1.2280
249.8707,258.1679,0.0634,-0.0000,-0.0001,0.0001,2439.4499,0.7065,-1.0438
258.4764,258.1717,0.1599,-0.0000,-0.0001,0.0002,2439.4729,0.6746,-0.8769
267.0822,258.1786,0.2574,-0.0000,-0.0001,0.0002,2439.4949,0.6480,-0.7303
275.6883,258.1888,0.3556,-0.0000,-0.0001,0.0002,2439.5162,0.6259,-0.6055
284.2948,258.2023,0.4544,-0.0000,-0.0001,0.0002,2439.5367,0.6076,-0.5036
292.9018,258.2191,0.5537,-0.0000,-0.0001,0.0002,2439.5567,0.5923,-0.4245
301.5095,258.2392,0.6532,-0.0000,-0.0000,0.0002,2439.5762,0.5793,-0.3664
310.1178,258.2627,0.7530,-0.0000,-0.0000,0.0002,2439.5953,0.5679,-0.3272
318.7270,258.2894,0.8529,-0.0000,-0.0000,0.0002,2439.6141,0.5575,-0.3049
327.3372,258.3195,0.9528,-0.0000,-0.0000,0.0002,2439.6325,0.5476,-0.2972
335.9484,258.3529,1.0526,-0.0000,-0.0000,0.0002,2439.6506,0.5377,-0.3014
344.5607,258.3897,1.1521,-0.0000,-0.0000,0.0002,2439.6684,0.5275,-0.3148
353.1744,258.4297,1.2512,-0.0000,-0.0000,0.0001,2439.6858,0.5167,-0.3348
361.7894,258.4731,1.3489,-0.0000,-0.0000,0.0001,2439.7028,0.5052,-0.3592
370.4059,258.5197,1.4439,-0.0000,0.0000,0.0001,2439.7194,0.4928,-0.3859
379.0241,258.5694,1.5360,-0.0000,0.0000,0.0001,2439.7356,0.4794,-0.4132
387.6439,258.6221,1.6249,-0.0000,0.0000,0.0000,2439.7514,0.4652,-0.4394
396.2656,258.6777,1.7057,-0.0000,0.0000,0.0000,2439.7666,0.4502,-0.4630
404.8891,258.7358,1.7589,-0.0000,0.0000,-0.0000,2439.7814,0.4344,-0.4835
413.5147,258.7950,1.7730,-0.0000,0.0000,-0.0000,2439.7956,0.4179,-0.5003
422.1421,258.8540,1.7577,-0.0000,0.0000,-0.0000,2439.8092,0.4010,-0.5131
430.7716,258.9121,1.7218,-0.0000,0.0000,-0.0000,2439.8223,0.3837,-0.5219
439.4029,258.9688,1.6644,-0.0000,0.0000,-0.0000,2439.8348,0.3662,-0.5267
448.0361,259.0231,1.5845,-0.0000,0.0000,-0.0000,2439.8467,0.3486,-0.5275
456.6711,259.0744,1.4853,-0.0000,0.0000,-0.0000,2439.8581,0.3310,-0.5249
465.3077,259.1221,1.3685,-0.0000,-0.0000,-0.0000,2439.8688,0.3136,-0.5194
473.9459,259.1656,1.2385,-0.0000,-0.0000,-0.0000,2439.8790,0.2964,-0.5113
482.5854,259.2047,1.1033,-0.0000,-0.0000,-0.0000,2439.8886,0.2795,-0.5011
491.2261,259.2392,0.9702,-0.0000,-0.0000,-0.0000,2439.8976,0.2630,-0.4894
499.8679,259.2694,0.8430,-0.0000,-0.0000,-0.0000,2439.9061,0.2469,-0.4766
