x,vx,ax,y,vy,ay,z,vz,az
0.0000,274.3200,-2.9720,0.0000,0.0000,-0.0855,609.6000,0.0000,3.7467
9.1423,274.2209,-2.8944,-0.0000,-0.0029,-0.0714,609.6016,0.1249,6.5013
18.2815,274.1270,-2.7167,-0.0002,-0.0048,0.0505,609.6104,0.4334,12.2891
27.4176,274.0398,-2.5549,-0.0003,0.0005,0.3314,609.6328,0.9442,18.3388
36.5508,273.9567,-2.5170,-0.0000,0.0173,0.7293,609.6756,1.6560,24.1513
45.6813,273.8720,-2.6324,0.0010,0.0491,1.2155,609.7452,2.5543,29.3938
54.8089,273.7812,-2.8675,0.0035,0.0984,1.7615,609.8477,3.6156,33.8711
63.9333,273.6809,-3.1908,0.0078,0.1666,2.3402,609.9878,4.8123,37.4995
73.0541,273.5685,-3.5703,0.0148,0.2544,2.9274,610.1697,6.1156,40.2795
82.1710,273.4428,-3.9729,0.0250,0.3617,3.5038,610.3964,7.4976,42.2663
91.2835,273.3036,-4.3711,0.0391,0.4880,4.0568,610.6701,8.9333,43.5517
100.3911,273.1514,-4.7445,0.0577,0.6322,4.5773,610.9923,10.4011,44.2463
109.4935,272.9873,-5.0801,0.0814,0.7931,5.0611,611.3637,11.8831,44.4615
118.5902,272.8128,-5.3723,0.1108,0.9696,5.5079,611.7845,13.3652,44.3066
127.6809,272.6292,-5.6205,0.1462,1.1603,5.9194,612.2546,14.8368,43.8813
136.7654,272.4381,-5.8282,0.1883,1.3642,6.2996,612.7734,16.2906,43.2720
145.8434,272.2406,-6.0009,0.2373,1.5803,6.6533,613.3403,17.7216,42.5527
154.9147,272.0380,-6.1455,0.2938,1.8078,6.9858,613.9546,19.1274,41.7828
163.9792,271.8309,-6.2689,0.3580,2.0460,7.3025,614.6152,20.5072,41.0093
173.0367,271.6201,-6.3774,0.4303,2.2946,7.6083,615.3214,21.8614,40.2674
182.0871,271.4058,-6.4770,0.5110,2.5532,7.9076,616.0724,23.1917,39.5815
191.1304,271.1883,-6.5722,0.6006,2.8218,8.2041,616.8673,24.5002,38.9676
200.1663,270.9676,-6.6669,0.6993,3.1002,8.5006,617.7055,25.7895,38.4340
209.1949,270.7438,-6.7638,0.8074,3.3885,8.7991,618.5864,27.0624,37.9830
218.2159,270.5167,-6.8649,0.9253,3.6868,9.1008,619.5095,28.3217,37.6125
227.2293,270.2862,-6.9712,1.0533,3.9952,9.4062,620.4744,29.5699,37.3169
236.2349,270.0520,-7.0834,1.1917,4.3139,9.7152,621.4807,30.8095,37.0880
245.2327,269.8139,-7.2015,1.3410,4.6429,10.0271,622.5283,32.0425,36.9167
254.2225,269.5719,-7.3250,1.5014,4.9823,10.3412,623.6169,33.2706,36.7930
263.2041,269.3256,-7.4533,1.6733,5.3323,10.6562,624.7463,34.4953,36.7069
272.1775,269.0750,-7.5856,1.8570,5.6927,10.9707,625.9165,35.7177,36.6494
281.1424,268.8199,-7.7209,2.0529,6.0637,11.2836,627.1275,36.9386,36.6116
290.0987,268.5602,-7.8582,2.2613,6.4450,11.5935,628.3791,38.1585,36.5864
299.0464,268.2960,-7.9966,2.4827,6.8366,11.8993,629.6714,39.3777,36.5673
307.9851,268.0271,-8.1351,2.7172,7.2383,12.2000,631.0043,40.5963,36.5494
316.9148,267.7537,-8.2732,2.9653,7.6499,12.4947,632.3778,41.8143,36.5288
325.8353,267.4756,-8.4101,3.2273,8.0713,12.7830,633.7919,43.0316,36.5027
334.7464,267.1930,-8.5455,3.5035,8.5021,13.0643,635.2465,44.2478,36.4694
343.6481,266.9059,-8.6789,3.7942,8.9422,13.3385,636.7417,45.4629,36.4277
352.5401,266.6144,-8.8103,4.0998,9.3913,13.6054,638.2774,46.6764,36.3773
361.4223,266.3185,-8.9396,4.4204,9.8492,13.8652,639.8535,47.8880,36.3185
370.2946,266.0184,-9.0670,4.7565,10.3157,14.1178,641.4699,49.0976,36.2518
379.1569,265.7141,-9.1926,5.1082,10.7904,14.3638,643.1266,50.3048,36.1778
388.0089,265.4056,-9.3167,5.4759,11.2733,14.6032,644.8235,51.5094,36.0978
396.8505,265.0930,-9.4397,5.8599,11.7640,14.8365,646.5605,52.7113,36.0126
405.6817,264.7763,-9.5620,6.2603,12.2624,15.0640,648.3376,53.9103,35.9232
414.5022,264.4555,-9.6850,6.6774,12.7682,15.2859,650.1545,55.1062,35.8304
423.3120,264.1306,-9.8105,7.1116,13.2814,15.5025,652.0113,56.2990,35.7346
432.1109,263.8015,-9.9392,7.5630,13.8017,15.7139,653.9077,57.4885,35.6365
440.8987,263.4680,-10.0710,8.0318,14.3290,15.9205,655.8438,58.6747,35.5368
449.6754,263.1301,-10.2061,8.5183,14.8631,16.1225,657.8194,59.8576,35.4360
458.4407,262.7876,-10.3444,9.0227,15.4039,16.3200,659.8343,61.0371,35.3345
467.1945,262.4404,-10.4860,9.5453,15.9511,16.5131,661.8885,62.2133,35.2326
475.9366,262.0885,-10.6308,10.0862,16.5047,16.7021,663.9818,63.3860,35.1306
484.6670,261.7317,-10.7788,10.6457,17.0646,16.8870,666.1142,64.5553,35.0287
493.3854,261.3699,-10.9298,11.2239,17.6305,17.0678,668.2854,65.7212,34.9268
502.0916,261.0031,-11.0839,11.8211,18.2024,17.2446,670.4955,66.8838,34.8251
510.7855,260.6310,-11.2410,12.4375,18.7802,17.4174,672.7443,68.0429,34.7236
519.4669,260.2537,-11.4009,13.0732,19.3636,17.5862,675.0317,69.1987,34.6220
528.1357,259.8709,-11.5635,13.7284,19.9526,17.7511,677.3575,70.3510,34.5205
536.7916,259.4828,-11.7288,14.4034,20.5470,17.9120,679.7217,71.5000,34.4189
545.4345,259.0890,-11.8966,15.0983,21.1467,18.0689,682.1242,72.6456,34.3172
554.0641,258.6896,-12.0669,15.8133,21.7516,18.2219,684.5647,73.7878,34.2152
562.6804,258.2846,-12.2395,16.5485,22.3615,18.3710,687.0433,74.9267,34.1130
571.2831,257.8737,-12.4143,17.3041,22.9763,18.5161,689.5598,76.0620,34.0103
579.8719,257.4569,-12.5912,18.0803,23.5959,18.6573,692.1141,77.1940,33.9073
588.4468,257.0343,-12.7701,18.8772,24.2201,18.7945,694.7060,78.3225,33.8037
597.0075,256.6056,-12.9510,19.6950,24.8489,18.9279,697.3355,79.4476,33.6997
605.5538,256.1709,-13.1337,20.5338,25.4820,19.0574,700.0025,80.5692,33.5952
614.0855,255.7300,-13.3181,21.3938,26.1194,19.1831,702.7068,81.6873,33.4902
622.6024,255.2830,-13.5043,22.2752,26.7609,19.3049,705.4483,82.8019,33.3846
631.1043,254.8297,-13.6920,23.1779,27.4064,19.4230,708.2269,83.9129,33.2785
639.5909,254.3702,-13.8725,24.1023,28.0557,19.5386,711.0424,85.0204,33.1754
648.0622,253.9049,-13.8553,25.0484,28.7089,19.6782,713.8948,86.1246,33.1523
656.5180,253.4465,-13.5441,26.0163,29.3676,19.8568,716.7841,87.2306,33.2506
664.9588,253.0020,-13.1035,27.0063,30.0327,20.0532,719.7103,88.3413,33.4069
673.3851,252.5729,-12.6936,28.0186,30.7045,20.2521,722.6736,89.4577,33.5699
681.7972,252.1557,-12.3875,29.0534,31.3829,20.4455,725.6743,90.5793,33.7147
690.1955,251.7471,-12.1698,30.1109,32.0675,20.6255,728.7123,91.7053,33.8288
698.5803,251.3444,-12.0253,31.1912,32.7579,20.7844,731.7879,92.8346,33.8973
706.9518,250.9454,-11.9428,32.2947,33.4532,20.9275,734.9012,93.9652,33.9314
715.3100,250.5482,-11.9146,33.4215,34.1531,21.0668,738.0522,95.0966,33.9572
723.6550,250.1511,-11.9304,34.5716,34.8576,21.2002,741.2410,96.2290,33.9723
