x,vx,ax,y,vy,ay,z,vz,az
0.0000,259.0800,-1.5123,0.0000,0.0000,0.0645,4572.0000,0.0000,-1.3986
8.6351,259.0296,-1.4301,0.0000,0.0021,0.0735,4571.9989,-0.0466,-0.1744
17.2687,258.9847,-1.3095,0.0001,0.0049,0.0339,4571.9978,-0.0116,1.6485
25.9008,258.9423,-1.2442,0.0003,0.0044,-0.0882,4571.9986,0.0633,2.3844
34.5315,258.9017,-1.1885,0.0004,-0.0010,-0.2360,4572.0021,0.1473,2.3246
43.1609,258.8631,-1.1259,0.0002,-0.0113,-0.3714,4572.0083,0.2183,1.6940
51.7891,258.8267,-1.0579,-0.0004,-0.0257,-0.4748,4572.0163,0.2603,0.6695
60.4161,258.7925,-0.9930,-0.0016,-0.0430,-0.5397,4572.0252,0.2629,-0.6092
69.0420,258.7605,-0.9458,-0.0033,-0.0617,-0.5672,4572.0334,0.2197,-2.0313
77.6668,258.7295,-0.9274,-0.0057,-0.0808,-0.5611,4572.0393,0.1275,-3.5125
86.2906,258.6986,-0.9264,-0.0087,-0.0991,-0.5248,4572.0413,-0.0145,-4.9840
94.9134,258.6677,-0.9320,-0.0123,-0.1158,-0.4634,4572.0378,-0.2048,-6.3909
103.5351,258.6365,-0.9441,-0.0164,-0.1300,-0.3819,4572.0271,-0.4406,-7.6964
112.1558,258.6048,-0.9599,-0.0209,-0.1412,-0.2884,4572.0079,-0.7179,-8.8667
120.7754,258.5725,-0.9763,-0.0257,-0.1492,-0.1890,4571.9789,-1.0317,-9.8800
129.3940,258.5397,-0.9905,-0.0308,-0.1538,-0.0862,4571.9388,-1.3766,-10.7316
138.0114,258.5065,-0.9991,-0.0360,-0.1550,0.0134,4571.8868,-1.7471,-11.4162
146.6277,258.4731,-0.9983,-0.0411,-0.1530,0.1015,4571.8222,-2.1376,-11.9251
155.2429,258.4399,-0.9858,-0.0461,-0.1482,0.1767,4571.7442,-2.5421,-12.2662
163.8571,258.4074,-0.9615,-0.0510,-0.1412,0.2405,4571.6526,-2.9554,-12.4640
172.4701,258.3758,-0.9249,-0.0555,-0.1322,0.2902,4571.5471,-3.3731,-12.5386
181.0821,258.3457,-0.8754,-0.0597,-0.1218,0.3231,4571.4276,-3.7913,-12.4986
189.6932,258.3175,-0.8135,-0.0636,-0.1106,0.3394,4571.2943,-4.2063,-12.3591
