x,vx,ax,y,vy,ay,z,vz,az
0.0000,274.3200,-2.5946,0.0000,0.0000,0.0000,1219.2000,0.0000,3.9822
9.1425,274.2335,-2.5135,0.0000,0.0000,0.0001,1219.2017,0.1327,5.9327
18.2823,274.1524,-2.4355,0.0000,0.0000,0.0002,1219.2103,0.3955,8.5559
27.4194,274.0711,-2.4644,0.0000,0.0000,0.0003,1219.2285,0.7031,9.1909
36.5537,273.9881,-2.5201,0.0000,0.0000,0.0003,1219.2571,1.0082,8.7242
45.6852,273.9031,-2.5797,0.0000,0.0000,0.0003,1219.2954,1.2848,7.6510
54.8139,273.8162,-2.6381,0.0000,0.0000,0.0002,1219.3423,1.5183,6.2638
63.9396,273.7273,-2.6953,0.0000,0.0000,0.0001,1219.3961,1.7023,4.7533
73.0623,273.6365,-2.7524,0.0000,0.0000,-0.0000,1219.4552,1.8352,3.2420
82.1820,273.5438,-2.8101,0.0000,0.0000,-0.0001,1219.5179,1.9185,1.8145
91.2986,273.4491,-2.8678,0.0000,0.0000,-0.0003,1219.5826,1.9562,0.5314
100.4119,273.3526,-2.9248,0.0000,0.0000,-0.0004,1219.6479,1.9539,-0.5781
109.5220,273.2541,-2.9797,0.0000,0.0000,-0.0004,1219.7125,1.9176,-1.4927
118.6289,273.1539,-3.0302,0.0000,-0.0000,-0.0005,1219.7754,1.8544,-2.1952
127.7323,273.0521,-3.0755,0.0000,-0.0000,-0.0005,1219.8359,1.7713,-2.6986
136.8323,272.9489,-3.1149,0.0000,-0.0000,-0.0005,1219.8933,1.6745,-3.0226
145.9289,272.8445,-3.1473,0.0000,-0.0000,-0.0004,1219.9474,1.5698,-3.1770
155.0219,272.7391,-3.1728,0.0000,-0.0001,-0.0004,1219.9980,1.4627,-3.1843
164.1115,272.6330,-3.1923,0.0000,-0.0001,-0.0003,1220.0449,1.3575,-3.0787
173.1975,272.5263,-3.2065,0.0000,-0.0001,-0.0002,1220.0885,1.2574,-2.8855
182.2799,272.4192,-3.2164,-0.0000,-0.0001,-0.0002,1220.1289,1.1651,-2.6286
191.3587,272.3118,-3.2232,-0.0000,-0.0001,-0.0001,1220.1663,1.0822,-2.3340
200.4340,272.2043,-3.2279,-0.0000,-0.0001,-0.0000,1220.2011,1.0095,-2.0235
209.5057,272.0967,-3.2314,-0.0000,-0.0001,0.0001,1220.2337,0.9473,-1.7149
218.5738,271.9889,-3.2347,-0.0000,-0.0001,0.0001,1220.2644,0.8952,-1.4226
227.6383,271.8810,-3.2381,-0.0000,-0.0001,0.0002,1220.2935,0.8524,-1.1575
236.6992,271.7730,-3.2422,-0.0000,-0.0001,0.0002,1220.3213,0.8180,-0.9262
245.7565,271.6649,-3.2471,-0.0000,-0.0001,0.0003,1220.3481,0.7907,-0.7330
254.8102,271.5565,-3.2529,-0.0000,-0.0001,0.0003,1220.3741,0.7692,-0.5792
263.8602,271.4480,-3.2598,-0.0000,-0.0001,0.0003,1220.3994,0.7521,-0.4635
272.9067,271.3392,-3.2675,-0.0000,-0.0000,0.0003,1220.4243,0.7383,-0.3834
281.9495,271.2302,-3.2760,-0.0000,-0.0000,0.0003,1220.4487,0.7265,-0.3353
290.9887,271.1208,-3.2851,-0.0000,-0.0000,0.0002,1220.4727,0.7159,-0.3141
300.0242,271.0112,-3.2947,-0.0000,-0.0000,0.0002,1220.4964,0.7056,-0.3151
309.0561,270.9012,-3.3045,-0.0000,-0.0000,0.0002,1220.5197,0.6949,-0.3331
318.0843,270.7909,-3.3145,-0.0000,-0.0000,0.0002,1220.5427,0.6834,-0.3633
327.1088,270.6802,-3.3245,-0.0000,-0.0000,0.0001,1220.5653,0.6707,-0.4013
336.1297,270.5692,-3.3342,-0.0000,-0.0000,0.0001,1220.5874,0.6566,-0.4431
345.1468,270.4579,-3.3438,-0.0000,0.0000,0.0001,1220.6090,0.6411,-0.4853
354.1602,270.3463,-3.3529,-0.0000,0.0000,0.0000,1220.6301,0.6243,-0.5254
363.1699,270.2344,-3.3616,-0.0000,0.0000,0.0000,1220.6506,0.6061,-0.5613
372.1758,270.1222,-3.3697,-0.0000,0.0000,-0.0000,1220.6705,0.5868,-0.5915
381.1780,270.0098,-3.3774,-0.0000,0.0000,-0.0000,1220.6898,0.5667,-0.6153
390.1765,269.8970,-3.3845,-0.0000,0.0000,-0.0000,1220.7083,0.5458,-0.6323
399.1711,269.7841,-3.3910,-0.0000,0.0000,-0.0000,1220.7261,0.5245,-0.6425
408.1621,269.6710,-3.3970,-0.0000,0.0000,-0.0000,1220.7433,0.5030,-0.6464
417.1492,269.5577,-3.4025,-0.0000,-0.0000,-0.0001,1220.7597,0.4814,-0.6445
426.1326,269.4441,-3.4075,-0.0000,-0.0000,-0.0001,1220.7754,0.4600,-0.6375
435.1121,269.3305,-3.4121,-0.0000,-0.0000,-0.0001,1220.7903,0.4389,-0.6264
444.0879,269.2167,-3.4162,-0.0000,-0.0000,-0.0000,1220.8046,0.4183,-0.6121
453.0599,269.1027,-3.4200,-0.0000,-0.0000,-0.0000,1220.8182,0.3981,-0.5954
462.0281,268.9887,-3.4235,-0.0000,-0.0000,-0.0000,1220.8312,0.3786,-0.5772
470.9925,268.8745,-3.4267,-0.0000,-0.0000,-0.0000,1220.8435,0.3597,-0.5581
479.9531,268.7602,-3.4296,-0.0000,-0.0000,-0.0000,1220.8552,0.3414,-0.5389
488.9098,268.6459,-3.4324,-0.0000,-0.0000,-0.0000,1220.8662,0.3237,-0.5201
497.8628,268.5314,-3.4350,-0.0000,-0.0000,-0.0000,1220.8768,0.3067,-0.5020
506.8119,268.4169,-3.4370,-0.0000,-0.0000,-0.0000,1220.8867,0.2903,-0.4850
515.7573,268.3023,-3.4382,-0.0000,-0.0000,-0.0000,1220.8961,0.2744,-0.4693
524.6988,268.1876,-3.4392,-0.0000,-0.0000,-0.0000,1220.9050,0.2590,-0.4549
533.6364,268.0730,-3.4401,-0.0000,-0.0000,-0.0000,1220.9134,0.2440,-0.4418
542.5703,267.9583,-3.4408,-0.0000,-0.0000,-0.0000,1220.9213,0.2295,-0.4301
551.5003,267.8436,-3.4414,-0.0000,-0.0000,0.0000,1220.9287,0.2154,-0.4195
560.4265,267.7289,-3.4419,-0.0000,-0.0000,0.0000,1220.9356,0.2015,-0.4101
569.3489,267.6141,-3.4423,-0.0000,-0.0000,0.0000,1220.9421,0.1880,-0.4016
578.2675,267.4994,-3.4425,-0.0000,-0.0000,0.0000,1220.9482,0.1748,-0.3939
587.1822,267.3846,-3.4427,-0.0000,-0.0000,0.0000,1220.9538,0.1618,-0.3868
596.0931,267.2699,-3.4426,-0.0000,-0.0000,0.0000,1220.9590,0.1490,-0.3803
605.0002,267.1551,-3.4425,-0.0000,-0.0000,0.0000,1220.9637,0.1364,-0.3740
613.9035,267.0404,-3.4423,-0.0000,-0.0000,0.0000,1220.9681,0.1240,-0.3679
622.8029,266.9256,-3.4419,-0.0000,-0.0000,-0.0000,1220.9720,0.1119,-0.3620
631.6985,266.8109,-3.4414,-0.0000,-0.0000,-0.0000,1220.9755,0.0999,-0.3561
640.5903,266.6962,-3.4408,-0.0000,-0.0000,-0.0000,1220.9786,0.0881,-0.3501
649.4782,266.5815,-3.4401,-0.0000,-0.0000,-0.0000,1220.9814,0.0766,-0.3441
658.3624,266.4669,-3.4392,-0.0000,-0.0000,-0.0000,1220.9838,0.0652,-0.3379
667.2427,266.3523,-3.4383,-0.0000,-0.0000,-0.0000,1220.9857,0.0540,-0.3316
676.1192,266.2377,-3.4372,-0.0000,-0.0000,-0.0000,1220.9874,0.0431,-0.3252
684.9919,266.1231,-3.4360,-0.0000,-0.0000,-0.0000,1220.9886,0.0324,-0.3187
693.8607,266.0086,-3.4348,-0.0000,-0.0000,-0.0000,1220.9895,0.0219,-0.3121
702.7258,265.8941,-3.4334,-0.0000,-0.0000,-0.0000,1220.9901,0.0116,-0.3055
711.5870,265.7797,-3.4319,-0.0000,-0.0000,-0.0000,1220.9903,0.0015,-0.2988
720.4444,265.6653,-3.4304,-0.0000,-0.0000,-0.0000,1220.9902,-0.0084,-0.2920
729.2980,265.5510,-3.4288,-0.0000,-0.0000,-0.0000,1220.9897,-0.0180,-0.2853
738.1478,265.4367,-3.4271,-0.0000,-0.0000,-0.0000,1220.9890,-0.0274,-0.2787
746.9938,265.3225,-3.4253,-0.0000,-0.0000,-0.0000,1220.9879,-0.0366,-0.2721
755.8360,265.2084,-3.4234,-0.0000,-0.0000,-0.0000,1220.9865,-0.0455,-0.2655
764.6744,265.0943,-3.4215,-0.0001,-0.0000,-0.0000,1220.9849,-0.0543,-0.2591
773.5090,264.9803,-3.4195,-0.0001,-0.0000,-0.0000,1220.9829,-0.0628,-0.2528
782.3397,264.8663,-3.4175,-0.0001,-0.0000,-0.0000,1220.9807,-0.0711,-0.2466
791.1667,264.7525,-3.4154,-0.0001,-0.0000,-0.0000,1220.9782,-0.0792,-0.2405
799.9899,264.6386,-3.4132,-0.0001,-0.0000,-0.0000,1220.9754,-0.0871,-0.2345
808.8093,264.5249,-3.4110,-0.0001,-0.0000,-0.0000,1220.9724,-0.0949,-0.2287
817.6249,264.4112,-3.4087,-0.0001,-0.0000,-0.0000,1220.9691,-0.1024,-0.2230
826.4367,264.2977,-3.4064,-0.0001,-0.0000,-0.0000,1220.9656,-0.1097,-0.2174
835.2447,264.1842,-3.4040,-0.0001,-0.0000,-0.0000,1220.9618,-0.1169,-0.2119
844.0490,264.0707,-3.4016,-0.0001,-0.0000,-0.0000,1220.9578,-0.1239,-0.2065
852.8495,263.9574,-3.3992,-0.0001,-0.0000,-0.0000,1220.9535,-0.1307,-0.2013
861.6462,263.8441,-3.3967,-0.0001,-0.0000,-0.0000,1220.9491,-0.1373,-0.1961
870.4391,263.7309,-3.3942,-0.0001,-0.0000,-0.0000,1220.9444,-0.1437,-0.1910
879.2282,263.6178,-3.3916,-0.0001,-0.0000,-0.0000,1220.9395,-0.1500,-0.1860
888.0136,263.5048,-3.3890,-0.0001,-0.0000,-0.0000,1220.9344,-0.1561,-0.1811
896.7952,263.3919,-3.3863,-0.0001,-0.0000,-0.0000,1220.9291,-0.1621,-0.1763
905.5731,263.2791,-3.3836,-0.0001,-0.0000,-0.0000,1220.9236,-0.1679,-0.1715
914.3471,263.1663,-3.3809,-0.0001,-0.0000,-0.0000,1220.9179,-0.1735,-0.1669
923.1175,263.0537,-3.3782,-0.0001,-0.0000,-0.0000,1220.9120,-0.1790,-0.1623
931.8841,262.9411,-3.3754,-0.0001,-0.0000,-0.0000,1220.9060,-0.1843,-0.1577
940.6469,262.8287,-3.3726,-0.0001,-0.0000,-0.0000,1220.8997,-0.1895,-0.1532
949.4060,262.7163,-3.3697,-0.0001,-0.0000,-0.0000,1220.8933,-0.1946,-0.1488
958.1613,262.6040,-3.3669,-0.0001,-0.0000,-0.0000,1220.8868,-0.1994,-0.1445
966.9129,262.4918,-3.3640,-0.0001,-0.0000,-0.0000,1220.8800,-0.2042,-0.1402
