x,vx,ax,y,vy,ay,z,vz,az
0.0000,243.8400,-1.4074,0.0000,0.0000,-0.0666,3048.0000,0.0000,-0.9811
8.1272,243.7931,-1.3243,-0.0000,-0.0022,-0.0756,3047.9991,-0.0327,0.3095
16.2529,243.7517,-1.2070,-0.0002,-0.0050,-0.0347,3047.9988,0.0206,2.1751
24.3773,243.7126,-1.1521,-0.0003,-0.0045,0.0894,3048.0009,0.1123,2.8181
32.5005,243.6749,-1.1090,-0.0004,0.0009,0.2374,3048.0063,0.2085,2.6024
40.6223,243.6387,-1.0591,-0.0002,0.0113,0.3707,3048.0146,0.2858,1.7986
48.7431,243.6043,-0.9984,0.0004,0.0256,0.4700,3048.0250,0.3284,0.6105
56.8627,243.5721,-0.9303,0.0015,0.0426,0.5301,3048.0360,0.3265,-0.8056
64.9812,243.5423,-0.8630,0.0033,0.0610,0.5527,3048.0462,0.2747,-2.3324
73.0988,243.5146,-0.8040,0.0056,0.0795,0.5414,3048.0538,0.1710,-3.8837
81.2155,243.4887,-0.7536,0.0085,0.0971,0.5006,3048.0570,0.0158,-5.3897
89.3314,243.4643,-0.7217,0.0120,0.1128,0.4358,3048.0543,-0.1883,-6.8006
97.4465,243.4406,-0.7173,0.0160,0.1261,0.3536,3048.0440,-0.4376,-8.0820
105.5608,243.4165,-0.7252,0.0204,0.1364,0.2614,3048.0247,-0.7271,-9.2047
113.6743,243.3922,-0.7324,0.0251,0.1435,0.1641,3047.9951,-1.0512,-10.1570
121.7869,243.3677,-0.7359,0.0300,0.1474,0.0654,3047.9542,-1.4042,-10.9388
129.8988,243.3432,-0.7316,0.0349,0.1479,-0.0254,3047.9012,-1.7805,-11.5404
138.0098,243.3189,-0.7165,0.0398,0.1457,-0.1038,3047.8354,-2.1736,-11.9624
146.1201,243.2954,-0.6900,0.0446,0.1410,-0.1718,3047.7562,-2.5780,-12.2295
154.2295,243.2729,-0.6520,0.0492,0.1342,-0.2285,3047.6634,-2.9889,-12.3682
162.3383,243.2519,-0.6016,0.0535,0.1258,-0.2703,3047.5569,-3.4025,-12.3888
170.4463,243.2328,-0.5384,0.0575,0.1162,-0.2954,3047.4366,-3.8148,-12.3008
178.5538,243.2160,-0.4639,0.0612,0.1061,-0.3057,3047.3026,-4.2226,-12.1290
186.6608,243.2019,-0.3801,0.0646,0.0958,-0.3045,3047.1551,-4.6234,-11.9006
194.7673,243.1907,-0.2889,0.0676,0.0858,-0.2935,3046.9945,-5.0159,-11.6355
202.8735,243.1826,-0.1914,0.0703,0.0762,-0.2738,3046.8208,-5.3991,-11.3474
210.9795,243.1779,-0.0893,0.0727,0.0675,-0.2478,3046.6346,-5.7724,-11.0513
219.0854,243.1767,0.0157,0.0748,0.0597,-0.2178,3046.4361,-6.1359,-10.7617
227.1913,243.1790,0.1223,0.0767,0.0530,-0.1860,3046.2257,-6.4899,-10.4891
235.2974,243.1848,0.2293,0.0784,0.0473,-0.1548,3046.0036,-6.8352,-10.2414
243.4037,243.1943,0.3360,0.0799,0.0427,-0.1253,3045.7701,-7.1726,-10.0239
251.5104,243.2072,0.4416,0.0812,0.0390,-0.0988,3045.5255,-7.5034,-9.8393
259.6176,243.2237,0.5457,0.0825,0.0361,-0.0763,3045.2699,-7.8286,-9.6894
267.7253,243.2436,0.6479,0.0836,0.0339,-0.0586,3045.0036,-8.1494,-9.5743
275.8338,243.2669,0.7321,0.0847,0.0322,-0.0806,3044.7267,-8.4669,-9.6212
283.9432,243.2924,0.7936,0.0858,0.0285,-0.1052,3044.4391,-8.7908,-9.6859
292.0533,243.3198,0.8661,0.0866,0.0252,-0.0197,3044.1406,-9.1126,-9.3579
300.1645,243.3502,0.9663,0.0875,0.0272,0.1923,3043.8318,-9.4146,-8.5996
308.2767,243.3842,1.0806,0.0885,0.0380,0.4906,3043.5133,-9.6859,-7.5761
316.3902,243.4222,1.1946,0.0901,0.0599,0.8438,3043.1865,-9.9197,-6.4079
324.5049,243.4639,1.2958,0.0927,0.0942,1.2246,3042.8525,-10.1131,-5.1926
332.6211,243.5086,1.3748,0.0966,0.1415,1.6132,3042.5127,-10.2659,-3.9981
340.7389,243.5555,1.4253,0.1023,0.2018,1.9906,3042.1685,-10.3797,-2.8810
348.8582,243.6036,1.4437,0.1102,0.2742,2.3430,3041.8211,-10.4580,-1.8805
356.9791,243.6518,1.4296,0.1207,0.3580,2.6650,3041.4717,-10.5050,-1.0104
365.1016,243.6989,1.3865,0.1341,0.4519,2.9492,3041.1211,-10.5253,-0.2837
373.2257,243.7442,1.3231,0.1509,0.5546,3.1895,3040.7702,-10.5239,0.2902
381.3512,243.7871,1.2472,0.1712,0.6645,3.3873,3040.4197,-10.5060,0.7197
389.4781,243.8273,1.1645,0.1953,0.7804,3.5469,3040.0700,-10.4759,1.0223
397.6063,243.8648,1.0772,0.2233,0.9010,3.6698,3039.7214,-10.4378,1.2097
405.7357,243.8992,0.9856,0.2554,1.0251,3.7569,3039.3742,-10.3953,1.2908
413.8662,243.9305,0.8911,0.2916,1.1515,3.8127,3039.0284,-10.3518,1.2823
421.9977,243.9586,0.7954,0.3321,1.2792,3.8437,3038.6840,-10.3098,1.2064
430.1301,243.9835,0.6998,0.3769,1.4077,3.8555,3038.3410,-10.2713,1.0814
438.2633,244.0052,0.6048,0.4260,1.5363,3.8507,3037.9992,-10.2377,0.9166
446.3971,244.0238,0.5111,0.4793,1.6644,3.8315,3037.6585,-10.2102,0.7231
454.5315,244.0393,0.4193,0.5370,1.7917,3.8035,3037.3185,-10.1895,0.5145
462.6663,244.0518,0.3298,0.5988,1.9180,3.7731,3036.9791,-10.1759,0.3014
470.8016,244.0613,0.2431,0.6648,2.0432,3.7424,3036.6400,-10.1694,0.0925
478.9371,244.0680,0.1594,0.7350,2.1675,3.7119,3036.3010,-10.1698,-0.1066
487.0727,244.0719,0.0790,0.8093,2.2907,3.6840,3035.9619,-10.1765,-0.2908
495.2085,244.0732,0.0019,0.8877,2.4131,3.6602,3035.6225,-10.1891,-0.4566
503.3442,244.0720,-0.0717,0.9702,2.5347,3.6426,3035.2826,-10.2070,-0.6016
511.4799,244.0684,-0.1419,1.0567,2.6559,3.6319,3034.9420,-10.2293,-0.7250
519.6155,244.0626,-0.2087,1.1472,2.7769,3.6283,3034.6006,-10.2553,-0.8270
527.7507,244.0545,-0.2721,1.2418,2.8978,3.6316,3034.2583,-10.2844,-0.9079
535.8857,244.0444,-0.3324,1.3404,3.0190,3.6415,3033.9150,-10.3158,-0.9689
544.0203,244.0324,-0.3897,1.4431,3.1406,3.6574,3033.5706,-10.3490,-1.0122
552.1545,244.0185,-0.4441,1.5498,3.2628,3.6786,3033.2250,-10.3833,-1.0399
560.2882,244.0028,-0.4959,1.6606,3.3858,3.7047,3032.8783,-10.4183,-1.0539
568.4214,243.9854,-0.5453,1.7755,3.5098,3.7348,3032.5305,-10.4536,-1.0565
576.5539,243.9664,-0.5925,1.8946,3.6348,3.7678,3032.1814,-10.4887,-1.0505
584.6858,243.9459,-0.6377,2.0178,3.7609,3.8029,3031.8312,-10.5236,-1.0383
592.8169,243.9239,-0.6811,2.1453,3.8883,3.8393,3031.4799,-10.5580,-1.0214
600.9474,243.9005,-0.7228,2.2771,4.0169,3.8762,3031.1274,-10.5917,-1.0014
609.0770,243.8757,-0.7631,2.4131,4.1467,3.9134,3030.7737,-10.6247,-0.9803
617.2057,243.8496,-0.8021,2.5535,4.2778,3.9505,3030.4191,-10.6570,-0.9598
625.3336,243.8222,-0.8399,2.6983,4.4101,3.9866,3030.0633,-10.6887,-0.9406
633.4605,243.7936,-0.8766,2.8476,4.5436,4.0214,3029.7065,-10.7197,-0.9234
641.5865,243.7638,-0.9122,3.0013,4.6782,4.0547,3029.3486,-10.7503,-0.9088
649.7114,243.7328,-0.9466,3.1594,4.8139,4.0859,3028.9898,-10.7803,-0.8969
657.8353,243.7007,-0.9804,3.3222,4.9506,4.1152,3028.6300,-10.8101,-0.8883
665.9581,243.6675,-1.0139,3.4895,5.0882,4.1428,3028.2691,-10.8396,-0.8830
674.0798,243.6331,-1.0454,3.6614,5.2268,4.1688,3027.9073,-10.8689,-0.8809
682.2003,243.5978,-1.0708,3.8380,5.3662,4.1935,3027.5445,-10.8983,-0.8821
690.3197,243.5617,-1.0858,4.0192,5.5063,4.2167,3027.1808,-10.9277,-0.8864
698.4378,243.5254,-1.0883,4.2051,5.6473,4.2387,3026.8160,-10.9574,-0.8935
706.5547,243.4892,-1.0788,4.3957,5.7889,4.2595,3026.4503,-10.9873,-0.9029
714.6704,243.4535,-1.0579,4.5910,5.9312,4.2795,3026.0835,-11.0176,-0.9143
722.7849,243.4186,-1.0261,4.7911,6.0742,4.2989,3025.7158,-11.0482,-0.9274
730.8983,243.3850,-0.9844,4.9959,6.2178,4.3178,3025.3470,-11.0794,-0.9418
739.0106,243.3530,-0.9336,5.2056,6.3621,4.3364,3024.9771,-11.1110,-0.9570
747.1219,243.3228,-0.8747,5.4201,6.5069,4.3548,3024.6062,-11.1432,-0.9729
755.2322,243.2947,-0.8087,5.6394,6.6524,4.3730,3024.2342,-11.1759,-0.9890
763.3415,243.2689,-0.7369,5.8636,6.7985,4.3912,3023.8612,-11.2091,-1.0052
771.4501,243.2456,-0.6603,6.0926,6.9451,4.4095,3023.4870,-11.2429,-1.0212
779.5579,243.2249,-0.5800,6.3266,7.0924,4.4279,3023.1116,-11.2772,-1.0370
787.6651,243.2069,-0.4974,6.5655,7.2403,4.4464,3022.7351,-11.3120,-1.0523
795.7718,243.1917,-0.4136,6.8093,7.3888,4.4647,3022.3575,-11.3474,-1.0670
803.8779,243.1793,-0.3298,7.0581,7.5380,4.4831,3021.9787,-11.3832,-1.0811
811.9838,243.1697,-0.2470,7.3118,7.6877,4.5016,3021.5986,-11.4194,-1.0946
820.0893,243.1629,-0.1664,7.5706,7.8381,4.5199,3021.2174,-11.4561,-1.1073
828.1946,243.1586,-0.0890,7.8344,7.9891,4.5384,3020.8349,-11.4933,-1.1195
836.2999,243.1569,-0.0157,8.1032,8.1406,4.5567,3020.4511,-11.5308,-1.1311
844.4051,243.1576,0.0527,8.3771,8.2928,4.5748,3020.0661,-11.5687,-1.1419
852.5104,243.1604,0.1153,8.6561,8.4456,4.5926,3019.6799,-11.6069,-1.1522
860.6158,243.1653,0.1716,8.9401,8.5990,4.6100,3019.2923,-11.6455,-1.1619
868.7215,243.1719,0.2209,9.2293,8.7530,4.6271,3018.9035,-11.6844,-1.1710
876.8273,243.1800,0.2628,9.5237,8.9075,4.6437,3018.5134,-11.7235,-1.1796
884.9335,243.1894,0.2969,9.8232,9.0625,4.6599,3018.1219,-11.7630,-1.1878
893.0400,243.1998,0.3231,10.1279,9.2181,4.6756,3017.7292,-11.8027,-1.1956
901.1468,243.2109,0.3411,10.4377,9.3743,4.6907,3017.3351,-11.8427,-1.2029
909.2540,243.2225,0.3511,10.7528,9.5309,4.7052,3016.9397,-11.8829,-1.2099
917.3616,243.2343,0.3530,11.0731,9.6879,4.7191,3016.5429,-11.9234,-1.2166
925.4696,243.2461,0.3471,11.3987,9.8455,4.7324,3016.1448,-11.9640,-1.2229
933.5780,243.2575,0.3336,11.7295,10.0034,4.7451,3015.7453,-12.0049,-1.2289
941.6868,243.2683,0.3129,12.0656,10.1618,4.7572,3015.3444,-12.0460,-1.2346
949.7959,243.2783,0.2855,12.4070,10.3206,4.7687,3014.9422,-12.0872,-1.2401
957.9054,243.2873,0.2519,12.7536,10.4797,4.7796,3014.5386,-12.1286,-1.2453
966.0151,243.2951,0.2126,13.1056,10.6392,4.7898,3014.1336,-12.1702,-1.2502
974.1250,243.3015,0.1684,13.4629,10.7990,4.7996,3013.7273,-12.2120,-1.2550
982.2351,243.3064,0.1199,13.8255,10.9592,4.8090,3013.3195,-12.2539,-1.2596
990.3454,243.3095,0.0678,14.1935,11.1196,4.8179,3012.9103,-12.2960,-1.2640
998.4558,243.3109,0.0128,14.5669,11.2804,4.8264,3012.4998,-12.3382,-1.2682
1006.5661,243.3104,-0.0443,14.9456,11.4414,4.8345,3012.0878,-12.3805,-1.2723
1014.6764,243.3079,-0.1027,15.3296,11.6027,4.8421,3011.6744,-12.4230,-1.2762
1022.7866,243.3035,-0.1617,15.7191,11.7642,4.8494,3011.2596,-12.4656,-1.2799
1030.8966,243.2971,-0.2206,16.1139,11.9260,4.8565,3010.8434,-12.5083,-1.2836
1039.0064,243.2888,-0.2787,16.5141,12.0880,4.8634,3010.4257,-12.5512,-1.2872
1047.1159,243.2786,-0.3353,16.9198,12.2502,4.8703,3010.0066,-12.5941,-1.2908
1055.2250,243.2665,-0.3898,17.3308,12.4126,4.8769,3009.5861,-12.6372,-1.2944
1063.3336,243.2526,-0.4417,17.7473,12.5753,4.8835,3009.1641,-12.6804,-1.2979
1071.4418,243.2370,-0.4903,18.1692,12.7382,4.8900,3008.7407,-12.7237,-1.3014
1079.5494,243.2199,-0.5352,18.5965,12.9013,4.8965,3008.3159,-12.7672,-1.3050
1087.6564,243.2013,-0.5761,19.0293,13.0646,4.9031,3007.8896,-12.8107,-1.3085
1095.7628,243.1815,-0.6126,19.4675,13.2282,4.9096,3007.4618,-12.8544,-1.3122
1103.8685,243.1605,-0.6444,19.9111,13.3920,4.9163,3007.0326,-12.8982,-1.3159
1111.9735,243.1385,-0.6713,20.3603,13.5559,4.9231,3006.6020,-12.9421,-1.3197
1120.0777,243.1157,-0.6933,20.8149,13.7202,4.9300,3006.1698,-12.9862,-1.3235
1128.1812,243.0923,-0.7102,21.2750,13.8846,4.9370,3005.7362,-13.0304,-1.3275
